第一話,プロ拷問官
刑事,なかなか肝心なところを吐かないな、あの容疑者
新米,ええ、どうします？あいつだけ捕まえても事件が解決したとはいえませんよ
刑事,こうなったら拷問官に頼るしかないか
新米,ご、拷問官！？そんなのがいるんですか！？
刑事,ああ……日本で唯一のプロ拷問官だ。もちろん秘匿された存在だがな
新米,いったいどんな拷問を……？鞭で打ったり、爪ひっぺがしたりとか……？
刑事,オイオイ、ここは日本だぞ？そんな拷問許されるわけないだろうが
新米,じゃあ、どうやって……？
刑事,奴は……相手の体に一切傷をつけることはない。だが、吐かせてしまうのさ
拷問官,これより取り調べを始める。しっかり記録を取っておけよ
助手娘,はいっ！
犯人,へっ、なにも吐かないぜ！
拷問官,吐けっ！
犯人,吐けで吐いたら、黙秘権なんていらないぜ
拷問官,吐けぇっ！吐いちまえ！……う
犯人,だから吐かないって……え？
拷問官,――うぷっ
犯人,ちょっ！？
拷問官,ううううっ……！うぷぷぷっ……！
犯人,やめろバカ！こんなところで……！吐くから吐かないでぇぇぇ！！！
刑事,……おかげで助かったよ
拷問官,しぶといのが出たら、いつでも呼んでくれ。さ、行くぞ
助手娘,はい！
拷問官,……うっ
助手娘,先生？
拷問官,あれやると、しばらく逆流性食道炎みたいになるんだよなぁ……
助手娘,胃薬、胃薬！
拷問官,拷問はやる方もツライ、とはよくいったもんだ
刑事,自分のブログでやってる食レポをけなされたから、お前は被害者を殺したんだ
新米,そうなんだろう！？
食通,……ふん
新米,くっ！。あの容疑者も、なかなかしぶといですね！
刑事,うーむ、またしても拷問官に来てもらうしかないか
拷問官,……あんた、ずいぶんな食通らしいな。あんたのやってるブログ、ものすごいアクセス数らしいじゃないか
助手娘,はい、あたしも読んだことあります！とってもオシャレなブログなんですよ！
食通,新しいのが来たと思ったら、今度はおだてて吐かせる作戦？見え透いてるねえ。弁護士を通じてじゃなきゃ、俺はなんも喋らないよ
拷問官,食通ってことは、当然うまいものに目がないよな？
食通,？
拷問官,そこで今日はこんなものを用意してみた。……カツ丼だ
食通,！
助手娘,わぁっ、おいしそー！取り調べといったらカツ丼ですもんね！
拷問官,このカツ丼は俺行きつけの穴場から出前したものでね。あんたも食ったことないはず。食いたいだろ？
食通,食いたいなら自白しろ、と？バカバカしい！
拷問官,いやいや、そんなことしたら賄賂みたいなもんになっちまうからな。これは俺が食わせてもらう
食通,うまそうに食って自白させる作戦か？……乗るかってんだよ！
拷問官,耳塞いでおけよ
助手娘,はい、先生
食通,？
拷問官,じゃ、いただきまーす。ｸｯﾁｬｸｯﾁｬｸﾞｯﾁｬｸﾁｬｸﾁｬｸﾁｬｸﾞｯﾁｬｸﾁｬｸﾁｬｸﾞｯﾁｬｸﾁｬｸﾁｬ
食通,！？
