第一話,フードコートで水ばかり飲んでるクソ女
先輩,おい、これ五時までにやっとけっつったろ？なんでやってねえんだよ
男,俺も自分の仕事を抱えてて、明日になるっていいましたけど……
先輩,んなもん知るかよ。なんでやってねえんだよ
男,ですから、俺にも仕事が……
先輩,ちっ、お前マジ電車に飛び込んでこいよ
男,すみません……
先輩,謝んなくていいからさ、氏んでこいっていってんだよ
男,……すみません
先輩,あ～……もういいわ！
男,す、すみません
先輩,これだから就職楽だった年に入った奴は使えねえ！。あ～……とっとと辞めちまえよ、クソが……
男,今日も一日いびられっ放しだった……。こういう日はフードコートに行くか……！。ここのフードコートは、なぜか本業のショッピングセンターより遅くまでやってるから助かる。健康に悪いのは承知で、夜ラーメンいただきまーす！。うめ～～～～～！。それにしても、フードコートには色んな奴がいるよなぁ……
受験生,…………
中年男,ぷはーっ！うめえ！
少女,わーいわーい！
男,勉強してる受験生に、赤ら顔で酒飲んでるおっさん、騒がしい女の子……。普通のレストランじゃ、席ごとに仕切りあるし、こうやって堂々と他人を観察できるのも。フードコートの面白いところだな。――ん
女,…………
男,なんだ、あの女？。せっかくフードコートに来てるのに、水ばかり飲んでやがる
女,…………
男,飲み終わっても、なにかを食べる様子はないようだ。ま、いっか。フードコートには色んな人がいるし、中にはああいう人もいるだろうな
清掃女,はいはい、机拭くよ！
男,おばちゃん！俺、まだ食ってるのに！
清掃女,あんたが食ってる時に拭いときゃ、後が楽になるだろう？
男,そうかぁ？俺が汚したら二度掃除することになるよ？
清掃女,そしたらあんたに掃除してもらうだけさ！
男,おばちゃんには敵わないなぁ……
清掃女,さぁて、紙コップを補充しないとねえ！
男,もういい年だろうに動き素早いよなぁ……おばちゃん。忍者みたいだ
課長,ちょっと来たまえ
男,はい、なんでしょう？
課長,君は昨日……先輩君から仕事を頼まれて断ったそうだね？
男,え……
先輩,そうなんすよ～、ひどい話ですよね
課長,なぜだ、なぜ断った？
男,断ったというか、自分も仕事を抱えてるから遅くなる、と
課長,それならば、大急ぎで休まず仕事をすればいいだけの話じゃないか。そうじゃないのかね？
男,そ、そんな……
課長,今日、君には先輩君の仕事もきっちりやってもらう
先輩,午後イチまでに頼むぜ
男,午後イチって……ムチャですよ
課長,昼休み、休まなければなんとかなるだろ。今日、君は昼食は水だけにしたまえ
男,は、はい……。なんだ、このムチャクチャな扱いは……。あ～……くそっ！今日はひどい目にあった……！。まさか、本当に水だけで一日過ごすはめになるとは思わなかったぜ……。！
女,…………
男,あの女、また水ばかり飲んでやがる……。……今日の俺を思い出して、イライラしてきた……。ちょっとあんた
女,…………？
男,せっかくフードコートに来てるのに、なんで水しか飲まないんだ？
女,…………
男,店員さんたちに悪いと思わないのか？
女,…………
男,なんとかいったら、どう――。う！？。なんだこの女……よく見ると細い！。いや、細すぎるぞ……。それも健康な細さじゃない、病的な細さって感じだ
女,ごめんなさい……
男,え
女,私、太りたくなくて……だから水だけ……
男,！？。わ、分かった！俺が悪かった！とりあえず落ち着いて話をしよう！
女,……聞いて下さいますか。実は私、プロのイラストレーターなんです
男,へえ～、すごいね。バッグからチラッと絵が見えるけど、かなり上手い
