TV,SNSで未成年女子と知り合い……。わいせつな行為を働いたとして、30代男が逮捕されました……
男,最近こういうニュース多いなぁ。犯人も別にイケメンってわけじゃないのに。女の子もガードが甘すぎるよ。……ん、ちょっと待てよ。ってことはSNSやれば、俺も未成年の女の子と知り合えるかも！？。よっしゃ、SNSやろう！。まず、プロフィールを作ればいいんだな。つっても、俺のスペックをそのままプロフィールにしても誰も見向きもしないよな。えーっと、まず20代独身！実家は大富豪！ジャニーズ系のイケメン！身長180cm！。スポーツ万能！英仏語ペラペラ！空手有段者！某有名大学を出てて……。……こんなところでいいか。ウソまみれだが、世の中元々ウソでまみれてる。なんの問題もない！。あとは適当に日記みたいなのを書いて、誰かと知り合うのを待つか……。……む。キター！いいの！？こんな簡単でいいの！？。すぐ会おう！いや待て、いくらなんでもがっつきすぎだ……。17歳なら、色々悩みがあるんじゃない？よかったら聞くよ……と。ふむふむ……年頃の女の子だな。いやいや。当たり障りのないアドバイスしかできてねえけどな。キター！。いやだからがっつくなって……落ち着いて返事を返そう。そう、釣りは焦りが禁物なんだ……！。だったら……今度の休日、○×駅に15時でいかがかな、と。じゃあ、目印に俺は赤いバラをつけていくからね、と。ほっとけ。ヒャッホウ！この大魚、喰いついた！。ふんふ～ん。よーし、めいっぱいオシャレしていくぞ～！。まず、メガネは外そう……。あまり目よくないけど、全く見えないってほどじゃないしな。髪もワックスでバッチリ整える！ちょっと立てたりして！。香水も少々……。よし、だいぶ決まったぞ！普段とは別人だ！。だけど20代イケメンとは言いがたい……ま、大丈夫だろ！。ル～ルルル～、フンフ～ン。とここで、気づく。俺はプロフィールにウソばかり載せていた。ってことは、相手もその可能性が十分あるじゃねえか！。もしかしたら、とんでもないババアが来るかも……
JK,あの……
男,――――ッ！。目を凝らすと……赤いバラが見える。この子がもしかして……！？
JK,もしかして、あなたがSNSであたしの悩み相談に乗ってくれた……
男,そう、俺だよ！。若い！化粧厚めだけどマジで17ぐらいじゃねーのこの子！。だが、変な下心は無しだ……あくまで大人として接してやらねば！
JK,えぇっと、本当に20代ですか？
男,！？。ハハ……ちょっと……見栄張っちゃったかな？
JK,でもいいんです。包容力がありそうな人で安心しました
男,うひょ～！包容力あるとか言われたことねえ～！。……そういう君こそ、俺とどこかで会ったりしてないかな？
JK,やだ、古い手のナンパみたい！
男,いや、そういうわけじゃないんだけどね、アハハハ
JK,どうします？
男,んー、そうねえ……。なんも考えてなかった……未成年にお酒はダメだろうし、こういう時は……。カラオケでも行っちゃう？パーっと歌おうぜ！
JK,そうしましょう！。～♪～♪～♪
男,最近の歌は全然分からんけど……。イェーイ！
JK,ノリいいですね！
男,ハハッ、まあね～！
JK,じゃあ次は歌って下さい！
男,よーし……。～♪～♪～♪
JK,上手～！
男,ありがとう！。ククク、仕事で接待カラオケは行きまくってるからな……嫌でも上手くなる
JK,ただ……選曲がおじさん臭いかも
男,ほっとけ
店員,ありがとうございましたー
男,ふぅ、楽しかった……
JK,あたしもです！
男,じゃあ今度はゆっくり食事でもどうだい？
JK,はいっ！
男,どこにしよ……まあその辺のレストランでいいか。どう？
JK,とてもおいしいです
男,顔はよく見えないけど可愛いな、メガネしてくりゃよかった。君のこと……もっと知りたいな
JK,えっ……
男,色々質問してもいいかい？
JK,いいですよー
男,学生の本分といったら勉強だけど、成績はどう？
JK,んー、苦手です。特に暗記科目が……あたし、人の顔覚えるのもどうも苦手で
男,分かる分かるー！。俺も仕事で苦労するんだよね。あー、この人誰だっけ、みたいな
JK,あたしもですー！
男,不安だったけど、案外会話が合うな……よかったよかった。ところで、もう夜だけど、家族は心配してないの？
JK,してるかもしれないし、してないかもしれない……よく分かりません
男,家族とはあまり上手くいってないんだ？
JK,そうですね。ここんとこあまり会わないし、喋ってないし……
男,君自身はどう思ってるの？
JK,難しいですね……。だけど、とても大切です。あたしを育ててくれてるし……。いつか恩返ししたいな、って思ってます
男,そっか。そうだよな……この子には家族がいる。そして俺にも……。実は俺にも……大切な人がいる
JK,えっ……
男,しかも、二人も
JK,え、まさか二股！？
男,んなこたぁない。ただ、俺も家族と上手くいってるとは言い難い。特に二人のうち一人とは。どうだろう。俺の大切な人達と……会ってくれないか？
JK,いいですよ……会わせて下さい！
男,決まり！さっそく俺の家に来てくれ！。俺の家はもうすぐだよ
JK,ウソ、あたしの家もこの辺りなんですけど！
男,マジで？じゃあこれからも気軽に会えるね！いっそ家族ぐるみで付き合うのもいいかも！
JK,はいっ！
男,……お、あそこにいるのは。俺の大切な人の一人目じゃないか
妻,あら、珍しい。父娘が二人仲良く並んで帰ってくるなんて
男＆JK,何ィィィィィ！！？
