ドキュ夫・ドキュ子,ッ！？
ドキュ夫,な、なんだよブス！睨んでんじゃねぇよ！
ブス,……ッ！
ドキュ夫,あぁ！ひ、人のスマホ勝手に取んなよゴルァ！ドロボーだぞドロボー！
ドキュ子,さいってー！返してよー！ブス！
ブス,あぁすみません、そこの人。そう、あなたですあなた
女,わ、私ですか？
ブス,申し訳ないんですが、よろしければこれで写真を撮ってもらえませんか？
ドキュ夫,オイお前なに勝手に――
ブス,はい彼女さんと並んで。肩を組んで
ドキュ夫,すげー力だ……いくら力こめてもビクともしねぇ……
ドキュ子,ドキュ夫ぉ
ブス,そうそう。彼女に向かって笑って笑って
女,じゃ、じゃあ撮りますよ。はいチーズ
ブス,わざわざありがとうございました
女,い、いえ」（おっきぃ……柔道とかやってるのかな……
ドキュ夫,返せよ！
ブス,彼女さんを大切にすんだよ
ドキュ夫,うるせー！オイ行こうぜ！ったくマジありえねぇ
ドキュ子,う、うん……
ブス,ったく、どこにでもいんだから
女,……
教師,えー、皆の中にはすでに耳にはさんでいる者もいるだろうが、今日からうちのクラスに転校生が来ることになった。ハイハイ静かに！じゃあ入ってもらおう
ブス,……
女,ッ！？」（えっ！き、昨日の人！
ブス,転校生のブスです。みなさん、仲良くしてやってください
クラスメイト,ブスさんの得意なものってなんですかー？
ブス,ハイ、武道を少々。顔も体もゴリラですがどうかよろしく！
教師,じゃあブスの席はそうだな、女の隣が空いてるからあそこで
ブス,よろしく……ん？アンタは昨日の
女,どうも……」（近くで見ると凄い威圧感……
ブス,昨日は助かったよ、ありがとう。まさか同じクラスだったなんてねぇ
女,ひゃ、ひゃい
ブス,アッハッハ、驚かしちゃったか。ゴメンな、昔っからガサツだって言われててさ
女,そ、そんな事は……ない、かと……」（い、言い切れない……。さっそく質問責めかぁ。転校生だから当然と言えば当然だけど。他のクラスの人も彼女を見に来てる……やっぱり凄いんだなぁ
DQN,はーいしつれーシャーッスｗｗｗしつれーシャーッスｗｗｗｗ
DQN2,おいどけよおめーらｗｗじゃまｗｗじゃーまｗｗｗ
ブス,……
DQNV3,おーおー……ﾌﾟｯ……ヤベーｗｗｗシャベーｗｗｗｗブスｗｗｗマジブスｗｗｗｗ
DQN,な？言ったべ？言ったべ？ブスだってｗｗｗｗクソブスだってｗｗｗｗ
DQN2,これはひでーなｗｗｗオイブス、お前彼氏いんの？
DQNV3,うわひでーｗｗｗお前ひでーヤツだなぁｗｗｗｗいるわけないじゃんこんなのにｗｗｗ売れ残り確定だろこんな顔面崩壊女ｗｗｗ
女,……ぶ、ブスさん……
ブス,……クッ
DQN,お、なんだ？泣くか？ブスがもっとブスになんぞｗｗｗｗ泣けよｗｗｗオラ泣けよｗｗｗｗ
ブス,ダーッハッハッハ！こりゃいい！アンタら正直もんだ！
DQN2,は、はぁ？なに言ってんだこのブス
