アブドゥル,気をつける承太郎！新手のスタンド使いかもしれん！
ポルナレフ,怪しい野郎だ俺らになんのようだよ
俺,クククスタンド使いその通りだ
一同,！！！！！
俺,おれのスタンド能力は>>5さ
花京院,>>5だと！？
俺,おれのスタンド能力はハイハイ高速移動スタンド名はハイスタンダード！
花京院,ハイハイ高速移動だと！？
俺,こうやってハイハイの姿勢をとることによって
花京院,消えた！？気をつけろみんな！
ポルナレフ,ぐあああああああ！！！！
アヴドヴル,ポレナレフ！？いきなり足から血が！
俺,どうだ？まったく見えないだろう
ジョセフ,お前さん、ちょっとワシらを舐めとるんじゃないかな？
俺,なんだと？
花京院,高速移動かもう一度やって見るがいい
俺,強がりをいいだろう
花京院,こっちには銃弾も掴み取る承太郎がいるんだからな承太郎、注視してくれ
承太郎,イエッサー
ポレナレフ,があああああああああ！！！！！
アヴドルル,ポルナレフ！？！？
花京院,承太郎！？見えないのか！？
承太郎,こいつぁグレートだぜスタープラチナでも見きれねえ
俺,驚いたぜ俺のスピードを目で追うとはだが、それが限界のようだな
花京院,く、くそ！どうすればいいんだ！？。このままではやられる！一度距離を取ろう！
アヴドゥル,クロスファイアハリケーン！！！
俺,ちっ。エメラルド！！。攻撃して俺が怯んでいる間に逃走かだが、俺の能力は高速移動だそうは持たんぞ
花京院,どうするんだ承太郎！？すぐに追いつかれるぞ！
承太郎,俺に考えがあるじじい、任せたぞ
ジョセフ,ハーミットパープル！
花京院,どうするつもりなんだ承太郎！？。奴は早すぎて君でも捉えられない、僕やアヴドゥルのスタンドの攻撃も避けられてしまう！。あんなヤツを倒せるのか！？
承太郎,ああやつの弱点はもうわかった"ハイハイ"だ
花京院,どういうことだ承太郎！？
承太郎,"ハイハイ"だ
花京院,どういう意味だ！？
承太郎,奴がおれすら見切れねえ恐ろしいスピードを出せるのは"ハイハイ"した時だけなんだよ
花京院,！そういうことか
ジョセフ,近いぞ！あっちじゃ！
承太郎,ついたか
花京院,海！そうか！奴を突き落とすんだな！？そうすればハイハイできない！
承太郎,。アヴドゥル、頼むぞ
アヴドゥル,わかっている
俺,やっと追いついたぜ。お前ら俺を舐めてるな？。俺のことを糞マヌケなド低脳野郎だと思っているのかお前らァー！！
承太郎,さあな。なんのことだ？
俺,とぼけんじゃねえ！俺が勢い余って海に落とされるとでも思ってるのかァ！！！
承太郎,知らねえな。勝手に熱くなるんじゃねえ。"ハイハイ"でもしたらどうだ、坊や
俺,ッッッッ！！！！この俺をコケにしやがって俺の能力を馬鹿にしたな！！！。普通にOしてやろうと思ったが、もう許さん。嬲りOしにしてやる。特にそこのフランス人は特段苦しめてやるぞ。お前らは俺の能力を猪突猛進型だと思っているようだが。俺のスタンドの精密動作性はA！海に突っ込むなんて哀れな真似はせず。お前らの戦闘能力を綺麗に刈り取ってやることなんて容易だ
承太郎,それはゾッとする話だぜま、お前が口だけ野郎じゃなきゃの話だがな
俺,なんだと！
承太郎,さ、やれるならきやがれ。お前にも"それなりの覚悟があるならな
俺,！！！（いや、ビビるな、事実、俺のスタンドの精密度はハンパねぇ！自分に自信をもってしっかりとやれる！）。よしぶっ殺す覚悟が決まったぜ。行くぜハイハイ！！！！。(まず承太郎の足を取）。ッッッッ！！！！！（反射的に手を離しちまった！！この感覚はこの痛みは！！）
承太郎,おいおい、いいのか？手を離しちまって
俺,（ヤケド！！！！！）アッッッッッッチィィイイイイ！！！！！！！！！！！！！！！！！！。（海に気を取られていた！こいつらには火を使う能力者がいたんだ！）
アヴドル,じっくりと温めておいた火加減はどうだ？
承太郎,さてスタープラチナの射程距離内に入ったぜ。ハイハイしなくていいのか？
俺,ッッッッ！！！ハイハ
承太郎,オラオラオラオラオラオラオラオラオラオラオラオラァ！！！！！
花京院,なるほど地面を熱していたのか！
アヴドゥル,ふぅ、危ないところだったな
ポルナルフ,し、死ぬかと思ったぜ
俺,ぐああああああひ、ひぇい、命だけは助けてくれいや、助けてください
承太郎,命は助けてやるよでもお前の能力は二度と使えないようにさせてもらうぜ
俺,ぎゃあああああああああああああああああ！！！！！！！！！！！！！！
花京院,承太郎それはやりすぎじゃないか
アヴドゥル,そこまでやる必要はないんじゃないか
ポルナレフ,おいおいあいつは鬼か？
俺再起不能,リタイア
ポルナレフ,ま、何がともあれ勝ててよかったな！
承太郎,お前はボコボコにされてたけどな
ポルナレフ,スタンドにも相性ってものがだな
花京院,ハイハイ！
ポルナレフ,うおおあっ！！やめろよ花京院！
アヴォドル,ハイハイがトラウマになったのか？ポルナレフ
承太郎,今後の旅はハイハイで移動することにしよう
ポルナレフ,勘弁してくれよォ～～！！！
一同,ハハハハハハハハハハハ！！！！！！！
