友人A,俺、優子と付き合うことになったから
俺,そっか……応援するね。夏紀ちゃんのこと好きになったかも
友人B,マジ？じゃあ友達グループ皆でお前のこと応援するわ
俺,ありがとう
女後輩A,先輩、夏紀さんと付き合ってるんですか？
俺,いや、好きだけど……まだ告白もしてないし付き合えそうではないな…
女後輩A,えー、あれで付き合ってないとか信じられませんよｗｗｗｗはやく告白した方がいいですよ？
俺,そうだなぁ……近々告白するよ。フラれたわ……ｗｗｗｗｗ…………
友人C,仕方ないって、次があるさ
俺,そうだね、挫けずに頑張ることにするよ。詩織ちゃんのこと気になる
友人B,夏紀ちゃんのこともあったし、今度こそ成功するように俺らも尽くすよ
俺,ありがとう、良い友達をもったよ
友人C,あたりまえだろ
俺,本当に……ありがとう！。雪歩めっちゃ可愛いよね
詩織,わかる！あの控えめなというか、自信無さげな感じが何とも言えなく可愛い！！
俺,男性キャラだと……やっぱり黒井社長かな、声的に
詩織,声ｗｗｗｗｗめっちゃ子安だし本当に良い、いやぁ俺君と趣味が合うなんて嬉しい！
友人B,あいつら最近ずっと二人だな
友人C,良い感じじゃん、このまんま付き合えるといいんだけど
友人B,いけんべ
友人D,いけるいける
俺,フラれたわ
友人ら,……
俺,やっぱ、俺なんかが女の子と一緒にいようと思うのがダメなのかな
友人C,そんなこと言うなよ、ちゃんと話せてるし生理的に無理とか、そう言うのじゃないと思うし何とかなると思うよ
友人D,そうそう、運が悪かっただけだって。気にすんな、次がまたあるって
俺,俺……俺……
麻衣,俺君って志望校どこなの？
俺,あれ、言ってなかったっけ。XY大学だよ
麻衣,そうなの！？私その隣の大学志望なの！大学入っても仲良くできそうだね！
俺,人を好きになる権利って生まれながらに均等に配られてるものじゃあないと思うんだよね。人は皆、幸せを感じることができる。好きな人と一緒にいるとか、子どもと一緒にいるとか、なにか趣味をやるとか、目標を達成するとか、人それぞれ。でも、好きな人に拒否される人は一定するいると思うんだ。その人は人を好きになることで幸せになることができない。その人は人を好きになってはいけないんだ。俺はそのうちの一人なんだ。小さい頃は自分も周りの大人や親のように、当たり前のように好きな人と付き合って結婚して、子どもができるもんだと思ってた。でも最近はこう思うんだ。そんなことができるのはこの世界でも選ばれた人間だけ。魚は大量に産卵するが、実際に大人になれるのはごく一部と言う。自然に殺されることなく誕生したほぼ全員が大人になれる人類においても同様なのだ。。俺は本来ならば自然界で生きていくうちにウイルスで死ぬか、周りの動物に殺されるか、他の人間に殺されるかしていたはずの存在なんだ。それが人類の科学力によっていかされているだけなんだってね。俺は俺じゃない誰かの幸せのために生まれてきたんだ。俺は自分の幸せを享受することを許されない。そんな俺に生きる意味なんてある？。もういい加減死にたいけど両親には迷惑かけられないし自殺はできない。どうするのが最善なのだろう。あぁ、人はこういうときに宗教に頼りたがるんだなって思ったよ。俺は宗教なんかには頼りたくないけどね。頭でも強く打って脳死かなんかになりたいなぁ。考えても仕方ないし、何事もなかったかのように日常生活を送ろう。いつか誰か知らない人が殺してくれるかもしれないし、事故に遭うかもしれない。知らないうちに氏んでいたら、何も考えなくて済むし、こんなに楽なことはないじゃないか。……とりあえず友人Cあたりに連絡とるか……
