昔は散々の悪事を働いてきたが、ある人物,孫悟空
初恋の相手,ブルマ
ヤムチャ,ベジータ……
プーアル,……ヤムチャ様？どうしましたか？
ヤムチャ,なぁ、プーアル……俺ってブルマと結婚してたらどうなってたんだろうな
プーアル,え…？いやでもその……どうなんでしょうね……？ｱﾊﾊ…
ヤムチャ,うん……少し意地の悪い質問だったな、すまないプーアル。……。俺は、ベジータと戦いたい
プーアル,へっ？
ヤムチャ,ベジータと戦ってみたいんだ
プーアル,でも……その……ちょっと無謀というかなんというか……
ヤムチャ,無謀だってことはわかってる……でも、これは俺にとって……
プーアル,……わかりました、ヤムチャ様にとって大事なことなんでしょう……僕は影ながら応援させてもらいますよ！
ヤムチャ,ありがとう！プーアル！。いくらなんでもこんな修行もしてない状態で挑むのはおかしいよな……どうするか…？。うーん………。そうだ！精神と時の部屋があるじゃないか！セルと戦うときに俺は入ってなかった！ならまだ修行できる時間は残ってるはず！。そうときまれば早速行こう！
ポポ,おうヤムチャか
ヤムチャ,よう、ポポ！元気そうだな！
ポポ,ポポいつでも元気それよりヤムチャどうした？
ヤムチャ,あぁ、そうそう。ちょっとさぁ、精神と時の部屋を使わせて欲しいんだけど……いいか？
ポポ,精神と時の部屋？なぜ今更？構わないが……
ヤムチャ,いやぁ……色々事情があってな……とにかくありがとう！デンデにもよろしくな！
ポポ,行ってしまったなんだったんだ？
ヤムチャ,ここが精神と時の部屋か……空気が薄く身体が重い……悟空が言ってたとおりだ。でも、これでいい……！さて！やるぞ！。くそっ！。よし……上手くいきそうだぞ……！。はあっ！
ポポ,！
デンデ,！
ヤムチャ,久しぶりだな、ポポにデンデ
デンデ,ヤムチャさん、ポポさんから話は聞いていますよ！お疲れ様でした！
ポポ,おつかれヤムチャ
ヤムチャ,ははっ！ありがとう！
デンデ,ところで、なんで今更修行を？
ヤムチャ,俺のケジメのためかなぁ
デンデ,？
ポポ,？
ヤムチャ,まぁ気にすんなよ！色々ありがとう！じゃ、行ってくる！。なんだか久しぶりって感じだなぁ
ブルマ,あっ！ヤムチャじゃない！どうしたの？
ヤムチャ,おっ、ブルマ！久しぶりだな！
ブルマ,久しぶり？そんなに最後会ってから経ったかしら？
ヤムチャ,あ！い、いや！なんでもない！それよりベジータいないか？
ブルマ,ベジータ？確か……今は重力室でトレーニングしてるけど……？あんたがベジータに用なんて珍しいわね・
ヤムチャ,……わかった、じゃあな！
ブルマ,あっ、行っちゃった……なんだったのかしら？
ベジータ,ふんっ！はぁっ！……ん？
ヤムチャ,よう、ベジータ
ベジータ,ヤムチャか、オレに何の用だ
ヤムチャ,俺と戦ってくれ
ベジータ,………なんだと？
ヤムチャ,……
ベジータ,冗談はやめろ、貴様ごとき相手にならん。トレーニングの邪魔だ、消えろ
ヤムチャ,冗談なんかじゃない、俺は本気だ！
ベジータ,……
ヤムチャ,俺は！お前に勝つ！
ベジータ,……面白いことを言う奴だ、いいだろう相手してやる
ヤムチャ,！
ベジータ,しかし、貴様とオレとでは実力が違いすぎる……そうだな……超サイヤ人にはならないで戦ってやる、多少はマシな戦いになるだろう
ヤムチャ,……ああ
ベジータ,一応言っておくがこの部屋は特別性で、俺が超サイヤ人になっても破壊するのは一苦労だ。つまり存分に戦え、ここが壊れるようなことはないというわけだ
ヤムチャ,わかった、全力でいかせてもらうぜ……！。はぁぁぁぁぁ！！
ベジータ,なるほど、少しは戦闘力が上がっているな
ヤムチャ,だあっ！
ベジータ,どうした？この程度か？
ヤムチャ,まだまだ！
ベジータ,……
ヤムチャ,くっ！。(やはりベジータは強い……！仕方ない、ここで使うか……！)。真・狼牙狼牙風風拳！
ベジータ,なにっ！？
ヤムチャ,ハイッ！ハイッ！ハイィッ！
ベジータ,ぐっ！……だが、足元ががら空きだぞ！
ヤムチャ,そうくると思ってたぜ……！
ベジータ,これは、残像！？
ヤムチャ,今だっ！だあっ！。ハアッ……！ハアッ……！ど…どうだ……！
ベジータ,ぐっ……！貴様……！残像拳とやらをやっていやがったな……？
ヤムチャ,……
ベジータ,自分の少し前に残像を残しつつ拳を放つ……だからオレの足払いは残像にしか当たらなかった……
ヤムチャ,そうだ……
ベジータ,だが、もう通有せんぞ……さぁ、どうする？
ヤムチャ,まだ策はあるぜ……！
ベジータ,ほう……？では、見せてもらおうか？その策とやらを
ヤムチャ,はぁぁぁぁぁ！！！！。ずあっ！！！！
ベジータ,これが策か？期待外れもいいところだ
ヤムチャ,ハァッ…！ハァッ…！
ベジータ,随分と息が上がっているようだ、そろそろ終わりにするか……！。ハッ！
ヤムチャ,がっ…！
ベジータ,どうした！少しは反撃してみろ！
ヤムチャ,くっ！。だあっ！
ベジータ,甘い！ハァッ！
ヤムチャ,ぐあっ！
ベジータ,ちっ……！もうやめだ……これ以上はもう無駄だ
ヤムチャ,……
ベジータ,どうした？なにを黙っている？
ヤムチャ,これで…決め…る……
ベジータ,なんだ…？
ヤムチャ,……くらえ！！超繰気弾！！！！
ベジータ,！！
超ベジータ,くっ……！危なかった……！とっさに超サイヤ人になり避けたが……直撃していたら中々のダメージがあっただろうな……。こいつ……あのときのエネルギー弾をずっと戦いながら操っていたというのか……
ヤムチャ,ﾊ…ハハ……俺はもう指一本動かす力もないぜ……
超ベジータ,しかも、この部屋を部分的とはいえ破壊するとは……お前はオレが思っているより強かったようだ
ベジータ,……
ブルマ,あっ、ベジータ！ヤムチャはどうしたの？
ベジータ,重力室で寝ている、連れて行ってやれ
ブルマ,寝てる？……よくわからないけど行ってくるわね
ベジータ,ふん……
ヤムチャ,Zzz…。ベジータと戦う
