モモハウス,56562の家
シャミ子,すごい！スマート！かっこいい！
桃,良かったら弾いてみる？
シャミ子,いいんですか！？私、ピアノ弾くの初めてなんですよ！めっぽう病気がちだったので
桃,かわいい
リリス,桃よ、余もそのピアノ？を演奏したいぞ！
桃,げぇっ、リリスさん！
リリス,げぇってなんだ、げぇって！人を関羽のように扱うな！
桃,……そのネタ知ってたんですね
リリス,うむ！良子の読んでる三国志の漫画を読ませてもらってな！なかなかに面白かったぞ！ってそれは置いといて。余の居た時代にはこんな精密な楽器なかったのだ！一度くらいこういうのやってみたいの！
桃,まぁ、シャミ子の後だったら、いいですよ
シャミ子,えっとえっと
♪〜カエルの歌,たどたどしく
シャミ子,…どうでしょう？
リリス,フム……可愛いらしい音楽だな。これはなんていう曲なのだ？
シャミ子,カエルの歌です！小学校で習いました
桃,うーん………まぁ………最初はそんなもんだよね
シャミ子,あっ、そういえば、桃は何か弾けるんですか！？
桃,繊細な動きが苦手だから上手くないけど、一応弾けるよ
シャミ子,えっ！弾いて弾いて！
桃,うん……分かった」（なにこの可愛い生き物
♪〜ねこふんじゃった,ちょっとだけぎこちない
メタ子,時は来た…時は来た来た時は来た…時は来た…時来てるぞ…時………来てるぞ！！
シャミ子,わぁ！上手ですね！それにいつになくメタ子がご機嫌そう！
桃,……たまにこの曲を弾くとメタ子、すごく興奮するんだよ」（ホントはねこ踏んじゃう曲なのに
リリス,お主なかなかに上手いな。物理少女なのに
桃,……なにか言いました？
リリス,ウウンナンニモ
桃,……シャミ子も練習したらこれぐらいできるようになるよ！やってみよう！
シャミ子,でもでも、音楽教室に行くお金が
桃,こんな時もあるかと思って、ピアノの教則本のストックがあるんだ
シャミ子,こんな時ってなんですか！？
桃,そしてそれにつけいってシャミ子にピアノだけじゃなく、シャミ子のシャミ子を手取り足取り悪いんだよするんだ♡
リリス,…桃！次は余の番だぞ！
シャミ子,ほら桃、ご先祖の番ですよ！
桃,…そうだね
リリス,露骨に嫌そうな顔すんの止めて？
桃,っていっても、リリスさん実体ないですよね？これもお供えできるんですか…？
リリス,うむ！普段のお供えと変わらぬ。そのピアノとやらの前に余の像を置くだけだ！
シャミ子,じゃあ早速お供えします！
リリス,……おお、出てきた！
桃,じゃあ後は教則本もお供えしますので、おまかせします。シャミ子の指導もしたいので
リリス,いや、適当過ぎない！？それにシャミ子の指導って……まぁいいや。え、えーっと？Am、Dm、Gm…？なんだこれは？と、とりあえず両手で押してみるか？
♪〜ｷﾞｬﾝｷﾞｬﾝｷﾞｬﾝｷﾞｬﾝ,不協和音のオンパレード
桃,っ！
シャミ子,な、なんだか、脳が……揺れる！
リリス,どうだった！？余の演奏は！！
桃,……あー……その……あと一千年かければ、私達のオープニングくらいは弾けるようになるかな……
リリス,お主やっぱりフォロー下手って言われない？
シャミ子,わ、私はセンセーショナルでいいと思います
リリス,本当は？
シャミ子,このままだと騒音問題になります
リリス,やはりか。いいのだ、二人とも。余はyoutubeでピアノの練習法でも探すことにする
シャミ子,ゆーちゅーぶ？
リリス,シャミ子がパソコンをお供えしてくれた時に検索エンジンを使ったのだ！これならお金を払わずとも実質タダでピアノの練習ができるぞ！
シャミ子,なんだかよくわからないですけどユーチューブですね！覚えました！早速家に帰ったら良のを借りて調べてみます！
桃,ッ！リリスさん！余計なことを！
ミカン,二人とも遊びに来たわよ〜！
桃,…ミカンも来たんだね」（次から次へと…
ミカン,あら、電子ピアノね！弾いてもいいかしら？
桃,ああ、うん。いいよ
♪〜Lemon,弾き語り
桃,！？」（ミカン…ピアノ上手かったんだ…
リリス,おぉ？！なんだこの爽やかな曲は！？
シャミ子,すごい！歌もすごく上手です！！
ミカン,いい曲よね〜これ。“Lemon”っていう曲なのよ！最近一番流行りの柑橘類よね！
シャミ子,それは最近流行りの曲であって柑橘類じゃないです！でもすっごい上手ですね！後で教えて下さい！
桃,シャミ子！？
ミカン,よくってよ！
桃,……夢ならばどれほど良かったでしょう
リリス,桃なのに檸檬を歌うのか桃よ……。……あとで余が練習、付き合おうか？
桃,……これで勝ったと思うなよ
