十代,ガッチャ!!
海馬,モクバ。俺はそんなにうるさいか
モクバ,う、うん
海馬,そうか・・・
モクバ,もっと大人しくした方がいいよ兄様
海馬,だが俺は
モクバ,デュエルは楽しくやるものだよ？
磯野,社長お時間です
海馬,磯野お前はどう思う
磯野,私は・・・
モクバ,いいよ磯野。ハッキリ言っても
磯野,は、はい。私も社長の奇行には少し・・・
海馬,・・・そうか。遊戯・・・遊戯
双六,はい。武藤です
海馬,遊戯か！？
モクバ,兄様
海馬,夜分遅くに・・・あ、遊戯くんのお爺さん。はいはい・・・。その節はどうも・・・あ、遊戯くんいらっしゃいますでしょうか？
モクバ,兄様！
海馬,これでいいんだなモクバ
モクバ,さすがは兄様だぜ！
遊戯,時間考えてよ海馬くん
海馬,遊戯か。貴様モンスターの声が聞こえるそう言ったな
遊戯,う、うん
海馬,ならば今ここで対話してみせろ
遊戯,モクバくん勘弁してよ
モクバ,ごめんな遊戯。兄様ちょっとここの病気だから
遊戯,・・・いいよ。聞かせてあげるよ
海馬,ふぅん
遊戯,重症だな海馬くん・・・。一列に並んでみんな
ブラックマジシャン,はい
暗黒騎士ガイア,・・・
デーモンの召喚,・・・
エルフの剣士,・・・
遊戯,僕が主人ってどういう気持ちだい？
ブラックマジシャン,光栄です。マスター
クリボー,最高です
ルイーズの剣士,マスター万歳
マグネットα・β・γ,万歳！マスター万歳！
遊戯,ね？慕われてるでしょ僕？
ブルーアイズ１,あんたさ他人から俺たち奪ったよね？
ブルーアイズ２,主人面やめて欲しいんだよね
ブルーアイズ３,俺たちの同族一匹殺したしさ
海馬,くっ・・・
遊戯,ブラックマジシャン
ブラックマジシャン,はい。しかしこの男も言い分があるのではないか
ブルーアイズ１,お前はいいよ。主人がまともだし
ブルーアイズ２,弟子・・・可愛いよな
ブルーアイズ３,いいよなお前は
海馬,ブルーアイズ！俺はお前たちを
ブルーアイズ１,ﾍﾟｯ
ブラックマジシャンガール,可哀想な海馬さん
遊戯,君もそう思う？僕もだよ
ブラックマジシャン,私が何とか説得してみましょう
遊戯,頼むよ
ブルーアイズ１,は？何言ってんのお前
ブルーアイズ２,この杖があるからライバルとして成立してんだよ
ブラックマジシャン,返せ！
ブルーアイズ３,ほらほら取ってみろよ
遊戯,海馬くん。躾がなってないね
海馬,自由にさせてるんだ。俺は放任主義だ
遊戯,ゆとり教育の賜物だね。やれやれ
ブルーアイズ１,お前って弟子とどこまでやったの？言えよ
ブルーアイズ２,あんな格好させてさ
ブラックマジシャンガール,や、やめてください！
海馬,ブルーアイズ！いい加減にしろ！！
ブルーアイズ３,もうお前に指図されたくないんだよ！
海馬,ううっ・・・
ブルーアイズ１,俺たちは今日より自立させてもらう
ブルーアイズ２,バイバイ
ブルーアイズ３,俺たちは俺たちで生きていくよ
海馬,ま、待ってくれ！待つんだ！！
遊戯,行っちゃった・・・
海馬,ブルーアイズ！何故だ！！俺は
遊戯,じゃあ僕はこれで
海馬,待て遊戯！！！
遊戯,ほら来た。勘弁してよ
海馬,俺と一緒に
遊戯,こんなオカルト染みた事・・・嫌だよ
海馬,遊戯！
モクバ,お願いだ遊戯！兄様の力になってくれ！！
遊戯,・・・
城之内,しかしあんなデカい生物がウロウロしてりゃ
本田,解るだろ絶対に
遊戯,ほらこの街の人たちって慣れてるでしょ？こういうの
城之内,た、確かに
遊戯,今さらサイコショッカーがコンビニでバイトしてても
本田,驚かねえだろうな
遊戯,狂ってるんだよこの街の人たちは・・・根元からね
城之内,あれ・・・あれ！
本田,ブルーアイズ・・・まさかこんなとこに
城之内,おい！ブルーアイズ！！
ブルーアイズ３,やべっ
城之内,逃げたぞ本田！
本田,待ちやがれ！！！
城之内,一匹２００万だったな
本田,ああ。海馬のやつポンと出してくれるって遊戯言ってたよな？
城之内,待てブルーアイズ！！！。よし捕まえた！！！
ブルーアイズ３,離せ！！！
本田,ごほっ・・・
城之内,本田！
本田,ううっ・・・
ブルーアイズ３,お前もデュエリストならモンスターで勝負しな！
城之内,この野郎・・・上等だぜ！
ブルーアイズ３,来い
城之内,炎の剣士！サイコショッカー！ロケット戦士を召喚！！。囲め囲め！！
ブルーアイズ３,は、離せ！
サイコショッカー,やれ
炎の剣士,ブルーアイズの弱点は腹だ！
城之内,よし
ブルーアイズ３,あんな主人の元に戻るなんて嫌だ！
城之内,海馬は海馬なりにお前たちのこと可愛がってるだろうが。後は海馬とじっくり話し合いな
遊戯,君の杖を奪ったのは
ブラックマジシャン,はい。人相の悪いブルーアイズです
遊戯,じゃあ・・・あれかな
ブルーアイズ２,♪
ブラックマジシャン,あいつです！
遊戯,ブルーアイズ！海馬くんの元に戻るんだ！！
ブラックマジシャン,私の杖を返せ！
ブルーアイズ２,冗談じゃない！もう戻りたくない！！
遊戯,我儘言わないでよ。ほら
ブルーアイズ２,なら力ずくで来い武藤遊戯、ブラックマジシャンよ
海馬,ブルーアイズ・・・何故だ・・・
クリボー,いじけてないで行くぞ海馬
海馬,何故に遊戯はお前たちを護衛によこしたんだ
ブラックマジシャンガール,さあ？
エルフの剣士,俺は個人的にあの龍に恨みが
ブラックマジシャンガール,行きますよ海馬さん
海馬,終わりだ・・・何もかも・・・
遊戯,このこの！！
ブルーアイズ２,畜生！何だお前は！海馬のためにそこまで！
遊戯,海馬くんのためじゃないさ。冗談やめてよ
ブルーアイズ２,・・・ッッ
遊戯,君たちが派手に暴れたんじゃDM禁止令が出るからね
ブラックマジシャン,故に戦っているのだお前とお前たちと
遊戯,さあ帰ろう。海馬くんとは僕が話すよ
ブルーアイズ２,あんたが主人だったら良かったよ
遊戯,僕のデッキに君は合わないけどね。はい。海馬くん
城之内,ほらよ
海馬,ブルーアイズ！
遊戯,じっくり話し合いなよ
城之内,お前のおかげで本田大怪我負ったんだぞ！
海馬,ふぅん
ブルーアイズ２,俺たちの扱いもっと良くしろよ
ブルーアイズ３,そうだぞ
海馬,わ、わかった。検討しよう。最後の一体はどこだ！
ブルーアイズ１,ここだ海馬瀬人
海馬,ふぅん。来たか。遊戯！凡骨！
ブラックマジシャンガール,行っちゃいましたよ二人とも
エルフの剣士,あの時の恨み！！
ブルーアイズ１,おっと・・・邪魔だ雑魚剣士！！
エルフの剣士,ぬわああああああああああああああ
ブルーアイズ１,俺は他の二匹のようにはいかんぞ海馬瀬人
海馬,良かろう。ならば俺自身の手で！！
ブラックマジシャンガール,ああ！海馬さんがボロ雑巾みたいに！
クリボー,まずいな殺されるぜ海馬。ﾌｰｯ・・・遊戯達は
ブラックマジシャンガール,探しに行くって言って
クリボー,あいつら・・・殺されちまうぜ海馬
ブラックマジシャンガール,わ、私が
クリボー,待ちな
ブラックマジシャンガール,で、でも
クリボー,・・・
ブラックマジシャンガール,ひっ・・・
クリボー,見守ってやろう海馬瀬人の戦いを
ブルーアイズ１,倒しても倒しても立ち上がる・・・
海馬,フハハハハ・・・どうした！まだまだ！！
ブルーアイズ１,滅びのバーストストリーム！！！
海馬,まだまだ！俺は死なんぞ！！
ブルーアイズ２,何て野郎だ海馬瀬人
ブルーアイズ３,そうだ海馬はいつもこういう男だ
ブルーアイズ２,ふんぞり返ってるだけの社長なんかじゃない。奴は
ブルーアイズ３,己の身体を張って笑いを誘ってきた。奇抜な言動も行動も
ブルーアイズ２,そう海馬瀬人は・・・
ブルーアイズ３,いつも・・・
海馬,ハーハッハッハ！！！！。これで気は済んだろブルーアイズ
ブルーアイズ１,負けたよ・・・あんたには
モクバ,兄様！何て格好してるんだ！！
磯野,全裸ですよ社長！
海馬,心配はいらん！怪我はしてない
ブラックマジシャンガール,あれだけの攻撃受けて衣類が破れるだけなんて
クリボー,ああ。海馬の勝ちだ
遊戯,あれ？終わっちゃったんだ
城之内,全裸だぜ海馬
海馬,フッ
遊戯,どうだい？あれから
海馬,愚問だな。上手くやってる
遊戯,へえそうなんだ。じゃあしようかデュエル
海馬,望むところだ遊戯！！！
遊戯,うるさいよ
海馬,望むところだ遊戯
遊戯,僕のターン
海馬,どうやらカードの女神は俺に幸運を齎したようだ。遊戯め今日こそは・・・。俺のターン！！！」遊戯「もっと静かにできない海馬くん？
