白衣のお姉さん,特にＣ型が不足しておりまーす！愛を分けて下さい
少年,あの、すいません
白衣,あ！愛を分けて下さるんですね！どうぞどうぞ、こちらへ
少年,いえ、そうじゃなく、Ｃ型って何か聞きたくて…うわっ！凄い力！ちょっ痛い！
白衣,まあまあ、こんな所で立ち話もなんですから、さあさあ献愛ルームのなかへ
少年,ちょっ！ケンアイルームってなに？怖い怖い！もういいです！もういいからぁ！
白衣,では、初めてのご利用でよろしかったですよね？
少年,よろしくないです！ご利用しませんから！帰してください！
白衣,まあまあ、話だけでも聞いて下さいな。おいしいお菓子もあるからさ
少年,嫌ですよ！おっとっ〇はもらいますけど
白衣,女に手を引かれてキャーキャー言っていた割に中々ずぶといのね
少年,あ！潜水艦いーな！
白衣,産業革命からはや数百年、地球は隙間が無いくらい、物で溢れるようになりました
少年,語り始めちゃった…
白衣,どこを向いても物だらけ、だけど心は満たされない。そう！愛が足りないから！！
少年,急に大きい声出さないでくださいよ
白衣,ごめんね、続けていい？。世の中、お金が余ってる人、足りない人はいても全くない人ってのはいないでしょう？。でも、愛だと足りないどころか全く持ってない人が数えきれないほどいるの…悲しいわよね
少年,はあ…お姉さんは常識とかが足りない気がするんですが
白衣,そこで作られたのがこの献愛ルーム。愛が溢れて余っちゃってる人から、愛が足りない人へおすそ分けする為の架け橋
少年,おっ〇っとごちそうさまでした。さようならお姉さん
白衣,あと少しだから聞いてってよぉ、ほらカ〇ントリーマームもあるから
少年,伏字下手だね。それにココアばっかりじゃん！バニラないの？
白衣,バニラはあたしが食べました。。ここまで聞いた君は愛を分けても大丈夫なの？って思ったでしょう
少年,ううん、バニラとココアを分けやがってとは思ったけど、あっ！また小っちゃくなってる
白衣,買うたびにちっちゃくなってるよね、じゃなくて大丈夫。愛は血と似ていて量が減ってもすぐに新しい愛が作られるからね。ここまでで何か質問ある？
少年,うーん…要するにシューキョーホージン？
白衣,違うわよ！まあ税金はこっちも払ってないけど
少年,愛を分けるってのはどうやるの？心臓の辺りに注射？僕絶対ヤダからね！噛むからね
白衣,あたしも注射嫌い、ハンコ注射しようとしたお医者さんをきゃもうと…
少年,あっ噛んだ、ていうかハンコ注射ってなに？
白衣,なんか世代の壁を感じるわね、そうそう愛の分け方ね、別に特別な事はしないの、しいて言えばここにいるだけ。大きな愛を持っている人がそこにいるだけで周りを幸せにするでしょう、その原理を拡大しただけ
少年,うーん…よくわかんない…それに僕大きな愛なんて持ってない。すごく…意地悪な…優しくない奴だよ…
白衣,ううん、あたしとここに入れたってことはとっても優しく誰かを愛してて、とっても愛されてるって事だよ
少年,そんなひと…もういないよ
白衣,あ！やばいやばい！規定値超えちゃう！ほら出てった出てった！
少年,え！自分から連れてきといて何？うわ。な、なんなんだよ…ドア閉まる時の音変わってるし…帰ろう
父,少年？おー少年じゃないか
少年,父さん？どうしたのこんな時間に？
父,珍しく残業がなかったからさ、はやくあがったんだ少年はなんだ？学校帰りか？
少年,うん…ちょっとね
父,もう商店街抜けるだけだけど一緒に帰ろうか
少年,うん…
父,なんか、久しぶりだなお前とここ歩くの
少年,そうだね、母さんが…ううん
父,…ごめんな、母さんがいなくなってからなんとなく避けてたよな、母さんのことも
少年,……
父,…５年…５年…もう５年か
少年,……
父,……
少年,……
父,……ふう…。新しい母さんは…や、優しいか？
少年,うん、ヨウコさんはすごく優しい、か、母さんよ、母さんよ…り…ごめん…ごめんなさい
父,いいんだ…いいんだよ…帰ろう、ゆっくり帰ろう
白衣,あからさまにＣ型が不足しておりまーす！愛を分けて下さーい！
少年,あの、こんちは
白衣,あら昨日のぼく、二日連続で見えるなんて…やっぱりとっても愛情の大きい人なのね
少年,また、入ってもいいですか
白衣,もちろんですとも、ようこそいらっしゃい。漫画とかもあるけど読む？
少年,ううんラインナップが気にくわないから大丈夫です、イ〇Dとかこ〇亀とかゴ〇ゴとかダサイ床屋みたいですね。それよりももっとここについて詳しく聞きたいんです
白衣,そう言ってくれると嬉しいな、ハイ、カントリーマーム〇
少年,昨日より伏字下手になってる…あっ違う、新商品だ！
白衣,それじゃあ献愛ルームについてもっと詳しくお話ししましょう。と、その前にあたしから君に質問です
少年,何？ド〇エもんの動力が原子力じゃなくなった理由？
白衣,エじゃなくてえな！じゃなくてさ、本当はどうしてまたここに来てくれたのか、教えてほしいな、本当の理由
少年,…昨日父さんと話したんだ、母さんのことを。僕のうち５年くらい前に母さんが…いなくなって、なんとなく僕も父さんもどっちも母さんのことなんて最初からいなかったみたいに生活するようになって。だ、黙んないでよ、さっきみたいに変なチャチャ入れてよ。どこまで話したかな、去年の終わりごろに知らない若い女の人と僕と父さんと３人で出かけることが増えてって。春には新しい母さんってことになったんだけど、僕…意地悪な奴だから父さんもその人も嫌いで仕方なかった。僕に優しくするあの人も、母さんを無かったことにしようとする父さんも…それをなんとなくしょうがないって受け入れてる僕も許せなかった。父さんやあの人の顔を見るたびに母さんに申し訳ないのとか抵抗できないことの悔しさとかいろんなのがまざって苦しかったのに。昨日帰り道で父さんとあってもちょっとだけ苦しくなかった、ちょっとだけ許せた…と思った。それでお姉さんが言った事を思い出したんだ。愛は量が減っても、すぐに新しい愛が作られる。きっと母さんへの愛を分けることができたから父さんと…あの人への愛ができた…って思うんだ
白衣,そっか……そっかぁ
少年,お姉さん…
白衣,つらかったね…
少年,胸が一切ないんだね
白衣,死ね。はーあ、サービスしてやって損しちゃた、もう帰れば？
少年,お姉さんから僕への愛が感じられない
白衣,君からあたしへの愛情がないからそうなるのよ、愛は相互補完
少年,給食のパンあげるからもっと愛してよ
白衣,コッペパンで愛を買おうとしない、まあもらうけど
少年,ジャムもあるよ
白衣,その袋に入ったやつ懐かしい、けどいらない、この何とも言えない無機質なすっぱさが味わいたい
少年,ジャムつけたほうがうまいのに
白衣,お姉さんは味を食べてるんじゃなくて、これを食べてた頃の思い出を食べてるの
少年,名言っぽく言ってるけど、食べながらしゃべってるからパンくず飛んでるよ
白衣,あんまり時間も無いし質問は一つだけね
少年,うーん一つか、結構気になることあるけど…そうだ！ここって僕にしか見えないの？
白衣,うんにゃ、別に
少年,あれ？僕が特別な訳じゃないの？
白衣,特別じゃないってほどではないけど、選ばれしものってほどでもないよ。愛情があふれてしまいそうな人には多分みんな見えてるよ、まあ普通に愛されてるとか普通に大恋愛してるくらいじゃ見えないけど
少年,全くわからなかったけどありがとう…普通に大恋愛？
白衣,どういたしまして、まあスピリチュアルな場所ではあるよ。そろそろおかえり、何事もほどほどに
少年,こんにちは
白衣,こんにちは今日もきたんだね
少年,今日もきたんだよ、今日こそはここの事教えてもらいたいと思っているよ
白衣,よしきた！懇切丁寧に教えてあげよう
少年,今日はお菓子ないの？
白衣,肉体改造のために間食は控えることにしたの、胸が一切ないからね
少年,あっ、根に持ってる…お菓子ないのか、ちょっと残念
白衣,お昼に食べた唐揚げとキャベツならあるけど食う
少年,くう！唐揚げ好き！クワバタオハラ嫌い
白衣,あたしも嫌いよ、あっためるから待っててね
少年,こんにちは
白衣,こんにちは今日もきたんだね
少年,今日もきたんだよ、今日こそはここの事教えてもらいたいと思っているよ
白衣,よしきた！懇切丁寧に教えてあげよう
少年,今日はお菓子ないの？
白衣,肉体改造のために間食は控えることにしたの、胸が一切ないからね
少年,あっ、根に持ってる…お菓子ないのか、ちょっと残念
白衣,お昼に食べた唐揚げとキャベツならあるけど食う
少年,くう！唐揚げ好き！クワバタオハラ嫌い
白衣,あたしも嫌いよ、あっためるから待っててね。ハフハフ、あっはまっはわよー
少年,間食は控えるんじゃなかったの？
白衣,いいのよ、ルールはあたしなの
少年,暴君だ。最初に来た日にさ
白衣,うん
少年,C型が足りないとか言ってたけど、あれってなんなの？
白衣,愛情の型のことよ
少年,愛情の型？愛情に違いがあるの？
白衣,そりゃあるわよ、女の子が男の子を好きだって思う気持ちと飼っている犬に対する好きって気持ちは違うでしょ？
少年,そうなんだ、うち犬飼ってないからわかんないな
白衣,あたしも飼ったことないな、でA型は男女愛、B型は友愛、で今足りないC型は…
少年,居なくなった人への…愛？
白衣,せーかい、なんだ賢いじゃん
少年,なんとなくわかるよ、他にあるの？
白衣,うん細分化するとけっこうあるよ、例えば…。やあお勤めご苦労さん
少年,お姉さんこそごくろーさま
白衣,毎日毎日飽きないねえ、クッキー焼いたけど食べる？
少年,食べたい、お姉さんのクッキーそこそこおいしいから好き
白衣,そこそこかぁ、生意気だなぁ
少年,ねえねえ
白衣,はいはい
少年,僕、毎日来てるけど愛がいらなくなったりしないの
