私の扱う商品は,心
さて、この度私は、ドラえもん様という方が使っていた,入れかえロープ
今まで以上に豊富な,ひみつ道具
空野,はあ、今日も満員電車で出勤か嫌だなあ。
喪黒,こんにちは。何かお悩みですか？
空野,ええ、満員電車が嫌いでして……空でも飛べればいいんですが
喪黒,ではこれを差し上げましょう
空野,これはすごい！空を飛べるじゃないか
喪黒,便利ですが使いすぎには気をつけてくださいね
空野,よし、そろそろ出社するか
喪黒,やれやれ、使いすぎないようにといったはずなのに。それにしても死んでしまえば真の意味で空を飛べましたね
孫,わーい、キャンプ楽しいねおじいちゃん！
足利,そうだな……たまにはこういうのもいいものだ。今となっては散歩程度にしか動けない。もう一度旅行をしてみたいものだ
喪黒,こんにちは。私ならあなたのお手伝いができるかもしれません
足利,……？どういうことだね
喪黒,こちらを差し上げましょう
足利,すごい！これなら北海道でもフランスでも旅行し放題じゃないか
喪黒,喜んでいただいて光栄です。ですがこのドアを使うときは、必ず一人で使ってくださいね
足利,わかりました。遠くの観光ができればそれで十分ですから。すごく楽しいんだが、もう少し旅行先が豊富にならないかなあ。……そうだ！
家政婦,わかりました。3時間後にドアを開けばいいんですね
足利,うむ。私がドアに入ったら締めてくれ。3時間後に合流だ。ほう。自由の女神には感動させられたな。といっても、そろそろ3時間。集合場所に行かなくては。ドアは！ドアはいつになったらでてくるんだ！
喪黒,こんにちは。あなたは一人でどこでもドアを使わず、他の人と使ったのですね？
足利,そ……そうですが、番をしてもらっただけですよ
喪黒,私は警告したはずです。あなたはそれを自ら破ったのです！。ほほほ、元々できた散歩すら出来なくなってしまいましたね。それにしても、大切なものを他の人に見せたら取られることもあるでしょうに。私なら絶対、人に教えたりしませんね
立花,勉強勉強勉強！
喪黒,こんにちは。喫茶店で勉強するとは熱心ですね
立花,ええ、こんにちは……実は東大を目指しているのですが昨年浪人してしまったもので……
喪黒,ほう。東大ですか。ちなみに今年は受かる見込みがあるのですか？
立花,うーん。実際の所かなり厳しいですね
喪黒,そうですか、ではこれを差し上げましょう
立花,ありがとうございます……お守りだとは思いますが……ちょっと試してみます
喪黒,どうぞ
立花,すごい！この問題は専門家でも悩むような問題ですよ！
喪黒,それはそれは。……ですが立花さん、この道具は学校の勉強以外には使わないでくださいね
立花,ええ、わかりました。未解決問題に取り組むとコンピューターが壊れるとか、そういう感じですね！
喪黒,ふふふ……
立花,やったぞ！コンピューターペンシルのおかげだ。うーん。どうしたらAIが人間以上になってくれるものか……。壊れても仕方ないや、使ってみよう。すごい！従来の手法とは比べ物にならない……これを実装すれば俺は世界トップだ
喪黒,ほほほ、自分を超えるAIがコンピューターペンシルしかないと知ったAIはもちろんコンピューターペンシルを壊しますよね……勢い余って立花さんまで壊してしまったようです
ドラえもん,こんにちは。ぼくドラえもん
のび太,たぬきが……喋った！？
ドラえもん,僕はたぬきじゃない！！！
セワシ,こいつは君の世話をするための子守用ロボットだ。でも頼りすぎないようにね
のび太,ねえドラえもん、僕、年齢に対してあまりに幼すぎない？
ドラえもん,そうかな？僕は子守用ロボットとしてここにやってきたけど、別にそうは見えないよ
のび太,ならいいんだけど……あと3年でしずかちゃんどころか、ジャイ子ちゃんとすら結婚できるとは思えないよ
ドラえもん,そうかなあ……
喪黒,のび太くんの感想は当たってますよ……彼はドラえもんに頼りすぎたのです。どんなに便利でも、頼りすぎてはいけないのですよ。自分で考え、自分で行動し、そうしないと未来に進めはしない。設定上22世紀に住んでる私……セワシが言うのだから間違えありませんよ
