彡(｡)(；),はあ、はあ……、うう、仲間とはぐれてしもうた
彡(ﾟ)(ﾟ),けどシェルターまでもう少しや、何とかゾンビに出くわさんように…
男ゾンビ,ガアアアアア
女ゾンビ,ウグウウウ
彡(ﾟ)(ﾟ),うわ、あかん…二匹も出てきた……挟み撃ちの形や。ワイもここまでか……
女ゾンビ,グルウウアアアアアァ！！
彡(ﾟ)(ﾟ),へ？。ゾンビが、ゾンビに噛み付いた……？
女ゾンビ,ゴガアアッ！！グブウッ
彡(ﾟ)(ﾟ),おお…女ゾンビのほうが、男ゾンビのノドを食いちぎってバリバリ食うてる。男のゾンビも抵抗してるけど…最初に首筋を噛まれたせいでうまく動けてへん、あ、グッタリした
女ゾンビ,グウゥ…
彡(ﾟ)(ﾟ),どっか行ってまうわ……何やったんや、今のは。と、とにかく、今のうちに逃げるんや。せやけど、今の女のゾンビ……。めっちゃタケノコの匂いしたなあ…。ただいま、何とか生きて帰ってきたで。チームのみんなは無事か？。そうか……良かったわ。こいつはワイの友人や。頭のいいやつで、今はこのシェルターのリーダーを務めてる。どのぐらい頭がいいのかと言うと、サイレントヒルシリーズで一度も地図を見ないほどで。ゾンビは１０体ほど駆除した、民家は５０軒ほど捜索して、Ｚドロップは１０粒ぐらい見つかったで。どの家に残ってるか分からへん、っちゅうのが厄介やなあ。とにかく一個も残らんように回収せんと…。ああ大丈夫や、噛まれてもないで。ところで変なものに会ったんやけど。タケノコの匂いがするゾンビや。そうなんや、ワイのほうには目もくれへんかった。突然変異やろか？「怪物」の一種かも…。ふーむ。ことの始まりは、アメリカの製薬会社が作った健康食品やった。「Ｚドロップ」というその飴玉は、栄養満点、気分爽快、免疫力も劇的に向上するっちゅうシロモノや。日本では薬事法とかの関係でなかなか入って来なかったけど、こっそり個人輸入してる人が大勢いた。そして１年前のある日、満員電車の中で、乗客が次々と他の乗客に噛み付くっちゅう事件が起こった。世界各地で同じような事件が発生…。原因がＺドロップにあると分かったときはもう遅かった。彼らはゾンビと呼ばれた、人間を襲い、その肉を食う、そして噛まれた人間は数時間で同じゾンビになる。動きは遅いけど、餓えていながらも長時間動き続け、致命傷の何倍ものダメージを受けても止まらない。それだけなら何とかなる、せやけど、「怪物」の存在が……。ゾンビを食べるゾンビは珍しいけど、相手のゾンビに抵抗されるみたいや、すぐ死んでまうやろな。まあ進撃の巨人で言う奇行種みたいなもんやろ。ゾンビを駆除する役には立たへんやろうな。へ？。！！。ゾンビたちは、生きてる人間の他に、Ｚドロップも捕食する。ゾンビ化した人間が、さらにＺドロップを食べたらどうなるか。答えは「怪物」になる。目にも留まらぬ速さで動くもの、鋼鉄のような皮膚を持つもの、象のように巨大化するもの…。特にアメリカは「怪物」が数万体も出現し、軍隊がほぼ壊滅するほどの激戦になったらしい。なるほど……じゃあその変なゾンビを見つけて、Ｚドロップを食べさせれば。そうなんや。へ？？。いや、分かるやろ、あのボワワワッ、フィオーンって匂いや
