川口,先輩、お電話入ってますよ
ひろし,俺にか？はい、お電話代わりました双葉商事の野原です
みさえ,あ、あああ・・・！あなた・・・！！
ひろし,どうしたみさえ！？落ち着け！
みさえ,ひまが・・・ひまがぁぁぁぁぁ！！
ひろし,ひまわりがどうかしたのか！？
医者,奥さん、お電話代わります。野原ひろしさんですね。非常にお辛い事実をご報告しなければなりません。実は・・・
警察,加害者の若者たちは未成年故に軽い罰ですむそうです・・・
ひろし,なんでだよ！？ひまが何かしたのか！？なんでそいつらは軽い罰で・・・ウッ・・・オェェェェェ・・・っ！！
警察,野原さん落ち着いて下さい！！・・・加害者は◯年後に釈放されます。その時までに心の整理をしておいて下さい・・・
ひろし,う・・・ううう・・・・・うぁぁぁぁぁ・・・・・。みさえ・・・飯出来たぞ、たまにはなにか喰わねえと・・・
みさえ,・・・
ひろし,ひまわりもなんとか一命は取り留めたけど・・・いつ目が覚めるかわからない植物状態・・・今日は彼らが釈放される日だ。会ってくるよ・・・しんのすけ、母ちゃんのこと頼んだぞ
しんのすけ,・・・・
ひろし,こんな時だからこそ、一家の大黒柱の俺がしっかりしねえとな・・・！
警察官,では・・・面会室までご案内します
ひろし,・・・はい
若者,・・・！
ひろし,君が・・・A君か・・・
若者,う・・・ううう・・・ああああああああ！！ごめんなさい！！俺・・・俺は取り返しの付かないことを・・・！！うあああああああああああああああああああああああああ・・・・・・・・・
ひろし,もういい・・・もういいんだ。ひまは今、俺の家で治療を続けてる。君も・・・ひまが1日でも早く治るように祈ってくれ・・・
若者,お、俺・・・俺にできることならなんでもしま・・・・うあぁぁ・・・・一生働いてでも・・・治療費・・・俺が・・・
ひろし,いいんだ、その金は・・・お前を産んでくれた父ちゃんと母ちゃんに使え
若者,あ・・・・ああああああああ・・・・・
ひろし,誰も出ねえな・・・まぁいい、家に帰って直接話そう。。っと・・・そうだ、さっきの警察官に言いたいことがあったんだ・・・今までお世話になったこと、伝えねえとな。面会室にまだ居るか・・・？居なかったら誰かに伝えといてもらうか・・・
若者,・・・・
警官,・・・
ひろし,ん？なんだ・・・・？
若者,アッハハハハ！聞いたかよ親父！お前の父ちゃんと母ちゃんに使えだってよ！！
警官,笑い事じゃ無え、ったく・・・てめえのせいで俺の警察官としての地位も全部水の泡になりかけたんだぞ？てめえにはあのお人好しの言うように一生働いて尽くしてもらわねえと気がすまねえぜ
若者,そーいうなよ親父、後で泡盛でも奢ってやっからさ、水の泡だけによ！
警官,洒落ばかり達者になってんじゃねえ、しっかしあの赤ん坊が生きてるたぁ驚きだぜ
若者,だよなー！？ガキの生命力には驚かされるぜ、ゴキブリみてえｗｗｗｗｗｗｗｗｗｗ
警官,だっははははは！ゴキブリか！確かにあいつもショボくれたゴキブリみてえな顔だったしな！！
ひろし,・・・・。。ぐ・・・・あああ・・・・あああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああ！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！。ゆるさねえ………！！あいつら・・・・！！！あいつらだけは・・・。あ………あああああ………あああああああ………！！。・・・ひま・・・待ってろ・・・カタキは父ちゃんが討ってやるからな・・・
中村,いらっしゃいませー、げっ！？。店長！昔よく来てたあの子供の父親です！
店長,見張っていて下さい！さすがに父親ならば常識のある人だとは想います！
中村,ラジャー！！
ひろし,あの・・・すいません
中村,は、はい！
ひろし,心理学の本と・・・法律の本を・・・買いたいのですが・・・
中村,あ、はい！こちらになります！（さすがにまともな本を買うのね・・・）
ひろし,結構あるんですねえ
中村,ええ、心理学や法律ともなればお買い求めになるお客様も多いですからね
ひろし,じゃあ・・・この本全部ください
中村,え・・・ええ！？
ひろし,覚えなきゃいけないことが在るんですよ・・・色々と・・・一生使ってでも・・・
中村,・・・！？。あ、あの・・・配達しましょうか・・・？
ひろし,いえ・・・車で来たので・・・積んで帰ります。一刻も早く読みたいんです
中村,は、はぁ・・・・
