杏子,それなら
ほむら,契約って言われても、そもそも魔法少女って何なのか私まだ良く知らないんですけど・・・
まどか,あっ、そっか。ほむらちゃんはついさっき知ったばかりだもんね
マミ,そうね、じゃあ私が説明しｔQB「魔法少女というのはだね
QB,魔女を狩る存在さ。もちろん無償でやってもらうわけじゃない、ちゃんと見返りもあるよ
マミ,もしかしてQBは私のことが嫌いなの・・・？いいえ、そんなはずはないわ！そんなはず・・
ほむら,魔女、ってさっき鹿目さんたちが戦ってた怪物のこと？
まどか,うん、そうだよ。でも怪物みたいなのは使い魔で、魔女は門みたいな方だったけどね
ほむら,そんなっ、私あんな怖いのと戦うなんて無理です・・・
マミ,そうね、確かに怖くないといえば嘘になるわね。でもあけｍQB「そうか！分かったよ！
QB,君はこの洗剤を普通の洗剤だと思っているんだね？
マミ,・・・
まどか,え？それって普通に売ってる洗剤とは違うの？
QB,あたりまえじゃないか
ほむら,あ、本当だ。インキュベーターも顔面蒼白の白さに！って書いてあるよ
QB,暁美ほむら、例えば君がお気に入りの洋服にケチャップとソースと醤油を同時にこぼしたとしたらどうだい？。僕には感情がないからよくは分からないけど、君はとても悲しいんじゃないかな？
まどか,私にはそんな状況が思い浮かばないよ
ほむら,え？うん、そうだね・・・あっ考えただけで涙が・・・
まどか,泣かないでほむらちゃん！
マミ,どうしよう、会話に参加してもまたQBに邪魔されそうな気ｇQB「ところが！この洗剤だとっ！
QB,全て洗い落とすことが可能なのさ！
マミ,思考パートでさえ遮られた！？ちょっとキュゥｂほむら「それ本当ですか・・・？
QB,もちろんさ。僕は嘘はつかないよ
マミ,
QB,ケチャップソース醤油に油汚れ、果てはお肌のシミやらソウルジェムの穢れまで綺麗サッパリさ
まどか,凄いよQB！普通の洗剤でも落とせない物まで大丈夫なんだね
QB,その通り。もちろん服の染色もバッチリ落とせるよ
まどか,洗剤として欠陥品だった・・・
ほむら,あの、私別にそこまで凄い洗剤は必要ありません・・・
QB,なるほど、君は交渉が上手いね。よし分かった、今契約してくれるならこの洗剤を3個付けようじゃないか
ほむら,いえその、数の問題じゃなくて・・・。お洋服がそんなことになってしまったら、少し悲しいですけど諦めることにします・・・
まどか,ほむらちゃん・・・
QB,そうかい？でも強要はできないからね
ほむら,はい、ごめんなさい。力になれなくて
QB,なら、こっちのチケットならどうかな？
ほむら,別のがあるの！？
まどか,チケットっていうと、野球とかサッカーとかかな？
ほむら,なに・・・これ・・・？
まどか,なに・・・これ・・・？
QB,キュップぃボールの世界選手権のチケットさ。しかもＳＳ指定席だよ
