テレビ,土俵に上がった女性に対し、相撲関係者が“女は土俵に上がるな”と……
女,な、なんなのこの事件！。いくら伝統だからって、こんなの許せないわ！。よ～し、こうなったら意地でも土俵に上がってやる！
横綱,どすこーい！どすこーい！。ふぅ、今日の相撲イベントも大盛況だ。これでもっと相撲人気が出てくれればいいのだが……
行司,コラーッ！何をしているんだ！
横綱,ん？。どうした、何かあったのか？
行司,横綱！そ、それが……
女,オーッホッホッホ、土俵に上がってやったわ！ざまあみなさい！
行司,あの女が土俵に上がってしまって……下りようとしないのです！
横綱,なんと……！。いったいどんな理由で……？
女,私はね、昔から土俵は女人禁制っていうしきたりをおかしく思ってたの！。土俵に女が上がっちゃいけないなんて差別よ！是正すべきよ！
行司,ふざけたことを……！伝統を侮辱しおって……！
横綱,まあ、彼女の気持ちも分からんではないが……とにかく穏便に――
行司,なにをいってるのです、横綱！あんな女は断固として排除すべきです！。警備員ども、やってしまえ！
警備員A,はっ！。すぐに下りるんだ！
女,下りないっていってるでしょ！
警備員A,ならば力ずくだぁっ！
女,とりゃあ！
警備員A,ぐはっ！
警備員B,このアマ……警備員をナメるなよ！
警備員C,意地でも土俵から引きずりおろしてやる！
警備員B,ぐべぇっ！
警備員C,げふぅっ！
女,オーッホッホ！この程度じゃ私を土俵から出すことはできないわよ！
行司,おのれ……！まだ残ってやがる！
横綱,ほう、あの女性……なかなかの使い手だな
付き人,よ、横綱ァ！
横綱,ん？
付き人,大変です！
横綱,ああ、土俵にいるあの女性だろう。今、説得しようと――
付き人,いえ、あの女の件ではないんです！
横綱,他にも何かあったのか？
付き人,実は……国技館にこんな手紙が届いていたんです！
横綱,見せてくれ。どれどれ……。――こ、これは！？。爆弾だと……！？。この文面の迫力、とてもただのイタズラとは思えんな。しかも三時というと、もうほとんど時間がないじゃないか！。い、いかん……！あの女性をすぐに土俵から下ろさないと！。よし、俺が――
力士A,お待ち下さい、横綱！横綱の身になにかあったらどうするのです！
力士B,ここは我々にお任せを！どすこーい！
横綱,う、うむ……頼んだぞ！
女,ふん……ついに力士が出てきたわね。そのでっぷり太った体が見せかけじゃないって証明してみなさいな！
力士A,だああああっ！
女,はぁっ！
力士B,どすこーいっ！
女,張り手をさばいて……肉のない顔面の急所へ突き！
力士B,ぐああっ……！
女,オーッホッホ！私は今日のためにあらゆる格闘技をマスターしてきたのよ！
横綱,あの二人も力士としては相当な実力なのに、あっさりと……！。もう爆発まで時間がない……説得せねば！。……
女,あら、とうとう横綱の御登場？いつもテレビで拝見してるわ
横綱,君……すぐに土俵から下りるんだ！
女,イヤよ！
横綱,実はその土俵には……爆弾が仕掛けられてるんだ！すぐ下りないと危険だ！
女,爆弾ですって？オホホ、見え透いたウソをつかないでちょうだい！
横綱,だよな……こんな話しても信じてもらえるわけがない！。こうなったら脅してでも！。皆の手本となるべき横綱として、こんな口のきき方はしたくないが……。とっとと土俵から下りやがれェ！！！
女,絶対イヤ！
横綱,ぐっ……
女,ふん、横綱も一皮むけば、女にそんな口をきくチンピラなのね！見損なったわ！。たとえ隕石が降ってくるとしても、下りないんだから！
横綱,しまった……！余計こじらせてしまった……
付き人,横綱、もう時間がありません！逃げましょう！
行司,今、土俵が爆発しても、あの女が死ぬだけ！自業自得だ！放っておくんです！
横綱,……。いや、そうはいかん！。俺は彼女を助ける！どすこーいっ！
行司,横綱ァァァァァ！！！
横綱,うおおおおっ！
女,来たわね……横綱！あんたを倒して、土俵を制覇してやる！。てりゃあっ！
横綱,……
女,！？。だあっ！どりゃあっ！。全部クリーンヒットしてるのに……つ、通じない……！これが横綱だというの……！？
横綱,む……！もう彼女を連れて、土俵の外に出る時間がない！
女,ちょっと！なんで攻撃してこないのよ！私をなめてるの！？
横綱,やむをえんっ！。これしかない！
女,な、何すんの！？これって……サバ折り！？やだ、骨を折られちゃう！
横綱,君を……守る！
女,ええ！？サバ守り！？
爆弾魔,土俵さえ爆破できればよかったが……思わぬ収穫ができたな。横綱と女もろとも、あの土俵は爆発だァ！！！
付き人,横綱ァァァ！！！
行司,ああっ……！なんてことだ……！まさか、横綱がこんな死に方を……
爆弾魔,我ながら、素晴らしい爆発を起こすことができた……！。これではいくら横綱といえど、肉片すら残っていまい……。俺はこれで、≪ドヒョウブレイカー≫！そして、≪ヨコヅナキラー≫になったのだ！。フハハハハハ……！！！。……は！？
横綱,……ふうっ。大丈夫か？
女,あ、あ、ありがと……平気よ。あなたが、私を抱き締めてくれたから……
横綱,よかった……
女,なんで私を助けたの？土俵を汚した私を……
横綱,……女性一人守れずして、何が横綱か
女,横綱……
爆弾魔,バ、バカな！なぜ爆弾が効かない！？。TNT爆薬10万トンだぞ！1万トンの10倍なんだぞ！すっげえ高かったんだぞ！
横綱,爆弾ぐらいで横綱は倒せん……
爆弾魔,うぐっ……！
横綱,俺を倒したければ、正々堂々相撲で勝負しろ！
爆弾魔,ううっ……なんという男気……！これが横綱……！。じ、自首します……
行司,勝負あった……！
女,本当に……ありがとうございました
横綱,いやいや、来場所に向けていい稽古になったよ
女,はい……
横綱,ところで、折りいって頼みがあるんだが
女,なんですか？
横綱,俺は君の戦いぶりや、強引に土俵に上がった女っぷりにすっかり惚れてしまった！
女,え……
横綱,どうかこれからは土俵ではなく、家庭に入ってもらえないだろうか……
女,はい……私でよければ……
行司,う～む、さすが横綱！
付き人,相撲だけでなく、恋愛でも押しが強い……！
