戦士♂,そうだ。お前はひのきのぼうだ
商人♂,ガハハ、そりゃいい例えですな！
僧侶♂,どういうこと？
戦士,口に出さねば分からないか。はっきり言って、お前にはこの旅は荷が重過ぎる。今まで大目に見てやったが、お前は勇者と違い、能力的には平凡な小僧だ。貧弱で力はない、頭の回転は鈍い、攻撃呪文は弱い。ヒノキの棒のように役に立たんということだ。回復呪文、一部の補助呪文だけが取り得だったが、それももう用済みになった
僧侶,用済み？
賢者♂,私がこのパーティーに入ることになりました
僧侶,えっ？あなたは？
賢者,はじめまして、賢者です。私は強力な攻撃呪文・補助呪文に加え、あなたの使用できる呪文もすべて習得しています。私があなたに代わって勇者様を支え、打倒魔王を為す一助となります
戦士,そういうことだ
僧侶,……そっかぁ……
商人,分かったら、とっとと自分の家に帰れ！
僧侶,えっ？いまから？
戦士,もうお前はパーティーの一員ではない。これを以て赤の他人も同然ということだ
僧侶,あの……勇者は？いまお風呂に入ってるけど……
戦士,勇者もとっくにこの件は了承済みだ
賢者,ええ、私もその場に居合わせていました。多少の抵抗はあったようですが――。魔王討伐を実現するに当たって、旅の効率性をご説明したら、最終的に納得されました
僧侶,……そうなんだ。じゃあ仕方ないかなぁ
戦士,さあ、勇者が戻ってくる前に行け。会えば勇者の心に迷いが生じるかもしれん
僧侶,あの、やっぱりいまから？
商人,一人分の宿代も、お前からこの賢者殿に差し替えているのだ。居残ってもらっては困るぞ！
賢者,出会ったばかりでいきなりお別れとは残念ですが、どうか道中ご無事で
戦士,さぁ、早く行け！日が沈まないうちに出たほうがいいぞ
僧侶,うん、分かったよ。支度する
商人,ちょっと待て！
僧侶,？なに、商人さん
商人,旅の装備とゴールド、それに道具は全て置いていってもらうぞ！
僧侶,えっ？全部？
商人,当たり前だ！旅の物資は全てワシが管理しておるのを忘れたか！。どさくさ紛れに貴重なアイテムを持っていかれては、たまったもんじゃないぞ！。いいか、我々は物見遊山ではない、魔王を倒しにいくのだ！１Ｇもムダにはできんのだ！
僧侶,そっかぁ……
戦士,とはいえ商人、これはまだ未熟な子供。無一文での一人旅は危険だと思うが
商人,おお、そうですな！おい、ひのきのぼう！これだけくれてやる！
僧侶,えっ？これだけ……
商人,ひのきのぼうと同じ価値なら、それと同じ額なの当然であろう！
戦士,商人、それはやり過ぎでは
商人,いいえ戦士殿、この町はご存知の通り物価が高い。事実、我々の予算も余りに余裕はないのです。先々のことを考えれば、いかなる支出も必要最小限にとどめるべき！全ては魔王を倒すために！
賢者,……僧侶さん。あなたはバギ系呪文も使えるはず。それで弱った魔物を倒すこともできましょう。道中戦いに傷ついたとして、宿に泊まりつつ確実な勝利を重ねていけば、金銭に困ることないはずです
僧侶,……でも……
商人,まだ何か不満があるのか！？それ以上何か言うなら、その５ゴールドも取り上げ……戦士殿？
戦士,僧侶よ。お前は子供とはいえ、仮にも勇者のパーティーの一員だった。その誇りと、勇者から分け与えられた勇気の一端があれば、何も恐れる必要はない。分かったな
僧侶,うん。分かった。戦士さんたちも、お気をつけて。勇者に、よろしく言っておいてください
戦士,うむ。早く行け
僧侶,えと……アイテムと……装備品はここに置いておきます
商人,おいそんな汚いところに置くな！少しは考えろ！
僧侶,あ、ごめんなさい。えっと、こっちに置いときます。それじゃあ――さようなら
戦士,――行ったか？
賢者,はい、確かに町を出たようです
商人,ふうう、ようやっと厄介払いができましたな！
戦士,あまり悪く言ってやるな。俺はああは言ったが、あの僧侶はあれで多少は旅に貢献していた
賢者,しかし、勇者様と同い年というのは本当なのですか？私と二つと違いませんよ
商人,がはは、もともと勇者様のコネで入ったような能無しですからな！。賢者殿のように、若くして賢者の号を勝ち取った本物の導師とは、格が違いますわ！
賢者,本物かどうかは判りかねますが、流石にあの少年より優っているという自信はあります。私が勇者様の剣となり盾となり、魔王打倒に向けて全霊を注ぎましょう
戦士,うむ、賢者よ、ともに世界を平和にもたらそう。これからはよろしく頼むぞ
賢者,お任せください
商人,そうと決まれば、お近づきに酒瓶でも開けませんか！今晩は一段と冷えるようですぞ！
勇者♀,あっ、みんな集まって何してるの？
戦／賢／商,！！
商人,ゆ、勇者様！
勇者♀,あれ？僧侶も一緒じゃないの？どこいったの？
戦士,……それについては勇者。その前に話すことがある
勇者,なに？
戦士,予め話はしておいただろう？こちらの賢者が、正式にパーティーに加入することになった
賢者,はい。すでに挨拶は済んでいますが、改めてよろしくお願いします
勇者,わあ、そうなんだ！こちらからもよろしくお願いします！。にぎやかになるなあ。ボクと僧侶と賢者さんとで、もう回復役には困らないね！
商人,僧侶はもういませんぞ
勇者,……。……えっ？いないって？
