東山,西住みほ、27歳。彼女は高校時代、軍神として世に名を知らしめました。1年生では全国大会準優勝。2、3年生では優勝。大学では六大学戦車道で4連覇という偉業を達成しました。そんな彼女が今、苦境に立たされています
―,おはようございます
みほ,おはようございます
―,今日は契約更改の日ですね
みほ,はい……あ、中どうぞ
―,失礼します
優花里,おはようございます
―,おはようございます。今のお気持ちはどうですか
みほ,そうですね、出来ればまだ現役を続けたいとは思っています
優花里,大丈夫ですよ、みほさんなら
？？,ママー！
優花里,はーい、どうしたの
？？,ボコ見るボコー！
優花里,ちょっと待っててね。今パパの大事なお話してるからね
？？,えー！
みほ,じゃあ行ってくるね
優花里,はい！いってらっしゃい！
りほ,いってらっしゃーい！
―,素敵な家族ですね
みほ,はい。家族がいなかったらもう戦車道辞めてたかもしれないですから
―,戦車道を辞めたいって思ったことはありますか？
みほ,やっぱり1年生の全国大会ですね。あの時は全部が嫌になっちゃって、学校もやめましたし
―,でも、その次の年に優勝してますよね？
みほ,はい。当時の生徒会長だった人が戦車道を復活させるって息巻いてて。経験者が私しかいなかったので無理やり……って感じですね。あの時はすごかったですね、買い物行くだけで記者の人が付いてきて。本当に外も歩けなかったですから
―,大学に進んだことは後悔してないですか？
みほ,はい、全く。すぐプロに入ればこういう結果にはならなかったって人もいますけど。そんなの結果論ですから。お姉ちゃんはすごいですよ。私とは才能が違い過ぎます。本当に手の届かないところに行っちゃったなぁって感じです。でも私だって家族を食べさせないといけないんです。死に物狂いでなんだってやるつもりです。ターニングポイント……やっぱり2年目のケガですかね。あの時はちょうど子供も生まれた時だったので。本当に悩みました。着きました
―,では、いってらっしゃい
みほ,はい、行ってきます
―,結果は？
みほ,はい……あなたは来期の戦力構想に入っていないと言われました。つまりはクビですね
―,そうですか……
みほ,でも一応他のチームが獲得してくれるか待って、どこもなかったらトライアウトを受けるつもりでいます。はぁ……。ただいま
優花里,おかえりなさい！……どうでした？
みほ,うん……まぁ……
優花里,そう……ですか。大丈夫ですよ！みほさんなら他に取ってくれるチームがあるはずです！。トライアウト受けるんですよね？一緒に頑張りましょう！。じゃあ私行ってきますね、りほのことよろしくお願いします
みほ,うん、ごめんね
優花里,もう！謝らなくていいですから！
―,どこかへ出かけれられるんですか？
優花里,はい。産婦人科に行った後、美容院に行きます
―,髪を切りに？
優花里,いえ、職場です。いってきまーす。よいっしょっと……
みほ,うん。ほら、ママいってらっしゃーいって
りほ,ママいってらっしゃーい！
みほ,……。ホント、情けないですよね。何やってるんだろうって。二人目も生まれるのに
エリカ,なかなか仕上がってるじゃない
みほ,うん、だいぶ修正出来てきたよ
―,西住選手の調子はどうですか？
エリカ,悪くないわね。ケガももう完全に治ってるみたいだし。でも・・・
―,でも？
エリカ,みほは、戦車乗りとして一番大事な物をなくしてしまったかもしれないわ。あれだけ大ケガしたんだもの。イップス、いやPTSDになってもおかしくないわ。教え子にも似たような症状の子がいるの
―,トライアウト、厳しいですか？
エリカ,……頑張ってはもらいたいわよ、同期の星なんだから。でももうこれ以上みほが苦しむ姿を見たくないっていうのも本音よ。まぁみほがやるっていうならとことん最後まで付き合うけど。一応数年前まで隊長と副隊長だったんだから
優花里,はーい
まほ,私だ
優花里,お義姉さん、お世話になります
まほ,グーテンターク、優花里
りほ,……
優花里,ほら、ちゃんと挨拶して
まほ,久しぶり、大きくなったな。覚えてないか？
りほ,パパ？
優花里,いや、違うでしょ。パパのお姉ちゃんのまほお姉さんだよ
まほ,おばさんでいい
りほ,……
優花里,すみません、この子ちょっと人見知りするみたいで
まほ,このぐらいの子はみんなそんなものだ。それにしても小さい頃のみほそっくりだな。とりあえずご飯でも作ろうか？食材も買ってきた
優花里,すみません。あまり食欲がなくて……
まほ,そうか。じゃありほの分を作ろう
りほ,ごはんー！
まほ,ほら、特製ブルストだぞ
りほ,うわー！ソーセージ！
優花里,……
まほ,食欲出ないか？
優花里,はい……逆に戻しそうです
まほ,そうか、背中さすってやろう
優花里,あ、ありがとうございます。楽になります
まほ,予定日はいつなんだ？
優花里,来月の15日です
まほ,となると……
優花里,はい、みほさんのトライアウトと同じ日です
まほ,そうか……
優花里,こんな大事な時期に傍にいてあげられないなんて妻失格ですよね
まほ,そんなことはない。出産は待ってくれない。失格とか合格とかそういう話じゃない。厳しいことを言うが、こんな時期にクビになったみほが一番悪い
優花里,それも、もしかしたら私のせいかもしれないです。私たち家族がプレッシャーになって、それで悪循環になってるのかもしれないです
まほ,優花里
優花里,は、はい
