※やきうと勇者部新作東郷,また逃げやがったなやきう！地の果てまで愛してやる！！！
銀,やきうっ何食べてるんだ～？
彡(^)(^),昼飯やで！海老マヨおにぎりや！
銀,一口貰っていい？
彡(^)(^),おう！今千切るからまってや
銀,いいよそのまま
彡()(),よだれ垂らしながら食べるのやめーや
銀,あーおいしい！
彡(ﾟ)(ﾟ),ばっちぃンゴ…ヨダレまみれやんけ…銀ちゃん全部食ってーや
銀,私がそんなに汚い女に見えるか？。傷ついた…私をそんな風に見てたのかやきうは…
彡(ﾟ)(ﾟ),誰だって嫌やろ他人のヨダレでべったべたの食べ物なんて
銀,私は平気だぞ？やきうの食いかけのお菓子から弁当まで毎日米粒一つ残さず処理してるんだからな
彡()(),銀ちゃん最近ちょっと変やぞ…一番ええこやったのに…
夏凜,私は違うってわけ…。やきうの味がしなくなったわ…やきうの新しいリコーダー頂戴？
彡()(),そんな事してるから頭おかしいって思われるんやぞ
夏凜,いつもあんただって私のリコーダー舐めてるじゃない
彡()(),夏凜ちゃんが勝手にさきっちょ交換しとるだけやんけ！
銀,やきう毛づくろいさせろ
風,おいやきう神戸和牛の出汁を効かせた牛すきうどん作れ
樹,アク抜きしないとエグ味が強くなるから四六時中鍋から目を離すなよ
園子,わたしピラニアのホイル焼きが食べたいんよ～！
友奈,やきうちゃん後で一緒に裏山でミノムシごっこしようね♪
彡()(),…
東郷,やきうちゃんこれから新婚旅行行きましょう？
彡()(),昨日行ったばかりやんけ
東郷,やきうちゃんこれから新婚旅行行きましょう？
彡()(),ほらキャンディでも舐めて落ち着いてーや？
東郷,ぺろぺろぺろぺろぺろ
銀,友奈！部室でペットボトルロケットしようぜ！
友奈,わー楽しそう！ってこれ銀ちゃんが作ったの！？
銀,おうよ！部屋でしょんべん入れるのに使ってたのが余ってから作ったんさ！
友奈,あったまいい！おっぱいバカの東郷も見習うべきだね！
風,カップヌードルうめー
樹,汁飛ばすなデコ豚
園子,いっつんこれから一緒にカミキリムシの幼虫炒めて食べようぜぃ！
樹,勘弁してください
銀,攻撃目標…おっぱい怪獣サツマイモンスター
友奈,きゃっきゃ♪いっけぇ！やきうちゃんが犯される前にぶっとばせ～！
東郷,はぁはぁはぁやきうちゃんやきうちゃんやきうちゃん
銀,おらぁ！発射ぁ！
友奈,ぐえー！きったねぇ！小便まだ残ってるじゃーか！飛び散ったぞ！
東郷,いってぇ…いきなり何するのよ！って臭っせぇ！小便じゃねーか！
銀,すまん須美、少しペットボトルの中に残ってたわ
東郷,そこに座れぶっ〇してやる
銀,わざとじゃないんだ！許してくれ！な！この通り！
友奈,やっきうちゃん♪私とどっか遊びいこ～♪
彡()(),
友奈,だっこしてと…こっそり
銀,ふぼぉ！
東郷,昔っからつっかえねぇんだよ脳みそ筋肉女が！
銀,でかぱいクソババア！小学生の頃休み時間かならず学校のトイレで大便しやがったくせに！
東郷,してません
銀,してました
東郷,してません
銀,してました。汲み取り式ぼっとん便所の癖に！
東郷,ふぼぉ！。やりやがったなアルミホイル…そのままくしゃくしゃに握りつぶしてやる！
銀,お前なんか用須美ずみ
園子,仲が良いねぇ…創作意欲が沸くよぉ～
夏凜,流石に止めないとやばいんじゃない…？
銀,このやろう！おっぱいを盾にして攻撃を吸収しやがって！
東郷,おい私の大事なやきうちゃんは！？
銀,そういや友奈のやつがお姫様だっこしてどっかにつれてったぞ？
東郷,はぁ！？！？！？！？！おいはめやがっったな？
銀,え…？いやその…こ、攻撃がきいてない…まさか…。だ…だからあいつにバルバトスなんてあたえるなよ…
風,銀…銀にしてはよくやったわよ…だからから揚げ今からつくれ
樹,レモンかってにかけたらぶっとばすからな
園子,みのさん私ヤツメウナギ食べてみたいんよ～♪
夏凜,やきうの食べかけの弁当よこせ銀
銀,やっぱ私ってまともな部類だよな
友奈,やきうちゃんお弁当おいしいね♪
彡(ﾟ)(ﾟ),たまご焼きやで！友奈ちゃんあーん！
友奈,もぐもぐ…えへへ美味しい～やきうちゃん膝枕してあげるよ～
彡()(),なんか最近友奈ちゃんで癒されてるワイはもう末期なんやろか
友奈,うるせー黙って甘えないと犯すぞ。ほら！ちょっかいだしてんだから何かしらアクションおこして！？
彡()(),えぇ…何をやねん
友奈,このまま私を押したおせ！おっぱじめんぞ！
彡()(),友奈ちゃん相変わらず強引ンゴ
友奈,っせーなぁさつまいもババアの目盗まないとやらせてくんねーだろーが！
彡()(),彼氏つくればええやん
友奈,私のはじめてを奪ったくせに…許さないよそんな事言うと…
彡()(),初めては自分の家で栽培してたナスとか言うてたやんけ
友奈,あはははは！そうだった！でも結局やきうちゃんが最初のあいてじゃんボケ！。やきうちゃん！もうがまんでき…あ…
彡(ﾟ)(ﾟ),なんや…諦めてくれたんか？
友奈,やきうちゃん後ろ
彡(ﾟ)(ﾟ),ん？
東郷,友奈、またきついお仕置きがひつようのようね
友奈,げぇ！さつまいもババア…じゃなくてババァトスの東郷さんじゃん！
東郷,どっちもまちがってるわ殺すわ♪
友奈,たまにはいいじゃん！性欲糞ババア！毎日やきうちゃんを好き放題しやがって！
東郷,夫婦なんだから当然よ！
友奈,そっか…私もみっともなかった…ごめんね東郷さん…
東郷,友奈ちゃん
友奈,やきうちゃんちゅーしよ！
東郷,…
友奈,グエー…
東郷,あぁ！やきうちゃんが何処かに飛ばされたじゃない！
友奈,マジで？
東郷,屋きうちゃんやきうちゃんやきうちゃん
友奈,早く探せババア
東郷,殺すぞ
友奈,すみません手伝います
彡(ﾟ)(ﾟ),美森ちゃんがキレて暴れてまた吹き飛ばされたンゴ…ここはどこやろ
東郷,あれ…やきうちゃん？。最後に会いたいって思ってた…けどまた会えた…やきうちゃん！
彡(ﾟ)(ﾟ),この世界はまさか…ワイらが救ったもう一つの…!美森ちゃん…やなくて別世界の東郷さんやな！久しぶりや！
東郷,私やきうちゃんに感謝してもしきれない！お礼たくさんしたかったの…
彡(^)(^),お礼なんてええで！東郷さんがこの世界で幸せにやってるならそれで
東郷,美森って呼べ
彡(ﾟ)(ﾟ),え？
彡()(),やばいビルス様の言ってた事が的中したンゴ…ワイらの世界の影響をもろにうけとる…にげな！
友奈,やっきうちゃんだぁ！久しぶりだねぇ！
彡(ﾟ)(ﾟ),別世界の友奈ちゃんや！まともでええこやから大好きや！ワイを助けて！
友奈,やったぁ！やきうちゃんが二人増えた！！！一人頂戴！
東郷,黙れ両方私のだ
彡()(),友奈ちゃんまで…この世界もガイジだらけになったンゴ
悟空,ゲェジ…オラのことか？。ってなんだぁやきうじゃねーか！オラを呼ぶときゲェジって言うのやめてほしいぞ～！
彡(ﾟ)(ﾟ),悟空さんワイを助けてーや！何処でもええから瞬間移動してーや！
悟空,なんだもうめんどくせぇなぁ…まあいいや、オラの肩につかまれ！
彡(ﾟ)(ﾟ),サンガツやで！これお礼のすき家200杯分無料券や！
悟空,おっ！報酬あんのか！サンキュー！
東郷,あ！卑怯者ぉ！
友奈,おいやきう悟空さんに頼るな！
銀,いやぁあの馬鹿須美にボコボコにしてやられたわ～腹いせに焼きそばソース味ジェラードでも食べよっと♪
彡()(),あかん、元の世界に戻ったはええけど今日は勇者部面子にあいたくないンゴ…逃げたろ
銀,べろんべろんべろん！
彡()(),おいジェラード嘗め回しながら追いかけてくんなや
銀,いっしょにたべよ？♪
彡()(),弟とでも食ってろや！
銀,死ね糞姉貴とか言われたんだよ最近反抗期なんだ、同じ空気も吸いたくないってさ
彡()(),汚いンゴこっちに舐めたジェラード飛ばさないでーや
銀,あ～やきうジェラードがある～！べろんべろんべろんべろん！
彡()(),ワイを舐めんでーや！…ってあかんこいつ勇者に変身してがっちりワイをつかんどる
銀,やらせてーや？
彡()(),嫌ンゴ！
銀,私のパンツあげるからさ
彡()(),いらないンゴ
銀,須美から匿ってあげるからさ♪
彡(^)(^),うれしいンゴ！銀ちゃん大好きや！一緒にアイスたべよーや！
銀,や…やきう…！
鉄男,やきうさんすみませんこんなゴミの世話させちまって
銀,だまれ殺すぞ愚弟が
彡(^)(^),ええんやで！逆にワイを囲ってくれて感謝や…
鉄男,やきうさんゆっくりしてってください…俺、奉火祭で恋人を救ったやきうさんに憧れてるんです…だから俺も将来…
彡(^)(^),鉄男君はええ子や…銀ちゃんも普段はええ子やし似たもの強大やね
彡(ﾟ)(ﾟ),にしても…もう一人客人がおるンゴね
銀,来るって言ってきかないんさ…
夏凜,エビフライうんまぁぁい！！やきうに銀、あんたら料理上手いじゃないの！
銀,そら毎日風先輩達に作らされてりゃ…な？
彡(ﾟ)(ﾟ),夏凜ちゃん、鉄男君も野菜炒めも食べてーや！
夏凜,う、うん…はぐはぐ
鉄男,いただきます…
夏凜,うまいじゃないの！
鉄男,悪魔の勇者部で鍛えられた力っすね…
銀,すまん最近勇者部に居すぎて気が変になってたかも…
夏凜,私も…美味しいもの食べて少し頭が冷えたわ…
彡(^)(^),デザート作ったし沢山食べて沢山遊ぼうや！飯が終わったら4人でゲームしようやで！
夏凜,ふふ、いいわね♪
銀,あはは…こんなささやかな日常を少しずつ増やして私達三人わりとまともチーム、心を治療していこうな
彡(^)(^),せやせや！
夏凜,あはは！
東郷,あはははははは！本当笑いしかでないわね♪
鉄男,っし！馬鹿姉貴が世話になってる勇者部、見学初日、挨拶だけはしっかりしとかねーと…。失礼します！やきうさんに引き続き勇者希望の三ノ輪鉄男！勇者部見学に来ました！
友奈,銀ちゃんの弟！？見学したいならまず最初にセミ食えほら！
鉄男,
風,どうでもいいからお前も銀と一緒に餃子10人前つくれ
樹,そう簡単にやきう先輩に近づけると思うなよ？
風,おっ樹～ひょっとしてやきうのこと
東郷,ギロ
樹,ひぃぃ！
園子,てっつん！いもむし一緒に食べようぜぃ！
夏凜,やきう、体操着私が洗濯してあげるから全部貸して
銀＆彡()(),逃げろ鉄男
鉄男,姉貴にやきうさん…こ…ここが勇者部なんですね
東郷,部員は間に合ってるから帰れ
鉄男,は…はい
彡()(),すまんな鉄男君…
東郷,ぺろぺろぺろぺろぺろぺろ
鉄男,はい絶対入部しません！
