長谷川丸男,４１
テロップ,読朝新聞東京本社ビル、地上33階、地下3階建て。鍋島弘道９２
長谷川のモノローグ,鍋島弘道主筆は、ナベヒロの通称で知られる大物だ。鍋島主筆は、メディア界だけでなく、政界やスポーツ界にも強い影響力を持っている
読朝新聞の朝刊紙面。,読朝新聞
長谷川のモノローグ,世界一の発行部数・840万部を誇り、プロ野球の巨神こと読朝ギガンツでも知られる……。それが読朝新聞だ
テロップ,長谷川丸男４１
高木,おい長谷川、起きろ。事件だぞ
長谷川,ああ、高木……
長谷川のモノローグ,俺は、この新聞社の社会部に所属する遊軍記者だ。遊軍記者は、記者クラブにも所属していないし、決まった担当も持っていない。大きな事件、事故、災害があれば、取材テーマに応じて臨機応変に動く何でも屋が遊軍記者だ。世間一般の認識では、社会部の記者は正義感が強くて熱血肌の人間が多いとされる。……それは、建前の話だ。世の中で起きた出来事で話題性が強い事件を記事にするので……。何よりも……。わが社はナベヒロこと鍋島主筆のおかげで、いろいろ報道に制約がある
長谷川,果たして……。これが記者として、まっとうなあり方なのだろうか……
機械の前でマイクを取る長谷川。店内のテレビの画面には、,谷村新司天狼
長谷川は渋い声で、谷村の,天狼
喪黒,あなたの年齢で谷村新司を歌えるとは、意外と渋いですなぁ
長谷川,まあ、何というか……。私は彼の歌を気にいっているので……。特に、天狼を……
喪黒,あなた、谷村新司の天狼がお好きなのですか？
長谷川,はい……。年老いた白き狼が、誇りを捨ててねぐらへ帰るっていう世界観が……
喪黒,若いころは誰もが理想や使命感に燃えているものですよ
長谷川,おっしゃる通りです
喪黒,見たところ、あなたにも心にスキマがおありのように見えますなぁ……
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
長谷川,ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
長谷川,人生相談か、何かですか？
喪黒,どちらかというと、ボランティアみたいなものですよ。何なら、私があなたの相談に乗りましょうか？
BAR,魔の巣
喪黒,ほう……。長谷川さんは社会部の遊軍記者なのですか。なかなかのエリートですなぁ……
長谷川,とんでもありません。私は、うだつが上がらないヒラの記者ですし……。本社では末端兵に過ぎませんよ
喪黒,そんなことはないでしょう。新聞記者は、ペンで社会の不正をただすことを使命としているのですから……
長谷川,それは表向きの話ですよ。我が読朝新聞社は、鍋島主筆の意向に逆らった報道などできませんから……
喪黒,しかしながら……。記者である以上、何かしらのスクープを報道する人もいるはずですよねぇ？
長谷川,あのぅ、実はですね……。読朝新聞社では、スクープを連発する記者には禁止令が出されているんです
喪黒,なるほど……。今の読朝新聞社は、そんなことになっていたんですか……
長谷川,もちろんですよ。ペンの力によって社会の不正を追及し、真実に迫るのは記者の使命ですよ……
喪黒,長谷川さん。あなたも記者ならば、一級品のスクープを手にしてみたいでしょう？
長谷川,そうに決まってますよ！！
喪黒,そのお言葉、待っていました……。私があなたの潜在願望をかなえてあげますよ！
長谷川,なっ……
喪黒,あなたは、近いうちに大スクープを必ず見つけます！！そして、それを記事にして全国へ報道します！！
長谷川,ギャアアアアアアアアア！！！
テロップ,北関東、鰐船山――
長谷川,久々の休日だ……。たまには、ソロキャンプもいいな……。ま、眩しいっ……！！。な……、何が起きたんだ！？。それにしても、焦げ臭いにおいがする……。こ、これは……！！！
記者A,それにしても、長谷川がこんなスクープを手にするとは……。意外だな
記者B,ああ……。平凡で目立たない男だったはずの長谷川にしては、大金星だ
記者C,ライバルの新聞社の連中は、今ごろ悔しがっているだろうなぁ……
社会部部長,…………
BAR,魔の巣
喪黒,長谷川さん。あなたもとうとう、一級品のスクープを掴むことができたようですねぇ
長谷川,い、いえ……。私はあの日、たまたま墜落現場に居合わせただけですから……。あれはマグレですよ
喪黒,……とはいえ、あなたが大がかりなスクープを手にしたことは紛れもない事実です。それは誇ってもいいですよ
長谷川,まあ……。私は、新聞記者としてやるべきことをやれたわけですから……
喪黒,そこでです……。私は長谷川さんに、どうしても忠告しておきたいことがあるのですよ
長谷川,は、はい……
喪黒,今回のような大掛かりなスクープは、そう滅多にあるものではありません
長谷川,え、ええ……。要するに、喪黒さん。出る杭は打たれるってことですよね？
喪黒,そうですよ。さすがは新聞記者だけあって、頭の良さと勘の鋭さを持ち合わせていますねぇ……
長谷川,いやぁ……
喪黒,長谷川さん、私と約束してください。墜落事故の取材を行うのもいいですが、あまり深入りはしないでくださいよ
長谷川,それは、私も承知していますよ……
喪黒,特に……。取材のために、あの事故現場へ再び足を運ぶようなことをしてはいけません。いいですね、約束ですよ！？
長谷川,分かりました……。喪黒さんがそこまでおっしゃるのなら……
テロップ,埼玉県、防衛医科大学校病院――
佐久間,俺は見たんですよ……！！あれを……！！あいつを……！！
長谷川,佐久間さん……。あの墜落が起きる前、一瞬、夜空がパッと光り輝きましたよね……
斎藤,よぉ、長谷川
テロップ,斎藤寿男４１
長谷川のモノローグ,こいつは、俺の大学時代の同期で今も親友の一人だ
斎藤,それにしても、お前もすごいスクープを掴んだものだな。写真週刊誌の記者として実にうらやましい
長谷川,俺こそ、お前がうらやましいよ。組織にがんじがらめの俺とは違い、自由気ままに報道をしているのだから……
斎藤,なぁ……。ところで、来週のサースデーには面白い写真が載るぞ
佐久間,お……、教えてくれ……！！俺は一体誰なんだ……！？
長谷川,あなたは佐久間という名前でしょう……！航空自衛隊のパイロットで……
佐久間,お、思い出せない！！何もかも忘れてしまった！！
長谷川,ああ、もしもし……。長谷川です……。えっ！？斎藤が自動車の中で練炭自殺！？
斎藤の妻,ウッ……、ウウウ……。あなたぁーーーっ！！
長谷川,どうして死んだんだ……！俺と会った時は、あんなに元気そうだったのに……
社会部部長,長谷川……。鍋島主筆がお前をお呼びだ
長谷川,えっ！？主筆が！？
鍋島,長谷川君。今回のスクープ、でかしたものだな
長谷川,は、はい……
鍋島,だから、しばらくの間……。君は、例の墜落事故の報道から外れたらどうかね？たまには休養も必要だろう……
長谷川,あの墜落事故の核心に触れようとした人間に対し、次々と不可解な出来事が起きている……。もう一度、あの墜落現場に行けば……。必ず何かの証拠が見つかるはずだ……
