インデックス,その年齢でとうまが好きだなんて犯罪なんだよ！
上条,まあ驚きはしないけどさ……
神裂,……
上条,い、いや！老けてるってわけじゃなくて、大人っぽいって意味だぞ？
神裂,そうですか……。いえ、構いません。その代わり……お姉ちゃんと呼んでいただければ
上条,え？
神裂,昔から弟が欲しくて……最初見た時理想の弟だなーって……ふふ
上条,お、おい……神裂？
神裂,はっ……す、すいません……勝手な事を言ってしまって。……！じゃ、じゃあ例えば今ならいいですか？！
上条,お、おう
神裂,当麻の近くに行ってもい～い？
上条,いいよ、お姉ちゃん。
神裂,～～～っっ。怪我はもう大丈夫？痛くない？
上条,うん、順調に回復中だよ。
神裂,よかった～。それならねー、お姉ちゃんが久しぶりにアレしてあげる。
上条,アレ？
神裂,病院生活でいっぱい溜まってると思って持ってきたんだ。
上条,たま……お、おい、かんざ……お姉ちゃん！
神裂,当麻、もうちょっとこっちに来て。
上条,俺にも心の準備とか色々……
神裂,ひ・ざ・ま・く・ら
上条,ひざ……ああ
神裂,ほら、早く。～♪
嬉しすぎるのか、時々,んふっ
上条,お姉ちゃん……
神裂,な～に？当麻？
上条,……んん、なんでもない。
神裂,そろそろ耳かきしていい？
上条,うん、いいよ。
神裂,痛かったら右手あげてくださいね～。
上条,はーい。
神裂,当麻の耳可愛い～。じゃあいくよ～、動かないでね。定期的にやらないと病気になっちゃうよ～？。おっきいの取れたよ当麻。見て。
上条,おお……凄いね。
神裂,次は左耳っ♪
上条,お……うん！。……！！
神裂,ふふっ……
上条,どうしたの？
神裂,当麻の鼻息がお腹にあたってくすぐったい。
上条,ご、ごめん。
神裂,うわー、こっちもいっぱいだね～。
上条,……
神裂,～～♪。だめっ！
上条,ひ、ご、ごめんなさい！
神裂,当麻にはまだ早いよ～。
上条,お姉ちゃん？もうそろそろ……
神裂,うっ……うぅ……
上条,……神裂？
神裂,ごめんなさい……
上条,どうしたんだ？
神裂,……こんなに幸せな時間が……もうすぐ終わるのかと考えたら。
上条,神裂……
神裂,え……？いいんですか？私だけの独りよがりじゃなかったんですか？。はい……すいません。
上条,まぁ、今日はもうここまでにしとくか。お姉ちゃんごっこ。
神裂,ええ、そうですね。長居しすぎました。はい……必ず……
会話が途中で途切れた時、,おねえちゃん
