デクシオ,“こちらデクシオ。この場所にあると思われるジガルデ・セル、回収できましたか？”
ヨウ,うーん、ダメです。見つからないですね。
ジーナ,“おかしいですわね。このトレーナーズスクール付近にいるのは間違いないのですが…”
ヨウ,すいません。頑張りが足りないのかも。もうちょっと粘ってみます。…時間が悪い、か。…それなら、
ジーナ,“どうされましたの？”
デクシオ＆ジーナ,“？”
ヨウ,よし。ほしぐもちゃん、頼んだ
ほしぐもちゃん,…！
ヨウ,着いた。ありがとうね、ほしぐもちゃん
ほしぐもちゃん,～♪
ヨウ,？。あれ？(ライドポケモンがこない。…なにか、変だぞ…？)
ｱﾆﾎﾟｹﾘｰﾘｴ,……………………
シロン,………こーん
ヨウ,……………………………
ｱﾆﾎﾟｹﾘｰﾘｴ,…………………
ヨウ,…………………………え？
ｱﾆﾎﾟｹﾘｰﾘｴ,……………………？
ヨウ,リ、リーリエ・・・！？
ｱﾆﾎﾟｹﾘｰﾘｴ,・・・どなた様でしょうか？
ヨウ,……リーリエ…！？な、何でアローラに…？いつ戻っ…、
校庭でレース中のケンタロス,。
サトシ,うおぁっ！？
ｱﾆﾎﾟｹｶｷ,くっ！
ヨウ,うわぁ！
ケンタロス,ぶもぉおおお！
ヨウ,……！(びっくりした)
サトシ,大丈夫か！？
ｱﾆﾎﾟｹｶｷ,おい、あんた、ケガはないか！？急に飛び出してくるから…！！立てるか？
ヨウ,ご、ごめんなさい。大丈…、………カキ…、さん…？
ｱﾆﾎﾟｹｶｷ,…何？。…なにを、いってる？
サトシ,？…カキの知り合い？
ヨウ,………え…？
ピカチュウ,ぴかぴー！
ｱﾆﾎﾟｹｽｲﾚﾝ,だいじょうぶですかー？
アシマリ,あうあう！
ｱﾆﾎﾟｹﾏｵ,前も何かこんな事無かったかな！？
アママイコ,あまーい！
ｱﾆﾎﾟｹﾏｰﾏﾈ,それは９９パーセントの確率でサトシが来た時だよ！サトシが！
トゲデマル,まっきゅう！
サトシ,とりあえずケガは無いみたい
ｱﾆﾎﾟｹﾏｵ,良かったー
ｱﾆﾎﾟｹﾏｰﾏﾈ,いきなり災難だったねー。君ぃ、新入生？実はボクたち、ここの生徒なんだよ
サトシ,ははは、マーマネ！そんな見ればわかるようなことわざわざ言わなくてもいーじゃん！
ｱﾆﾎﾟｹｶｷ,…サトシの言うとおりだ、マーマネ
ｱﾆﾎﾟｹﾏｵ,でも今日、新入生が来るなんて私、聞いてないなぁ？スイレン、知ってた？
ｱﾆﾎﾟｹｽｲﾚﾝ,ううん。わたしもしらなかったけど…。リーリエは、どお？
ｱﾆﾎﾟｹﾘｰﾘｴ,…いえ、わたくしも存じていません…。………あの、何か？
ヨウ,あ…、いや……
ｱﾆﾎﾟｹﾏｵ,うーん、ならいっそ、博士に来てもらった方が良いんじゃないかな？
ピカチュウ,ぴかちゅう？
サトシ,じゃあ俺、呼びに行こうか？
ピカチュウ,ぴっぴかちゅう！
ヨウ,…あ、あの、ちょっと質問させてもらっても、いいですか？
ｱﾆﾎﾟｹﾏｵ,うん、いいけど？
ｱﾆﾎﾟｹｶｷ,…！
ｱﾆﾎﾟｹｽｲﾚﾝ,ま、またたくまにみんなのなまえをおぼえてくれたの？すごい。だいせいかい。
ヨウ,……。…ここはアローラ地方、メレメレ島のトレーナーズスクールですか？
ｱﾆﾎﾟｹﾏｰﾏﾈ,あはは！惜しいねぇ、それはハズレ！
サトシ,ここはメレメレ島のポケモンスクールだ！
ピカチュウ,ぴーぴかちゅう！
ヨウ,…………
ｱﾆﾎﾟｹﾘｰﾘｴ,………。若干、警戒の眼差し
サトシ,おい？大丈夫か、ヨウ？
ｱﾆﾎﾟｹﾏｵ,ダメージが後から効いてきたのかもしれないね、食あたりみたいに！
ｱﾆﾎﾟｹﾘｰﾘｴ,……やっぱり保健室にお連れした方が？
全員,！？
スカル団員,この間はよーくもやってくれたな！仕返しにきたスカら！
ｱﾆﾎﾟｹｶｷ,スカル団…！またお前等か？
ヨウ,！！…す、スカル団……！？なんで？解散したはずじゃ…？
ｱﾆﾎﾟｹﾏｰﾏﾈ,何言ってんの？現在進行形で迷惑行為をランしてるよ！
スカル団員,今日は助っ人、連れてきたスカら、ぜってー負けねー！
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,……。…そこの半裸のガキと、電気ネズミを連れたガキ…、あの二人をやればいいんだな？。叩きのめせ、ガラガラ。…“シャドーボーン”！
ｱﾆﾎﾟｹｶｷ,アローラのガラガラ…！ほのおタイプか、面白い…。バクガメス、“りゅうのはどう”！
バクガメス,ガメッ…！
Rガラガラ,ガラガ！
ｱﾆﾎﾟｹｶｷ,…くっ！このガラガラ、かなりできる…！
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,“きあいだめ”
ｱﾆﾎﾟｹｶｷ,何ッ！？
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,見え透いてんだよ…！“いわなだれ”！！
バクガメス,…ガメェー、ス…！
