宇佐美いちか→キュアホイップに変身することに主役のピンク枠,お調子者なうさぎ
有栖川ひまり→キュアカスタードに変身するあざと黄色枠,少し小心者なりす
立神あおい→キュアジェラートに変身するロックボーカルな青枠,おてんばなライオン
キラ星シエル→キュアパルフェに変身する妖精キラリンであり天才パティシエな追加枠,天才なペガサス
琴爪ゆかり→キュアマカロンに変身する自由気ままで妖艶なお姉さんな紫枠,きまぐれなねこ
剣城あきら→キュアショコラに変身する宝塚男役のような凛々しいお姉さん赤枠,実直ないぬ
いちか,ぐえっ！私、宇佐美いちか。スイーツ大好き中学2年生！スイーツにこめられたキラキラルの力で伝説のパティシエ、プリキュアやってまーす♪
ノワール,おぉ、これはこれは……珍しい掘り出し物だ
エリシオ,どうなさいましたか？ノワール様
ノワール,古(いにしえ)の闇の戦士を見つけたのだよ
エリシオ,いにしえの？
ノワール,少し泳がせてみたいが、監視をつけておくべきか……
エリシオ,ならば、このエリシオにお任せください
ノワール,よかろう
エリシオ,ちなみに、その戦士はどちらに？
ノワール,あそこだ
？？,フン！フン！！何故こんなにも体が鈍っている。これではまともに戦えんではないか！フン！フン！！
エリシオ,……
少女１,ねぇねぇ、舞
少女２,咲？どうしたの？
少女１→咲,あのね、一緒に行ってみたい場所があるんだけど……
少女２→舞,咲が行きたいばしょ？
咲,こ、ここなんだけど……
舞,キラキラパティスリー？
咲,あのね、もうすぐみのりの誕生日でしょ？その……満にパーティ用の食事はわたしが用意したいって言われちゃってさ……
舞,ケーキ……咲のお店でも作っているんじゃないの？
咲,そうなんだけどさ、この前、偶然満と一緒に見ちゃったんだ
舞,満さんと一緒に見ちゃった？何を？
咲,そのキラキラパティスリーの広告を大事にもってるみのりを……
舞,だから、お食事は満さんで、咲がそのお店に行くことにしたの？
咲,そういうこと。でも、そういうお店に一人で行くのって、ちょっと勇気が出なくって……その……
舞,わかったわ。一緒に行きましょ！
咲,ほんと！？やったー♪舞と一緒なら絶好調ナリー！
舞,うふふ、もう咲ったら♪
咲,じゃあ、今度の日曜日ね
舞,うん。じゃあ、咲、一緒に帰りましょう
咲,うん♪
いちか,う～ん……こっちからこう乗せて……
シエル,ノンノン！乗せ方が雑すぎるわ！もっと丁寧に
いちか,丁寧に……ていねいに……あぁ
シエル,今度はショコラをこぼしちゃったの？
いちか,うぅ……
シエル,もう一回ね！
いちか,がんばりますぅ……
あきら,遅くなってごめん……ねぇ、あれは何をしているの？
ゆかり,シエル師匠による盛り付け方の熱血指導……と言えばいいのかしら
ひまり,さっきからいちかちゃんの元気がだんだん……
あおい,なくなってきてるな
あきら,え？じゃあ、シエルちゃんはいちかちゃんを弟子として認めたってこと？
ゆかり,そうではないわね……きっと
あきら,そうじゃない？
あおい,な～んか、シエルはいちかのことを教えてるってより、観察してる感じだよな
ゆかり,そんな感じね
ひまり,いちかちゃん……
いちか,ふぇぇ～上手くいかないよぉ……
シエル,う～ん……なんでなのかしら……
いちか,え？
シエル,なんでもない。もう一度よ
いちか,はぁーい
