池袋晶葉,ロボットを動かすこと
晶葉,実はこれ自体は難しいことではない。関節のサーボモーターに電気信号を送ってやればそれですむ。だが、動くだけでは駄目なのだ。どう動くのか？その結果、何が出来るのか？。そう、目的に沿った行動が出来てこそのロボットなのだ
脇山珠美,な、なるほど・・・
晶葉,ロボットと言えば機械工学や電子工学といった分野が重要だと思われがちだが、それだけでは足りない。どう動かせば効率的に、合理的に目的を果たせるのか？。ロボット研究とは力学との戦いでもあるのだ
珠美,えっと、ロボットを作るのに何が必要なのかはわかりました。ですが・・・。それが何故、晶葉殿が剣道を学ぶ理由につながるのですか？
晶葉,私がいま求めているのは、力学の師だ
珠美,い、いえ！ですから珠美は剣道は教えられますが、学問に関しては晶葉殿の方がずっと詳しいでしょう！？
晶葉,そんなことはないぞ！この世で最も合理的かつ実戦的な力学を修めているのは、学者ではない
珠美,そうなのですか！では一体、誰が？
晶葉,その答えは武術家だ
珠美,な、なんと！？
晶葉,こと、体を動かす力学に関して武術家の右に出るものはいない。戦いとはこの世で最もシビアな環境であると言える。すなわち、戦いのために作られたその技、動きは一切の無駄も妥協もない、究極の身体運用であるはずだと私は考えた。そう、私は武術を通してロボット研究の新たな境地を見出だしたいのだ！。・・・まあ、そんな動機で教えを請うのは真剣に取り組んでいる者には不純に思えるかも知れないがな・・・
珠美,いえ、そんなことはありません！晶葉殿の熱意、確かに伝わりました！！。不肖、脇山珠美！晶葉殿に剣道を伝授いたしましょう！。それでは早速始めましょう！
晶葉,よろしくお願いします！珠美師匠！
珠美,まずは基本中の基本、素振りからです！。ふむ、そうですね。晶葉殿のような理論派の方には順序だてて理屈を説明するほうが飲み込みが早いかもしれませんね。では、最初は好きなように剣を振ってみて下さい
晶葉,了解だ！。はっ！やぁっ！
珠美,ふむふむ・・・晶葉殿、今どこに力を入れて振りましたかな？
晶葉,腕全体に力を込めて振ってみたのだが・・・
珠美,やはり最初は誰しもそうなってしまいがちですね・・・。晶葉殿、剣を振るという動作は、極端に言ってしまえば曲げた腕を伸ばすということです
晶葉,まあ、確かにそういうことになるな
珠美,効率よく、素早く腕を伸ばすにはどうすれば良いか？と言う点が問題になるわけです。腕の力を抜いた状態で二の腕を触ってみて下さい
晶葉,ふむ・・・
珠美,今度は腕を全力で伸ばした状態で二の腕に触れてみましょう
晶葉,さっきよりも硬いな！
珠美,そう、すなわち腕を伸ばす際は二の腕の筋肉を使っているということなのです！。逆に腕を曲げる時は対となる上腕二頭筋・・・いわゆる力こぶを作る筋肉を使っているのです
