凛世にπタッチをしても、,貴方さま、どうかなさいましたか……？
凛世,プロデューサーさまに、嫌な顔をしながら、下着を見せれば……よろしいのですか……？。わかり、ました……。
P,え、いい、のか？
凛世,貴方さまが、それを……望むなら、凛世は叶えたく……思います。プロデューサーさま、それで……どうすれば、いいのでしょうか……？
P,ああ、やり方か。俺がこう、座るから、目の前で見下ろしつつ、嫌そうな表情をしてパンツを見せてほしい。
凛世,この距離で、ですか……？漫画でも、このようなことは、見たことがありません……。
P,最近は、その状況を喜ぶ人もいるらしいんだ。俺も、凛世のそういう姿を見てみたい。自分勝手な頼みで、ごめんな。
凛世,貴方さまが、そこまで……凛世は果報者で、ございます……。貴方さま……！
P,よくがんばったな、凛世
凛世,これで、ご満足、頂けましたか……？
P,終わりだよ。これで。無理言ってごめんな。俺を、軽蔑、したか…？
凛世,軽蔑、など……。プロデューサーさまの、真意は、凛世には……わかりません。
P,そうだよな。
凛世,しかし、貴方さまは、凛世の……、凛世に興味がある、と……いうことなら。凛世は、……尊重したかったのです。
P,凛世…。試すような真似をして、すまなかった。
凛世,いいのです、プロデューサーさま……。わたくしは、一生ついて参ります、から……。ですから、今度は……プロデューサーさまの。貴方さまが、嫌な顔をして……、わたくしに、下着をお見せくださいませ……。
P,はづきさん、こ、これは、その！
はづき,夢、これは夢。続きを見ないと…(現実逃避)
凛世,貴方さま、睨みつける姿も凛々しく……。
