男…26歳ゲーム開発会社勤務,グラフィック担当
女…25歳大型書店勤務,洋書担当
■３月某日土曜日,朝
男,朝っぱらから何か隣りの部屋がうるさいなぁ。通路にもバタバタと音が…寝られん早いけどもう起きるか…。…あ、ひょっとして隣りに入居者か。隣り、まだガタガタやってるなあ。まあ入居初日なんてこんなもんか。今まで意識しなかったけど、このマンション、壁薄めなのか？
■日曜日,昼
男,うお呼び鈴だ、珍しいなＮＨＫかな？面倒だな、居留守だ
？？？,ごめんくださーい
男,女の声！
？？？,すみませーん、隣りに越してきた者ですがー
男,何ィ！ダッシュだ。はーい。あー、はい、よろしく。俺男っていいます。あー、いえ、よくわかりましたね
女,あ、えっと、おふとん干してたみたいだったので、すみません
男,あー、なるほど
女,あ、これ、お近づきのしるしに、引越しそば代わりで。いえ、じゃあ私、これでし、失礼します
男,はいどうもー
■月曜日,朝
男,さて今週も頑張って仕事ですよと。隣りに越してきた、あー確か女さんって人、なにやってる人なんだろ。出掛かりにバッタリ会いでもすれば、ちょっと話とか出来るかもだが
■同じ日,夜
■水曜日,朝
男,ヤバイ、電車に乗り遅れるダッシュだ！
■同じ日,夜
男,今日は比較的早い帰宅だぜ
■翌週木曜日,昼過ぎ
ゲーム開発会社,㈱ソマリスタジオ
男,今回の仕事は手持ちや画像検索だけだと資料が足りないな...。上司さん、ちょっと資料見に出てきて良いですか？拾九堂書店まで
上司,あーＯＫ、寄り道すんなよ
同僚Ｂ,じゃあ僕もついでにコンビニでモーニングと何かオヤツをお願いします
男,了解、LANケーブル5mとモーニングとオヤツ、じゃ行って来ます
同僚Ａ,うぃ～
同僚Ｂ,よろしくです
後輩女,あ、男先輩、私も行った方がいいですか？。解りましたいってらっしゃい
男,行ってきます。今日の所はこんなもんか建築系はまた今度にしよう重いし
レジ係,こちらどうぞお預かりします
男,領収書お願いします宛名は...
レジ係,あ
男,え、あ、女さん？
レジ係,あ、男さん！どうしたんですか？
男,いやちょっと、仕事の資料探しに会社がすぐそばで
女,そうなんですかーあ、9,680円になります
男,はいあ、領収書の宛名、㈱ソマリスタジオでお願いします
女,はい、かしこまりました１万円お預かりします。じゃあ、また
男,ええ、それじゃ。只今戻りましたー
同僚Ａ,おかえりーLANケーブルはー？
同僚Ｂ,オヤツは？
男,あ、忘れましたすんません
同僚Ａ,何ー、使えねえー
同僚Ｂ,何しに行ったんですか
男,ニッコリヒラヒラを反芻してて完全に忘れてたな...
同僚Ａ,無能め、クビだ！そんで隣の席の後輩女ちゃんを昇格だ
男,え～～
