モバP(以下P),ふたりとも寒い中おつかれ様
早苗,ほんと、随分時間かかっちゃったわ！
飛鳥,こうも吹雪いたらロケの進行も変えざる負えない。所詮ボクら人間は、自然現象にはとても敵わないか
早苗,締めで予定してた観覧車も、悪天候で運転中止になっちゃったものね
飛鳥,名古屋の街中に君臨する観覧車……そこから見る夜景はさぞ美しかったろうに
P,飛鳥は事務所の屋上にもよく足を運ぶし、高いところ好きなんだな
早苗,観覧車に乗れなくて残念なんて、飛鳥ちゃん可愛いところあるじゃない
飛鳥,……キミや早苗さんに比べたら確かにボクはコドモさ、それは否定しないよ
早苗,ほら、ふてくされないの。寒いし早く帰りましょう？
P,ですね。ここからタクシー拾って名古屋駅からは新幹線です
飛鳥,今からだと乗れそうな時刻は……おや？
P,ん、どうかしたか？
飛鳥,どうやら帰路につくのは難しいようだ。これを見てくれ
早苗,乗換アプリね、どれどれ……風雪の影響で運転見合わせ！？
P,運行再開の目途立たず駅構内に長蛇の列、か
飛鳥,キミが見てるのはニュースサイトかい？相変わらず手が早いね
早苗,プロデューサー君？
P,誤解を生む発言は慎め。早苗さんの前だ
早苗,冗談はさておいて、これじゃ駅に向かっても意味ないんじゃない？
P,早苗さんも飛鳥も明日は仕事の予定なし、午後にレッスンか……素直に一泊した方がよさそうだ
飛鳥,予定は構わなくても、ボクら自身は何の準備もしてないんだが
早苗,コンビニでショーツも売ってる時代よ。何とでもなるわ！
P,人間は自然現象には敵わないんだろ？事務所に連絡いれるから待っててくれ
飛鳥,乗りかかった船、か。泥船でないことを祈るよ
P,シングルとツインの二部屋なので、早苗さんは飛鳥と同室で。これ鍵です
早苗,ありがと。よく部屋とれたわね、どこも埋まってるんじゃないかって心配しちゃった
P,運休になったらこうなるだろうと、ちひろさんが早めに部屋を押さえてくれたみたいです
飛鳥,有能なアシスタントに感謝しなければね
P,明日お土産買って帰るか
早苗,ねぇ、宿も確保できたし、ほっとしたらお腹空いてきちゃった
飛鳥,撮影も長引いていたから無理もない。ボクも空腹さ
P,そうだな、荷物置いたら何か食べにいこう。またラウンジ集合で
飛鳥,この悪天候の夜だというのに、この周辺は随分賑やかだね
早苗,近辺は繁華街みたいね。飛鳥ちゃんもいるし長居はしたくないわねぇ
P,同感です。メインの大通りからは少し外れるように行きましょうか。うーん、進めど居酒屋ばかりだな
飛鳥,ファストフード店も何件か見つけたけど、どうする？
早苗,ここまできてそれも何か残念ね……ねぇ、あのお店なにかしら。世界の山ちゃん？
P,なんだこの、鳥に人の顔？何とも言えないキャラクターだな
飛鳥,世界の山ちゃんは名古屋名物の手羽先唐揚げで有名な居酒屋チェーン店だよ
P,居酒屋まで知ってるのか
早苗,飛鳥ちゃん？
飛鳥,も、勿論入ったことはないさ！
早苗,でもそうね、名古屋名物ってのはそそられるわ。ここにしましょう！
飛鳥,咎めようとしていた人の発言とは思えないね
早苗,寒空の繁華街を闊歩する方がよっぽど良ろしくないわ！
P,至って普通の居酒屋のようだし、まだいいか
早苗,ほら、居酒屋自体はスタッフさんとの打ち上げで入ることもあるでしょ？
飛鳥,その問いかけには肯定するが、しかし……
早苗,はい、決まり！じゃあ入りましょう！すみませーん、三人だけど空いてるー？
P,行っちゃった。仕方ない、どのみち入る店もなかったしここにしよう
飛鳥,やれやれ……
P,運よく禁煙の個室が空いてて良かった
早苗,幸先いいわね！
飛鳥,なんのだい？
早苗,何でもいいの！さ、ドリンクどうする？あたしは生！
P,早苗さん飲むんですか？
早苗,固いこと言わないの！あ、飛鳥ちゃんはダメよ？
飛鳥,言われなくともそんなつもりはないよ
P,じゃあ注文しますよ
店員,ご注文どうぞー
P,生中とウーロン茶と
飛鳥,ジンジャエールを
早苗,ウーロン茶なし！生は二杯で！
P,俺も飲むんですか？
早苗,だってあたし一人だけお酒なんて空気読めないみたいじゃない！
飛鳥,自覚はあるのか……
早苗,何か言った？
飛鳥,プロデューサー、ボクは構わないから早苗さんの相手をしてくれ。放っておく方が厄介だ
P,すまん飛鳥……
早苗,うふふ、素直でよろしい♪
P,あと枝豆ください
店員,はいよろこんでー！
P,ドリンク来る前にメニュー見とこう
早苗,定番どころは一通り揃ってるみたいね
飛鳥,一番のおすすめは言うまでもなく、名物幻の手羽先のようだ
早苗,手羽先サミット殿堂入りですって。そんなのあるのね
飛鳥,一口に手羽先唐揚げと言っても、店によって味付けが違うらしいよ
P,折角だから食べてみるか。あとはどうする？
早苗,名古屋名物の項目があるから、ここから適当に選んでいい？
飛鳥,では早苗さんに一任するよ。こういった場に慣れてるだろうし
早苗,お姉さんに任せなさい！
店員,お飲物お待たせしましたー
早苗,わー来た来た！
店員,あとこちら枝豆になります
P,どうも。注文いいですか？
店員,はい、どうぞー
P,この幻の手羽先を三人前ください
早苗,みそ串カツ三人前、天むすは一皿三個だから……二人前で！あと、どて煮がひとつと、この黒手羽先っていうのもひとつ！
飛鳥,一気に言うね
早苗,名古屋名物はこんな感じで……他のページで食べたいものある人いるー？
P,店員さん、とりあえず以上でお願いします。ひとまず乾杯ということで
早苗,では乾杯の音頭は飛鳥ちゃん、お願い！
飛鳥,な、ボクが！？
P,お、いいぞー何事も経験だ
飛鳥,この大人たちは……えっと、その……撮影の遅延から紆余曲折あったものの、こうして今日という日を無事に過ごすことが出来たのもまた
早苗,はーいおつかれさまー！かんぱーい！
P,かんぱーい！
飛鳥,早苗さん！
早苗,んぐ……ッハー！このために生きてるわー！
Ｐ,あー五臓六腑に染み渡る
飛鳥,そこまでのものかい？
Ｐ,なんだ、興味はあるのか？
飛鳥,禁断の果実を食べたアダムとイブは楽園を追放された……禁じられたモノほど触れたくなるのが人間というものだろう？
早苗,気持ちはわかるけど、飛鳥ちゃんにはもう少し先ね。大人になってからよ♪
飛鳥,大人ねぇ……事務所で缶ビールを枕に寝息を立てる友紀さんを見ていると、アルコールは人を駄目にすると感じるよ
早苗,お酒が人を駄目にするんじゃなくて、人は元々ちゃらんぽらんなのをお酒が明らかにしてるのよー
飛鳥,ふっ、度し難いな
店員,お待たせしましたー、幻の手羽先です。あとこちらガラ入れとなってます。手羽先の骨はこちらにお入れください
P,うひょーいい匂いでよだれが……
店員,続いて黒手羽とみそ串カツです。ほかの料理もすぐにお持ちしますー
