男,うっはー！！やっぱ初月ちゃんかわええーー！！もっかい！。やばい！やばいって！脳が蕩ける！！……も、もう我慢できねえ。ふうっ……あぁぁ……。やっぱ初月ちゃんはかっこ可愛い……。あ、アレ？視界が……なんだ？頭……が……。う……？痛い？違……う。おも……い……た……すけ……。あ、う…………。は……づづ……き……
？？,は……き、初月、起きて。初月
初月,ん……うぅ……
秋月,初月にしては珍しく寝坊してるのね。夜更かしでもしたのかしら？
初月,……おはよう、秋月姉さん
秋月,早く準備して食堂に行くわよ
初月,あ～……うん……
秋月,初月？らしくないわね……。ちょっとごめんね。熱っぽいかしら……
初月,……うん、少し体がだるい……
秋月,朝ごはんは食べられそう？
初月,……分からないな……
秋月,あらあら、それじゃあ寝てて。明石さん呼んできてあげるから
初月,……ありがとう
提督,待ってくれ明石
明石,あ、提督。如何なさいました？
提督,これから初月の所に行くんだろう？それなら私も見舞いに行ってやろうと思ってな
明石,……まあ、初月ちゃんの所に行くのはその通りなんですけど……下心とかないですよね？
提督,下心？
明石,風邪をダシにして女の子の部屋に上がり込もうだとか、寝間着姿の初月ちゃんを視姦しようだとか、弱っている所に付け込んでいかがわしい事しようだとか……
提督,しっしないしない。考えてもないから！！…………本当に
明石,……一応、信じますけど、もし変な行動したら憲兵さん呼びますよ？
提督,好きにしてくれ。私は潔白だからな
明石,……なんで呼ばれて疑われてる前提のセリフなんですかね……。まあ、女の子には優しくしてあげて下さいよ
提督,了解
明石,初月ちゃん。……返事がありませんね。あ、提督はそこで待っていてくださいね。大丈夫だったら呼びますから
提督,分かった
明石,初月ちゃん、入りますよ。……寝ているだけのようですね。ふむ……よし、少し見た所提督に見られてヤバそうなものもなさそうですし……。提督、入ってきても大丈夫ですよ
提督,本当か？ならお邪魔しよう。初月は……寝てるのか
明石,ええ、これから診断するんですが、提督は出て待っていてくださいね
提督,今私が入ってきた意味は！？
明石,初月ちゃんが見られたからいいでしょう？
提督,ひどい！
明石,ふふっ、冗談ですよ。問診とかの間は居てもらっても
提督,そうか……
明石,さて……初月ちゃん、初月ちゃん、起きて
初月,うぅん……
明石,ほら、頑張って起きてちょうだい
提督,……いつもしっかりした初月にしては珍しいな
明石,そうですね～。体調が関係してるんでしょうか。ほら、ちょっとでいいから目を開けて～
初月,んぅ……なんだ？
明石,おはよう、初月ちゃん。聞いたわよ、具合悪いんだって？
提督,大丈夫か？
初月,…………うぅん？てい……提督！お前、なんでここに居るんだ！？
提督,秋月からお前の具合が悪いと聞いてな
明石,心配してたんですよ～
初月,そ、そうかっ///そ、その……少し体が重い感じがするだけで……ほ、他は何ともないんだ///
提督,そうか、それを聞いて安心したよ。一応、今日の遠征は休みにしておいたからな
初月,すまない
明石,……ふむ、一応自覚症状は軽いと。念のため体温とか測っておきましょうか。耳だして
初月,んっ
明石,熱は平熱ですね……喉見ますから口も開けてくれるかしら
初月,あー……
明石,喉も腫れてはない様ね。一応、至って健康体ね。……ねえ、初月ちゃん
初月,なんだ？
明石,ちょっと……
初月,//////……ま、まだだ///
明石,お赤飯かもしれないから、ちょっと自分で確認してもらえる？あ、提督は後ろを向いててくださいね
初月,//////
提督,あ、ああ
初月,じゃ、じゃあ//////
明石,ああ、私も後ろを向いてようか？
初月,い、いや、明石は大丈……。！？！？！？！？！？
明石,ど、どうしたの？お赤飯！？
初月,い、いや。違った……違ったんだけど……
明石,血がまだ出てないだけかしら。ごめん、ちょっと見せてもらえる？
初月,い、いや、ダメだ！！
明石,医療行為なんだし、そんなに恥ずかしがらなくても……
初月,こ、これは見せられない///。なんで！？なんで僕にこんな……///
明石,……そう言われると見ないといけないって思っちゃうんだけど……
初月,//////い、嫌だ
明石,う～ん……引きこもっちゃいましたか……
提督,すまん、見るぞ
明石,あ、はい
提督,初月、どうしたんだ？
初月,なっ、なんでもない！僕は大丈夫だから出てってくれないか？
提督,いや、そうは言っても大丈夫そうに見えないんだが……
明石,そうよ？身体的特徴ってコンプレックスになりやすいけれど、意外と他人には大したことないんだから
初月,で、でも……
明石,そうよ～。提督だって短小皮被りだけど堂々としてるでしょ？
初月,？
提督,た、短小じゃねえし震え声
明石,皮の方は否定しないんですね
提督,……………………か、被ってねえし
明石,提督
提督,な、なんだ？
明石,必要だったら相談に乗りますよ
提督,そうか……いやいや、必要ないし。必要ない
明石,…………
提督,そ、そういう訳だから初月、安心して良いんだぞ？人には色々悩みがあるんだからな
初月,そ、そうなのか……？
明石,そうよ。だから安心して言って。絶対誰にも言わないし
初月,でも……
明石,ねえ、もしかしてなんだけど……
初月,なっなんだ？
明石,……毛が
初月,//////
明石,ああ、なんだ、そうだったの。大丈夫よ、そういうものなんだから。大人になったら皆生えてくるものなのよ。だから安心して
初月,そっそうなのか？大人は皆生えてくるのか？明石にも生えてるのか？
明石,ええ、もちろんよ
提督,////////////
明石,あ、提督。顔にやけてますよ、いやらしい
提督,ちっちが……わないか……。すまん、外に出てよう
初月,ま、待ってくれ。もしかして提督も大人だから生えてるのか？
