岩乳,ガンニュウ
もう心は至高天,エンピレオ
ハゲ,クッ……。この深海から早く抜け出さねば……
天漁師,よいさ、ほいさ、どっこいしょ。おいらは愉快な天漁師。星を獲りまくるのがおいらの仕事さ。さぁて、今宵はどんな星かな。あれまッ！なんだ、こいつ！
ハゲ,ち、乳を……
天漁師,乳か！？すぐに、飲ましてやる！ちょっと待ってろ
天女,どうしたんだい、お前さん！そんなハゲ連れてきて！
天漁師,事情は後で話すから、早くこいつにお前の乳を飲ませてやってくれ。ここで乳を出せるのはお前しかいないんだ
天女,仕方ないねぇ……
ハゲ,甘い……地上で味わった乳……誰かが飲ませてくれている
天漁師,その羽毛、月鳴鳥ゲツメイチョウ
ハゲ,私はどのように助けられたのだ？
天漁師,おいらが網にかかっていたあんたを見つけて、それから天女が乳を飲ませて……大変でしたよ
ハゲ,天女？乳？
天女,おや、もう起きたみたいだねぇ。このモヤシ男は。あたしを心配する暇あったら、自分のこと考えな。あんた、これからどうするんだい
ハゲ,少しだけ位置させてもらおうか
天女,みんなの庭だ。ここにゃ好きなだけいても構わない。けどね、あんたの身体じゃ辛いんじゃないのかい。今は男根だけだけど、そのうち身体全体が熱を持って、内臓も脳みそも目玉も溶かしちまうと思うね
ハゲ,気が変わった。私は地上へ降りる。この怒りの正体を突き止めぬ限り、私は死ねない。死ぬことは許されない
天女,ハッ！あんたなら、そう言ってくれると思ってたよ
ハゲ,世話になった
天女,ちょいとあんた！ハゲさん帰るみたいだよ、送っていきな！
天漁師,うえぇ、人使いが荒いなぁ……。海に落ちた人間を陸まで届けるのは、並大抵のことじゃあない。それなりに時間がかかります。大体、3京6578兆8975億2478万9527日程度で世界の果てに到着します。そこから陸へ浮上するための準備で6京2541兆6231億3258万5009日、一気に浮上で1京8000兆5858億1234万4525日かかります。つまり10京日。途方もない時間です。ですが、おいらの船は一味違います。人工的に小規模なインフレーションを起こし、その膨張力・爆発力で船をカッ飛ばすんですぜ。しっかり捕まっててくださいよ。振り落とされたら木っ端微塵だ
ハゲ,あれはなんだ？
天漁師,あれは鍾乳石です
ハゲ,乳ッ！？
天漁師,宇宙に散らばるダークマターが長年積もりに積もってできた、鍾乳石なんです
ハゲ,暗黒乳か。どんな味がするのだろう
天漁師,鍾乳石を採取して売ろうと目論んだバカ共がいましてね……帰って来ませんでしたよ。どうも、あの辺りは時空が歪んでいるんです
ハゲ,君子危うきに近寄らず、か。ところで聞きたいことがあるのだが
天漁師,何でも聞いてくだせぇ
ハゲ,なぜ空に、海がある？
天漁師,おいらも、実のところ知らないんです
ハゲ,は？
天漁師,気が付いたらここで漁師をやっていた。デカい乳房の女房がいて、惑星を獲っては食っていました
ハゲ,生まれた場所も分からないのか？
天漁師,両親の顔も思い出せない。親不孝な漁師ですぜ、おいらは。この世界の秘密を解き明かしてくだせぇ
ハゲ,このイルカは？
天漁師,乗れ、と言っているようです
ハゲ,ヌッ！。おお、乳を噴き出す建造物ではないか。む、あれは……。翔べ、月明鳥ゲツメイチョウ。私とあの漁師は同じだ。生まれた頃の記憶がない
勇者,追い詰めたぞ、魔王！
戦士,勇者、油断するなよ！
僧侶,もう少しです！魔王を倒せば、きっと世界は……
魔法使い,平和になるわ！魔族に怯えなくてすむのよ
魔王,クソ……この虫けらどもが……
戦士,今のうちだ。奴が体内の暗黒物質を大放出する前に、首を打ち落とせ！
勇者,ああ、分かっているさ！
魔王,させるか！！！極大火焔魔法！。か、身体が動かん……魔法が撃てぬ……！
僧侶,うぐぅ……勇者様、ここは私が押さえます！あなたは早く魔王の首を！
勇者,僧侶！
魔王,聖女の名を騙る雌犬が、生意気な真似を……！
魔法使い,あらあら、あたしも忘れてもらっちゃ困るわよ？極大凍結魔法♪
魔王,やめろ、朕を殺すな、殺せば取り返しのつかないことになるぞ！
勇者,戯言はよせ。もう終わりにしよう。長い旅だった。とても、とても長い闘いだった。それだけだ
魔王,ぐ、ぐああああああああ！！！！！！
青年,おや、これはこれは
ハゲ,地上で見た人間は、貴殿が初めてだ
青年,私も、あなたが初めてです
ハゲ,自己紹介すべきだな、お互い
青年,その必要はございません。私は琴の奏者、あなたは旅人。それだけで良いではありませんか。詮索など不要。あなた、だったのですね。やはり
ハゲ,なぜ、琴を弾いている
青年,孤独がゆえ
ハゲ,なぜ、孤独か
青年,滅びたからです。この世界が
僧侶,やっと……終わった……
戦士,終わったのか？
魔法使い,ホントに、死んだのよね？
勇者,ああ、ピクリとも動かない。完全にマナの供給が停止してる。魔王は死んだ！俺達は勝ったんだ！
戦士,よくやった、我が盟友
勇者,戦士……！
僧侶,神のご威光に感謝を。我らが英雄に永遠の祝福を……ありがとうございます、勇者様！
勇者,僧侶……！
魔法使い,勇者、これで一緒に暮らせるわね……べ、別にそんなんじゃないわよ、あんたを監視するためなんだからねッ！///
勇者,魔法使い……！
青年,勇者と魔王は陰と陽。対となる存在。どちらかが消えてしまえば、暗黒物資が暴走し、世界の均衡はたちまち崩れます
ハゲ,世界が崩れたのか
青年,ええ。辺り一面、宵闇に包まれました。戦士も僧侶も魔法使いも、空も海も生い茂る木々も、すべて消え去りました。ただひとつ残されたのは、神が愛用していた竪琴のみ
ハゲ,その竪琴で、貴殿は光を産み、乳と蜜の流れる大地を産み、空を海で満たしたのだな
青年,所詮、私では無理でした。奇怪な建造物や生物しか、作ることができなかった。勇者殿、あなたもその一人です
ハゲ,私が……作られた勇者……？
青年,滅びた後の世界で。あなたは勇者1号として。魔王である私から生を受けた
ハゲ,……どういう意味だ。私は暗黒物質の結晶に過ぎないのか。無機質な！心を持たぬ人形に過ぎぬというのか！。世界の秘密を知るつもりが、出生の秘密を知ってしまうとは……はは……
青年,悲しむな、息子よ。確かにあなたは暗黒物質の結晶体だ。人間ではない。しかし、だからといって無用の長物でもない。その男根は、何のためにある？。新たな世界を作りなさい。勇者よ。では、この琴を。そう、良い調子だ
ハゲ,グッ……ヌッ……！
青年,私にも、手伝わせてほしい
ハゲ,ヌッ……！ヌッ……！
青年,恨みも憎しみもない世界を創ろう
ハゲ,心なしか、スッキリした気がする
青年,君が抱いた怒り。それは私を倒しながら世界を救えなかった自責の念だろう
ハゲ,魔王、貴殿はずっと待っていたのか
青年,ああ。数百年、数千年、数万年。気が遠くなるほどの時間をかけてね……
ハゲ,ようやく、か
青年,ようやく、だ
