千川ちひろ,皆さんあけましておめでとうございます、千川ちひろです
ちひろ,突然ですが、今回は私達の事務所に伝わるある噂の真相をご覧いただこうと思います。その噂というのは、当事務所に所属するアイドル、鷹富士茄子にまつわるものです。彼女は類稀なる幸運に恵まれ、彼女が夢に出てきた人にまで幸運が訪れたという事例さえあります。そんな彼女ですから、一富士二鷹三茄子のことわざ通りに初夢に現れたりしたら、きっとすごいことが起きるに違いない、とまことしやかにささやかれています。ですが残念なことに、いまだに初夢で茄子ちゃんの姿を見た人は誰もいません。それどころか、そもそも初夢を見たかも覚えていない人がほとんどなのです。欲をかいてしまうから、夢を見られないのでしょうか？。いいえ、実は噂が真実であるからこその事情がありまして――。それでは、しばしお付き合いください。題して、一鷹富士茄子
白菊ほたる,新年、かあ……
ほたる,去年はなんとか平和に過ごせたけど、今年はどうなるんだろう……。植木鉢が当たって骨折とか、誰かが引退するとか、とうとう事務所が潰れるとか……。今までのツケを取り返すみたいに、とんでもない不幸が来るかも……。？鈴の音……？
鷹富士茄子,とんでもない不幸じゃなくて、カコさんが飛んで来ましたよ～
ほたる,か、茄子さん？なんで空から降ってきたんですか！？
茄子,あっ、植木鉢に入ってたほうが良かったですか？
ほたる,今その良し悪しがわかるほど冷静じゃないんです、すみません……
茄子,まあまあ、とにかくあけましておめでとうございます、ほたるちゃん
ほたる,あ、あけましておめでとうございます。……おめでたいかは自信がありませんけど
茄子,私は自信ありますよ♪
ほたる,茄子さんはそうかもしれませんが
茄子,私が保証するから、ほたるちゃんも大丈夫ですっ
ほたる,そうでしょうか……何か起きるんじゃないかと心配で
茄子,私を信じてください！ほたるちゃんだって、不幸になりたいわけじゃないですよね？
ほたる,そ、それはもちろんです。できれば幸せになりたいです
茄子,じゃあ、なりましょう！私はほたるちゃんのその願いが叶うお手伝いを少しでもしたくて、初夢にお邪魔したんです♪
ほたる,初夢……？あ、これ、夢なんですか？
茄子,ええ。夢だから怯えないで、新年の抱負でも思いっきり言っちゃいませんか？
ほたる,抱負……私の、願い……。わ、私っ、アイドル続けていたいです。大切な仲間のみんなと一緒に！。私を応援してくれてるファンのみんなにも、笑顔で恩返しがしたいんですっ。それが、私の幸せですから！
茄子,うんうん……その想い、聞き届けました～♪
ほたる,え、何ですか、この光？わ、私にくれるんですか？
茄子,私の幸運を、ほたるちゃんにおすそ分けです。この一年、怪我も引退も倒産もきっとありませんよ～。だから、前を向いて頑張っていきましょうね♪
ほたる,茄子さん……わ、わかりましたっ。きっと私、まだ不安があって……誰かに励ましてほしかったんだと思います。ありがとうございます、茄子さんっ
茄子,礼には及びませんよ～。それじゃあ、今年もよろしくお願いしますね♪
ほたる,はいっ。あ、また鈴の音……
茄子,お迎えが来たんです。それでは私は失礼しますね～
ほたる,と、飛んだ！？。…………。そういえば、去年も同じように茄子さんに励ましてもらったような……？。だったら、今年も本当に大丈夫なのかも……うん
野々村そら,……おや？ここ、どこ？
そら,なんにもなっしん……あ、夢かな？初夢だ！。夢ならそらちんがでこれーしょんしたげないと☆。こっちにはからおけせっと！。紅白かーてんで囲ってー。おおっ？どこかでりんがべる？
茄子,あら～？なんだか華やかですね～
そら,あっ、茄子さん！うぇるかむそらちんずどりーむ☆
茄子,は～い、お邪魔してます
そら,あんどはっぴーにゅーいやー☆
茄子,ハッピーニューイヤーです♪
そら,茄子さん、こたつにどうぞ！
茄子,ありがとうございます
そら,あ、くっしょん敷かないと！。ぐりーんてぃーもどうぞ！
茄子,そらちゃんはすっかり夢を乗りこなしてますね～
そら,いつでもどこでもはっぴーをくりえいとするのがそらちんだから☆。あたしの辞書にははっぴーの文字しかなーいっ☆
茄子,それはとっても素敵ですね♪。でしたら、そこに私からのプレゼントですっ
そら,せんきゅー☆でも、これなに？
茄子,私の幸運のおすそ分けです♪そらちゃんの辞書に載せておいてくださいね
そら,おー、だったらそらちんからもりたーんするね！はっぴーのおすそ分け☆
