キャプテン・アメリカ(以下キャップ),う……。……ここは……？
キャップ,ステーキ。弱火でじっくり
店主,……あいよ
キャップ,……。！まさか、子供がいる？。？ああ、あなたは？
トンパ,俺の名はトンパ。今年で35回目になるベテランだ。聞きたいことがあれば何でも聞きな
キャップ,35回……チャレンジャーだね。相応に難しい試験と聞くが
トンパ,まあこいつはお近づきの印だ。受け取ってくれ
キャップ,ふむ……ありがとう、でも遠慮しておくよ
トンパ,え、飲まないのか？
キャップ,あいにく喉が渇いていないんだ。それに缶を入れておくウェストポーチの類は持っていないからね
トンパ(チッ…),そうか、じゃあ頑張れよ
ゴン,おじさん！もらったジュース飲まない方がいいよ。それ下剤入ってるから
キャップ(さっきの子か),ああ、ありがとう。僕は受け取らなかったよ
クラピカ,よく気付いたな
キャップ,というより兵士の習慣なんだ。戦場で送られた塩は舐めない
クラピカ,ふむ、兵か……
ゴン,おじさんはどこから来たの？
キャップ,ブルックリンだ
レオリオ,ブルックリン……？聞いたこともない土地だな
ゴン,俺は試験に合格して同じハンターの父さんに逢いにいくんだ。よろしくね
キャップ,僕の名前はスティーブ・ロジャース。試験についてわからないことも多いからよろしく頼むよ
サトツ,それでは第287期ハンター試験、一次試験を開始いたします。私は一次試験官のサトツと申します。二次試験会場までついてくること、それが一次試験となります
キャップ,このスピードで長丁場となれば脱落する者も少なくない
レオリオ,おいおい、初めからそんなスピードで走ってたらスタミナ切れするぞ
キャップ,大丈夫、根気と根性が取り柄なんでね
レオリオ,てかその盾重くねえのかよ？亀の甲羅みたいだぜ
クラピカ,あまり喋っていると喉が渇くぞ、レオリオ
レオリオ,へっ、たかがマラソンなんざ……
キャップ,あれは確かスケートボードとかいう乗り物だな
レオリオ,んなこた知ってんだよ！あれはいいのかよ？
キルア,おいおっさん、誰が反則だって？
キャップ,レオリオ、子供相手にやめるんだ
キルア,ちぇ、説教くさいおっさんだな
キャップ,これでもまだ26なんだがね
レオリオ,26ぅ？俺の七つも上じゃねえか
キャップ,……君は未成年なのか？
キルア,見えねーよおっさん
レオリオ,るせぇ！
キルア,ま、いいや。走ろっと
ゴン,君、年いくつ？名前は？
レオリオ,ゼェ……ゼェ……
キャップ,大丈夫か？レオリオ
レオリオ,す、スティーブ……なにか飲み物持ってないか？
キャップ,もっと後ろのほうにトンパが走っているが
レオリオ,この状態で腹下したら即脱落だろうが！ちくしょう……
クラピカ,冗談を言い合えるとは大したものだ
レオリオ,すげーのはスティーブだよ！どういう体力してやがんだ……
キャップ,君の根性も大したものだよ
サトツ,ここが中間地点になります。引き続き私の後についてきてください
キャップ,……この世界では信じがたいことばかり起きるな
レオリオ,スティーブ、あんたもうわかったのか？
キャップ,死体の猿を見たまえ。傷を見るに真正面から撲殺されたものだ。もしサトツが猿だとしたら、向き合って倒せる程度の相手ということになる。ならばなぜ彼は襲い掛からない？相手にしていないサトツの方が実力的には上だろう
クラピカ,……同意だな。サトツが本物の試験官だ
レオリオ,そ、そうか。俺はてっきり……
キャップ,！！
ヒソカ,ククク……♣
サトツ,……よろしい。しかしつぎ私を攻撃した場合は反逆行為と見做しますよ
ヒソカ,はいはい♦
キャップ,……(あの男は……)
レオリオ,あいつはヒソカっつって以前から他の受験生を殺しまくってるんだ。関わらないのが吉だぜ
キャップ,法的にはどうなっている。やつを拘束する機関はないのか？
クラピカ,……一応警察とクライムハンターがその役割を果たしているようだが
キャップ,……わかった、ありがとう
キルア,……(こいつ……)。おい、おっさん
キャップ,？なんだい、キルア
キルア,あんたさっきヒソカのトランプ見えてただろ
キャップ,ああ、確かに彼の技術には超越したものがあるね
キルア,そうじゃなくてさ。おっさんどこで鍛えたの？兵隊やってるとか言ってたけど
キャップ,どこで、というより僕の力は半分もらったようなものだよ。僕の尊敬するある人からね……
キルア,もらった？修行じゃなくて？
キャップ,もちろんトレーニングは欠かさないさ。だが力自体は授かったものだ
キルア,ふーん。よくわかんないけどさ
ゴン,キルアの家はゾルディック家っていって暗殺で有名らしいよ
キャップ,暗殺？驚きだな……傭兵のようなものか？
キルア,まあ完全にフリーでやってるからそうかもね。毎日毎日修行と拷問ばっかでさ、退屈したから出てきたんだ。なんだよ、暗い顔すんなよ
キャップ,すまない。少し考えることがあって……
キルア,そろそろ霧が出てきたな。おっさん達も急いだ方がいいぜ
]よ」,あいつも俺の同類だからな
クラピカ,しまった……前の連中とはぐれてしまったぞ
レオリオ,おいやべえよ、霧で見えねえけど後ろのやつらとんでもないことになってるぞ……！。ぐあっ……！
キャップ,先に行くんだ。奴を止める！
レオリオ,おいスティーブ！？死ぬぞ！
クラピカ,止まるなレオリオ！もうそこまで来ている！
ゴン,……！
ヒソカ,ククク……♦楽しめそうなおもちゃが一つ❤。！！
キャップ,フンッ！
ヒソカ,……♡
キャップ,フッ
ヒソカ,……♢
キャップ,！
ヒソカ,凄い盾だ♧ただの金属じゃないよね？。なかなかやるね♡
キャップ,トレーニング不足のようだな
ヒソカ,……ぐっ
キャップ,！？
ヒソカ,♡
キャップ,…！。ぐっ……！！(桁外れのパワーさっきとまるで別人だ……)
ヒソカ,まさか念を使うことになるとはねえ♡大したものだけど……もう終わりかな？
キャップ,ぐ……
ヒソカ,言い残すこととかないかな？♦
キャップ,……まだ足が残ってるぞ
ヒソカ,！
キャップ,フンッ！！
ヒソカ,グッ……。……クク
キャップ,……。……来い。！
ヒソカ,！！
ゴン,……やった！
ヒソカ,……！！。……ククククク
キャップ,……なんだと？
ヒソカ,試験官ごっこはもう終わり♦ほとんどの受験生は大したことなかったけど……君たちは素晴らしい収穫だ♡
クラピカ,……
レオリオ,……(気づいてやがった…)
ヒソカ,君たちはもっともっと強くなる♦それが実った時……ボクが食べる♡
ゴン,……
ヒソカ,それじゃまた♦みんないいハンターになりなよ♣
キャップ,……。ゴン、ありがとう。君のおかげで救われたよ
ゴン,ううん、スティーブさんを置いてオレたちだけ逃げるなんてできないよ！それに、あいつすごく強かったし……
レオリオ,なにもできなくて悪かったな……あんた一人に任せちまって
キャップ,構わないさ。こういう時体を張るのがヒーローの役割だ。だが僕一人で倒せる相手ではなかった。実際見逃される形になってしまったからね。君たちには感謝している
レオリオ,い、いいよ別に、ていうか俺はなにもしてないけどな
キャップ,とりあえず先を急ごう。あの試験官はだいぶ先まで行ってしまった
メンチ,二次試験は料理よ！あたしたちに美味しいと言わせたら合格！
ブハラ,まずは俺の指定する料理を作ってもらい、その合格者にメンチの指定する料理をつくってもらう。俺の指定する料理は豚の丸焼きだ！森に住む豚をハントしてもらう。豚の種類は自由！
キャップ,ハンター試験は戦闘能力のみを競う試験ではないのか
クラピカ,ハンターには様々な種類があり、彼らはグルメハンターと呼ばれる部類だ。文武両道、料理のような文化にも精通してこそ一流のハンターとなれるのだろう
レオリオ,だったら俺もその口だ。俺は医者を目指してるからな
ゴン,レオリオがお医者さん？へー
クラピカ,……(あまりかかりたくないタイプの医者だな)
キャップ,なるほど。レオリオはメディカルハンターか。……僕がなるのであれば……イラストハンター、とかかな？。しかし料理か。食事は自分で作っていたし一通りできるが……野生の豚は見たことがないな
クラピカ,この辺に生息するグレートスタンプという豚らしいが……
キャップ,見ろ。あのブハラという男、あっさりと平らげてしまった……まるでハルクの食事だ
ゴン,ハルク？誰それ？
キャップ,ああ、僕の仲間なんだが、全身緑色で巨体の持ち主なんだ。こういう人だよ
レオリオ,うわっ、あんた絵うまいな！本当にイラストハンターなれるんじゃないか？
ゴン,この人が怒るとこの人になるの？全然違うね
クラピカ,……というよりこれは人なのか？
キルア,そんなこと言ったらあのデブだって人間じゃないだろー
キャップ,(確かに。身体に見合わない質量を収納しているという意味ではハルクと同じだな。あれも特殊な力なのか？)
ブハラ,これもうまい、うまい……全部うまい
メンチ,後半は厳しく行くわよ！あたしが指定する料理は……スシ！
レオリオ,スシって……見たことも聞いたこともねーよ
キャップ,スシ、か。トニーに連れられて高級なスシ屋に行ったことがある。ある程度なら再現できそうだ
ハンゾー,(オレより詳しい！？)
クラピカ,なるほど。そして握り寿司という名称から察するに……コメと魚を手で握るのだな。仕上げにショウユを霧で吹く！できた！
メンチ,酢の匂いがきょうれ……ウォエッ！
クラピカ,食べる前からなぜえづく！？
キャップ,君は賢いか馬鹿かわからないな。どうかな
メンチ,んー……見た目と包丁さばきはそこそこだけど……あまり美味しくないわね
キャップ,そうか……。これは美味しい。ニワトリとは全然違うね
クラピカ,濃厚でとろけるような舌触り……
レオリオ,オレこんなうまい目玉焼きはじめて食ったぜ
ゴン,でもこれだけでっかいと食べきれないよ。キルア、半分こしようよ
キルア,えー？オレは修行してたからこれくらい余裕だぜ
クラピカ,なにを自慢しているんだ
キャップ,これにソイソースをかけてみよう
ハンゾー,いやそれはおかしい……
キャップ,？。いよいよ3次試験か。フンッ！。鳥にやられて足を怪我している。受験はまたの機会にした方がいい
クライマー,あ、ありがとう……。足がダメになってる…座業でできる漫画家にでもなろうかな……
クラピカ,あの鳥を一撃で……
キャップ,鳥の骨は軽量化されていて脆いんだ。あれくらいの衝撃を与えれば粉砕する
ゴン,スティーブさんえらいね。あの人がやられそうになったらすぐに助けに行った
キャップ,彼は悪人には見えなかった。というよりも……(なぜ皆見過ごすのか理解できないが)。(それがこの世界の倫理観なのだろう。所変われば品変わるということか。しかし受け入れて流されるわけにもいかない)
キルア,……
レオリオ,今更だけどよー、あんた本当にいいヤツなんだな。ヒソカの時といい
キャップ,ああ、僕も君たちのことを知りたいさ。ではまた会ったときに話し合おう
ゴン,なんだ、行き先は同じだったね
クラピカ,短い別れだ。だが話す時間はないな
レオリオ,ま、このメンツなら安心だし一緒にいるに越したことはないぜ
キャップ,彼の言う通りだ
キルア,真面目くさいおっさんだなあ…
キャップ,……チームか……
クラピカ,思うところあるようだな
キャップ,いや、僕が組んでいたチームがあってね
レオリオ,いまは俺たちでやるしかないがな
キャップ,異論はないよ。協力してクリアしよう。ずいぶんと漠然とした問題だ。心理テストか？
クラピカ,それに近いものだろうな
レオリオ,なら簡単だ。おっ俺だけかよ！
クラピカ,人はこういう場合左を選びやすい傾向にあるとされている。左の法則だ
レオリオ,へいへい。で、スティーブはどうなんだよ？
キャップ,左の法則は知らないが……。これだけ抽象的な問題だと答えなど突き詰めても存在しない。が、これはボタン式だ。人が手を使った問題で少し裏をかこうとおもった場合まず利き手と逆を選ぶだろうね。それが原始的な思考だ。この問題はその裏をかいての右だったわけだ。といっても確証などまったくないが
レオリオ,おもったよりちゃんと考えていた……
キルア,オレは知ってたけどね、左の法則
ゴン,オレは適当に押したよ！
クラピカ,ゴンが正しい。突き詰めれば、運だな
レオリオ,なら俺だけ運無しかよ……
ベンドット,我々は貴様らを試すため雇われた囚人だ。ここから先、一対一に勝負で我々五人を倒さなければ先には進めない
レオリオ,当然○だ！
ベンドット,なるほど、一番手は俺だ。そっちは？
キャップ,……あんな巨漢を子供と戦わせるわけにはいかない。僕が行こう
レオリオ,大丈夫かよ？
クラピカ,彼なら大丈夫だろう。とはいえあの囚人も手強そうだ
ベンドット,方法はデスマッチだ。相手が負けを認めるか、死ぬか
キャップ,……条件に気絶を入れてくれ。相手が気絶した時点で勝利だ
ベンドット,……いいだろう。代わりに追加条件だ
キャップ,……いいだろう
ベンドット,ほざけ……！
キャップ,僕の勝ちだ
レオリオ,すげえ……
クラピカ,妥当な戦い方だ
キルア,……甘い
レオリオ,あんた強いのなー……
キャップ,ありがとう、レオリオ。しかし僕の出番は終わってしまった。君たちにも戦ってもらうことになる
ゴン,大丈夫だよ。それにオレ戦うの好きだからさ
ジョネス,返っ……
キルア,……
レオリオ,……マジかよ
ゴン,……！
クラピカ,……
キャップ,……。……
クラピカ,なにを書いている？
キャップ,ああ、この世界に来てから見聞きしたことをメモしているんだ
レオリオ,あんたすごいよなあ。強いし体力も底がないし。俺は正直もうヘロヘロなんだがよ、あんたは全然疲れた素振り見せないよな
キャップ,強靭なのはゴンたち三人も同じだろう。疲れているなら眠るといい。50時間は過ごさないといけないからね
レオリオ,じゃあそうさせてもらうぜ。ふぁーあ……
キャップ,僕も少し眠るか
クラピカ,……この盾についている文様はなんだ？
キャップ,？これは祖国アメリカのマークだよ
クラピカ,祖国？祖国はブルックリンだと聞いたが
キャップ,ブルックリンは都市名だね。アメリカ合衆国が僕の故郷だ
クラピカ,アメリカ……聞いたことがない国名だ
キャップ,なぜ？
クラピカ,いや、なんとなくそんな気がするだけだが。君は優れたハンターとしての素質を見せたが、ハンター試験に関してはなにも知らなかった。国名も知らないものだし、共有している常識も異なる。暗殺一家・ゾルディックのことすら知らなかっただろう
キャップ,……君には話しておこう。重要なことだ
クラピカ,……いいとも
キャップ,僕の名前はスティーブ・ロジャース、そういったね。だがもう一つの呼び名がある。キャプテン・アメリカ。それが僕のヒーローとしての呼び名だ。(僕は自分の来歴について彼に話した。超人計画のこと。第二次世界大戦のこと。ヒドラとの戦い。時代との別れと一世紀越しの復活。アベンジャーズ。そしてシールドの崩壊後、突如こちらに送り込まれたこと……)
クラピカ,……
キャップ,信じがたいのはわかるがすべて事実だ。僕はそうした世界からこの世界に飛ばされてきた。そしてたまたまハンター試験に参加した。おかげで少しずつこちらの常識を学べている。ここの試験官が僕をどう思っているかは知らないが
クラピカ,……わかった。信じよう。だが、信じる
キャップ,……
クラピカ,……あなたが嘘をつくとは思えないからだ
キャップ,ありがとう、クラピカ
クラピカ,代わりと言ってはなんだが、私の話も聞いてくれないか
キャップ,もちろんだとも。僕はキャプテンだからね
