DOUBLEDECKER!ダグ&キリル,ダブルデッカーダグアンドキリル
バラン,魔軍司令どの、まずはオレから進言しよう
ハドラー,む…竜騎将バランか、いいだろう
バラン,今期はDOUBLEDECKER！ダグ＆キリル
バーン,ふむ…噂は聞いておる、サンライズのオリジナルものだな……
バラン,架空の近未来都市を舞台として、ベテランの中年刑事と、新人の巡査とで相棒バディ。タイバニに続くバディシリーズ
ハドラー,うむ…確かにビジュアルイメージといい、作画といい、オーラを感じるのは分かるが。率直なところ……。一話を見た限りではギャグにあまり乗れなかったが
バラン,タイバニとの差別化と見るべきだろうな。あえて８０年代風の古臭いギャグを挟むことで肩の力を抜かせている。しかしコミカルというほどではない、軽妙洒脱さがある
ハドラー,それに桂正和のキャラデザも、あまり今風とは言い難いが
バラン,ふ、それは当然のこと、バディものというのは汗臭い男の世界だ。シャープで近代的なデザインなどむしろ興ざめ、あえて桂正和氏を起用し、さらにスチームパンク風の味わいも持たせている。タイバニと同じ高みを目指すならば、今後１０年は戦っていくタイトルだ、確かに桂正和氏のキャラデザは今風とは言えぬが、長く付き合っていけるのはこういう大御所のデザインなのだ
バーン,なるほどな……カバネリのキャラデザを美木本晴彦氏が行ったようなことか……
バラン,それに、まだ話に絡んでは来ていないが、やはり女性陣にも注目したい。やはり桂正和といえば、一時は青少年の視線を一身に集めた人物だからな。バディは他に二組あるが、両極端だったり、とても相性がよくは見えなかったり、個性豊かな顔ぶれだ。今後、それぞれのバディでどんな話が展開されるか、興味は尽きぬ
バーン,うむ、よく分かった、バランよ。さすがは超竜軍団を率いる軍団長……見事に先陣を務めたものよ。このダグ＆キリル、余の視聴リストに加えよう、録画を頼むぞ
バラン,ははーっ！
ハドラー,さすがは竜騎将バラン……、一抹の不安を根こそぎ潰す勢いだったな…。む、そういえば、リンガイアを潰しに行くとか言ってなかったか
バラン,それなら朝のうちに行っておいた。だが天気もいいし、あとでまた行こう
ハドラー,そ、そうか
クロコダイン,魔軍司令どの、次はオレに行かせてもらおう
ハドラー,ふむ、獣王クロコダインか、お前がオススメしそうなアニメといえば……
クロコ,もちろんからくりサーカス
バーン,ふむ……
