前→咲,宮永咲の
咲,皆さんこんばんはっ。宮永咲のお先におやすみなさい。メインパーソナリティの宮永咲です♪。本日、8月22日日曜日！今日はりゅーもんスタジオではなく、東京国際フォーラムラジオブースから週末最後の癒しの時間を皆さんにお届けします！。さてさてー。改めまして、今日は慣れ親しんだ長野のスタジオではなく、東京のインハイ会場にあるスタジオからお送りしている訳ですが。リスナーの皆さんは勿論、どうして私が東京に居るのか理由を知ってますよね！。……ふむふむ、そうですそうです！知ってる方はバッチリです！。……え、知らない？そんな人、居るはずないですよねー。正解はですね、わたくし宮永咲はインターハイの解説プロとして、東京にお呼ばれしているからです！。……はぁ…。私ね？解説の本番が始まる前までは……。ラジオでも緊張せず話せるようになったし、解説くらい余裕だよね！……って思ってたの。ところがどっこい、解説って凄い大変で！。一つ一つの試合を、観戦している人に伝わりやすく表現するにはどうしたらー！とか、色々考えちゃいまして。そう、アシスタントさんの様な方も少なくない数居ると思うんですよね。所謂、デジタルの方！。だから、そんな方達も含めて皆に分かりやすく解説するのが思いの外難しくて！。あんまり上手くいかなくて、ちょっとションボリです。可愛らしかったって……えへ…ありがと…///。って違う！。可愛らしかったらダメ！解説として、ビシッとした所を、皆さんに見てもらいたいんですから！。ふふん、このラジオからは想像出来ないような私をリスナーの皆さんにお見せしてあげますから。明日からの試合も、是非見てくださいね♪。私ももう少し考えて、次回はもっと上手に解説出来るように頑張ります！。さて。毎度お馴染みのオープニングトークですが、今回何話そうかなーって考えても、やっぱりインターハイの事しか出てきませんでした…。が、インハイのお話はあえてせず、別の話題でいきたいと思います。えっ、何故かって？。まあ、そう思う方もいらっしゃると思うんですけど、うん、そこはほら……。気分的に、インハイの話は解説の時だけで良いと言いますか……ねぇ？。あっ、笑ったね！？。ふふん、このラジオからは想像出来ないような私をリスナーの皆さんにお見せしてあげますから。明日からの試合も、是非見てくださいね♪。私ももう少し考えて、次回はもっと上手に解説出来るように頑張ります！。さて。毎度お馴染みのオープニングトークですが、今回何話そうかなーって考えても、やっぱりインターハイの事しか出てきませんでした…。が、インハイのお話はあえてせず、別の話題でいきたいと思います。えっ、何故かって？。まあ、そう思う方もいらっしゃると思うんですけど、うん、そこはほら……。気分的に、インハイの話は解説の時だけで良いと言いますか……ねぇ？。あっ、笑ったね！？。でもほら、このラジオを聴いてくれてるようなコアなリスナーさんは、私のテレビでの解説も見てくれたと思いますし。私、解説の時に現段階までの試合で記憶に残った選手とかの感想は、全部話してるんですよー。ほら、永水の子とか、白糸台の子とか。沢山話してたの知ってますよね？。ありがたく思ってくださいねっ！。と、言う訳で、そうだなぁ…。リスナーの皆さんは、お風呂に入る時……身体を洗う時ですね。どこから洗うーとか、ありますか？。ど、どうしたの、アシスタントさん？。えーっとですね、先に洗う部分で分かる心理テストみたいなのを、この前本で読みまして！。そういう事言ったらダメだよ！？。ちなみに、私は下…足ですね。から洗うんですけど。アシスタントさんはどうですか？。ふむふむ…分かりました！。ほら、見てこの本！この話するために持ってきたんだー。えっと、じゃあ足からの人のと、腕からの人のやつを言うので、同じ人は要チェックです！。では、まずは下から洗う人……。身体を先に洗う箇所で、恋愛の特徴が分かっちゃうんですぉ～。ちなみに、和ちゃんが見ている占いで今日の天秤座のラッキーアイテムを眼鏡と言っていたせいか、今日の和ちゃんは眼鏡を。久々に音声さんが仕事してる気がする…ちょっとビックリしたよ。えっと、まずは私と同じ！足から洗う人の恋愛……。な、なんか…自分の事を言うの、恥ずかしいかも……/////。ああ！！。そ、そうなのかなぁ…/////。仕事や………趣味…。じゃ、じゃあ次！腕から洗う人！。は、恥ずかしいんだもん！/////。まあ、最後の方とか…打ち込める物を持ってる人～とかの件は…ちょっと、合ってるかな…なんて！。思いますかね、はい！終わり！/////。次、腕から洗う人の方を私が読みます！。はいそこ、マイク切って聞こえないようにしようとしない！。あなたの恋愛は、相手との心のつながりを大事に考え、精神的な支えになりたがる傾向があります。ほうほう…。別にっ！。ただ、頼ってもらえないと物足りなかったり、必要なときに相手がそばにいないとあなた自身が落ち込んでしまったりしそう。あー……確かに、意外とそういう可愛い所あるもんね。好きな人の顔色を見てばかりだとストレスが溜まるので、自分の目標をしっかり持つといいかもしれません。ときには恋愛を忘れて趣味などに打ち込みましょう。だ、そうです！。リスナーの皆さんにも、当てはまる所はありましたか？。よければ、今後の参考にどうぞです♪。アシスタントさんは、顔を真っ赤にしちゃってるので、きっと当てはまってたんでしょうね！。ぅわわ…ジトーっとした涙目で睨まれちゃいました。良い感じに、したかったお話もできた事ですし、そろそろ始めましょうか。ゲストは、皆さんお待ちかね……というか、本人が一番待ち望んでいたらしいです。そんな方と一緒に、のんびり盛り上げていこうと思います！。宮永咲の、お先におやすみなさい！深夜11時から45分間、是非お付き合いくださいね♪。お送りしています、宮永咲のお先におやすみなさい。改めましてこんばんは！メインパーソナリティの宮永咲です♪。そして、今夜のゲストを紹介します！。今や麻雀を嗜む人で知らぬ者はいない！史上で最も激戦だったと言われているインハイの、伝説の世代の一人！。現在は、東京都でトッププロとして日々活躍をしている最強の雀士！。そして、私の大切なお姉ちゃんでもあります！宮永照さんに来てもらいました！。ようこそー！。ぅわわ…今日の音声さん凄いな…はい、では挨拶をどうぞっ。お、お姉ちゃん……あ、このラジオは緩さをモットーにしておりますので、お姉ちゃんと呼ばせて貰いますねっ。お姉ちゃん、最初からそんな営業モード全開で挨拶しなくても良いんだよ？。という訳で、今夜のゲスト！宮永照さんです、宜しくお願いします！。確かに、お姉ちゃんがこういう雑談する感じの番組って見ないかも。あー…ふふっ…ちょっと聞いてくださいよリスナーさん。お姉ちゃんってば、私がこのラジオをやるって報告した時、20回位確認してきたんですよ？。わざわざお父さんにまで確認して……あははっ。そ、そうかな？直接言われると、嬉しいかも。それは逆に寂しいよ！？もう少し聴いて！？。真顔で冗談を言わないで欲しいです……未だに、お姉ちゃんのジョークは伝わり辛い！。という訳でですね、こんなお姉ちゃんと一緒に！今夜はお送りしていきたいなと、思います。……これ、台本(仮)に"話したい事を話す"としか書いてないんだけど…。言っておきますけど、いつもは何も書いて無いんですから…。言われるまでもなく、話したい事を話してますからね！？と言うか、そうせざるを得ない！！。偶には台本アリで安心してやりたいよ……。へ、そう？。あーっ！！その話NG！！NGだから！！はい、事務所がOK出してません！！/////。あぁぁぁぁぁぁぁ～！！！/////。む、昔の私でしょそれは！！/////。あーっ恥ずかしい……////そんな話今しなくても…ほらそこ、いつまで笑ってるの！/////。何これ……どうして私が恥ずかしい目に遭ってるの/////。今夜のゲストは宮永照さんという事で、やはり話題は麻雀になりますでしょうか。なんせ、今では知らない人は居ないって言われるほどのトッププロだからね……
照,でも、それに恥じないような麻雀を打っていきたいかな
咲,聴きましたかリスナーさん！これが私のお姉ちゃんです！。この麻雀に対する姿勢、私も１雀士として本当に尊敬していますっ。ふぁ……。っと、いけないいけない！このままじゃ放送事故だ。それじゃあ、オープニングで出来なかったインハイの話をここでしよっかな。うん、折角だしね。という訳で、お姉ちゃんは今年のインハイはどう見ますか？
照,プロになっても、学生の打ち筋から学ぶ事がかなりあって、観ていて楽しいかな
咲,だよね！私も、初めて全国に出た時はレベルの高さにビックリした思い出があります。と言うと？？。あー……それは私も思うかも。あの時の事が、つい昨日の事みたいに感じる。こちらこそ、ありがとうっ！。……って、和ちゃ…アシス……面倒だから和ちゃんでいいや。どうして泣いてるの！？。和ちゃん……。急に元気になった……。褒めてたの前提！？。気にしないでお姉ちゃん。和ちゃんってば、偶に暴走しちゃうの。アシスタントさんをクールダウンさせる為にも、この辺で一曲紹介します！。ゲストに来る人ほとんどに、その台詞を言われるけど、正真正銘のラジオだから！！。……ラジオだよね？。そんな今夜、皆さんにお届けする一曲です！。お送りしています、宮永咲のお先におやすみなさい。この番組では、リスナーの皆さんからのお便りを随時募集している訳ですが！。今週も沢山のお便りが来ていた様で、本当にありがとうございますっ。えー……それに伴ってですね、一つ謝罪しなければいけない事がありまして。えーっとですね……そのぉ…。私、電子機器が、その、苦手なんですけれどもぉ～…。いつもは、スタッフさんが届いたメールの中からランダムに選んで印刷してくれて、それを私達が読むって形なんですよ…。そのですね…先日、偶には私も選びたい！って我が儘を言って、少し触らせて貰った結果…そのぉ…。えー、その結果ですね、見事にデータが全て吹き飛んでしまいましたすみません！！！！！！
照,想像通り…というか、この事態を想像しなければいけないのはおかしい気がする…打ち合わせの時に教えて欲しい
咲,……まあ、そういう事でですね、はい。そういう事です！！リスナーさん、ここは私に免じて……。ゆ、許してにゃんっ…?。あ、あぅ……/////。あああああああああ！！/////恥ずかしい！！/////。よりにもよって、お姉ちゃんの前で/////。はい！もう、そんな訳で皆許してください！！/////。どうするの？
照,ホワイトボード？
咲,使うの、随分久し振りだね。だ、台本……！？この番組で、台本！？。こ、これ、アシスタントさんが書いたの……？。和ちゃんが、原村さんになってるよ…凄い……。えっと、では特別企画！。姉って、妹って、どんな人？宮永姉妹編！……の、コーナーです！。ありがと。追記しますと、お題は私達姉妹についての物となっています！。ラジオとかでよく見るから採用してるらしい。ではでは、時間も押して来ましたのでさっそく！。どっちから引く？。なら、私から引きます！。……んー…？。……んー…。これ、紙が2枚しか入ってない…。箱用意する意味あったのかな！？。無いなら普通に紙だけ渡して！？。ホワイトボードもだけど、音声だけなんだしリスナーさんには何一つ伝わらないからね！？。そんなオカルトありえないよ…。凄いやりたそうにしてる！？。なにその話……インハイチャンピオン可愛すぎるよ…。ま、まあ…そういう事なら、この箱には突っ込まずに、お姉ちゃん引いていいよ？。よくよく考えたら、この番組っていっつもこんな感じだった気がしなくも無いや。妙に懐かしいBGMをまた…。随分と普通だね……もっと、変なのが来るかと思ってたよ。さすがにそれとは一緒にしないで欲しいな…。怖いよ！？いつの間に平均なんて出してたの！？あと、さらっとオカルト認めないでよ！。あ、そうなの？…びっくりしたぁ…ちょっと安心したよ。安心を返して！？。色々と話が入り混じりすぎ！！この話は一旦置いておきまして、えっと、お題なんだっけ…。じゃあ、このホワイトボードに書いて発表……でいいのかな？。了解っ。制限時間は1分、よーいどんっ。うーん、好きな所は良いとして、直して欲しい…。いや、特に悩むこともないや。ふふっ、まあまあ♪。書けるだけで良いと思うよー。……。ん、こんな所かなっ。じゃあ、どっちから見せる？？。おっ、強気だねぇ～。ふっふっふ、お姉ちゃんは私の事をどう思ってるのかな？。ではでは、お姉ちゃんからです！どうぞ！。いやいやいや！！嬉しいけどさ、こんなので良かったの！？。ほぇ？じゃないよ！！つまり、咲の全てって……////。それ和ちゃんだから！！。いや、まあ、嬉しいんだけどね？なんか、シンプル過ぎて適当な感じがするよ。はい、じゃないよ！？ドヤ顔してる所申し訳ないけど、さっきの最後の奴と何一つ変わってないからね！？。だからそれ和ちゃ……はあ、まあいいや…。ありがとね、お姉ちゃんっ。えっと、それで直して欲しい所が……。プラマイ０を匂わせて油断させて、最後にきっちり捲ってくる所……いやいや、そんな事してるつもりは。せ、戦略だし！良いじゃん別に！。まあ、喧嘩の理由は置いといて……それなら、別に良いんじゃ。強いからやだって何！？。知らないよ……。なんか腑に落ちないなぁ…。じゃあ、次は私です！。んー、まあ、こんな感じですかね。どうかな？まず、好きな所なんだけど、一つ目と二つ目は似てるね。うん。昔から、私がお母さんやお父さんに怒られた時は助けてくれたりさ。そうだよね。麻雀牌を無くした冤罪を掛けられた時だって、助けてくれたし。そりゃ、あんな凄いツモり方してたら吹っ飛ぶに決まってるよね。あとあと、お菓子作りの時も。あははっ！ごめんごめんっ、ちょっと思い出したらイタズラしたくなっちゃった。こんな事ばっかり言いましたけど、本当に困った時はすぐに助けてくれるから、とても頼りになるお姉ちゃんなんですよ！。でもここで、直して欲しい所を見て貰いたいんですけど。そうなんです！これが、好きな所と関連しててですね。この前、試合で東京に行った時、お姉ちゃんに東京を案内してもらってたんですよ。そしたら私、迷子になっちゃいまして……でも、お姉ちゃんがすぐに見つけてくれたんです！。まあ、その後は2人で仲良く知らない街中を彷徨う結果になった訳ですが。んふっ……まあ、そうなんだけどね。迷子になる私も悪いんだし。折角なら、カッコよく助けて欲しいなーって話です！。ケータイの存在を思い出して、一緒に来てた淡ちゃんに電話して助けてもらったよ。それから次が、お菓子を食べてる時の顔が可愛いところ！。ほんとね、リスナーさんにも一度見てもらいたい！。お姉ちゃんって、多分クールでカッコいいってイメージが強いと思うんですけど。お菓子を食べてる時は、とっても幸せそうな顔してて、リスみたいなんですよ！。そんな所が、可愛くて好きだなって思いますね。ではここで、もう一度直して欲しい所を見て頂きたいんですけど。これは、お姉ちゃんが長期休みで長野の家に帰ってくる時に起こる事ですね。幸せそうに食べて貰えるのは嬉しいんだけど、私のを無断で食べるのはやめようね？。いっつも、お姉ちゃんの幸せな顔に押されて言えないんだけど。……まあ、最近はお姉ちゃんの為にも買ってるんだけどさ。その分を食べて尚、私のも食べてるんだよ～？このお口は！！。もうっ。うん、それさ結構昔にお姉ちゃんが提案したけど、来る途中の新幹線で私の分のお菓子も全部食べちゃってたよね、お姉ちゃん。まあ、そんな所も可愛いんだけどね。何でもないっ！……という訳で、お互いの好きな所、直して欲しい所はこんな感じですかね！。続いてのお題……って、和ちゃん？。最近思ったけど、うちの和ちゃんは少し笑いのツボがおかしいみたいです。え、うそ。えっ、考える時間は。わ、分かったよ！えっと、じゃあ引きます！。えいっ！。なんなのそのキャラ！？。えっと、じゃあお題！！。えっ、質問とかじゃないよねこれ！？。早くない！？。えぇっと、どうしよう！？。ちょっ、待っ。あー！もういいや！お姉ちゃん！。さてさてー、いよいよお別れの時間となりましたがっ。いやぁ…最後のドタバタ感凄かったね。そのイメージやめて欲しいな…。というか、最後のあのお題、お姉ちゃんはなんて言ったの？。うん。自分の声でかき消されちゃって。え？。そ、そうなんだ…。な、なんか恥ずかしいから、お姉ちゃんから言ってよ。えー！さっきは、あんなにスラスラ思い浮かんでたくせに！。うぅ、お姉ちゃんから！。お姉ちゃん！。むむむむ…。い、一回言うの渋っちゃうと恥ずかしいんだよっ！。後で没収だね。電子機器の進歩が憎い！！。……まあ、そんな訳で！ゲストとして来てみて、どうだった？。お便りで催促をしてきたくらいだからね……。私も、普段とは少し違った感じでお姉ちゃんと色んな話ができて、面白かったです！。ふふっ…お姉ちゃん、そんなお母さんじゃないんだから。あのコーナー？。ああああああああああ！！/////。その話はしないでっ！！////恥ずかしすぎるからっ！！/////。へっ、何を……。きゃぁぁぁぁぁぁぁぁぁぁ！？/////。や、やめてっ！！ほんとに、やめて！！/////。なぁぁぁぁぁぁぁ！！/////。ダメダメダメ！！/////……こ、こうなったら……っっ。……。……えいっ！。やたっ！。電子機器の進歩めえええええええええ！！！。お姉ちゃん！あの音声貰ったら怒るからね！！。口笛吹けてないし！ベタだね！？。和ちゃんも、後でお説教！。もう…困っちゃいますね、ほんと！。ではではリスナーの皆さん、本日もお付き合いありがとうございましたっ。お相手は！。……えっと、お姉ちゃん！私のお姉ちゃんでいてくれて、ありがとうっ！み、宮永咲と、ゲストの！/////。えっ……もしかして、一緒の事…。あっ、おやすみなさいーっ！。この番組は、りゅーもんスタジオ……ではなく、東京国際フォーラムラジオブースさんと。親愛なるリスナーの皆さんの提供でお送りしました！。お姉ちゃん、和ちゃん、今日はお疲れ様っ。？？どういう事？。な、撫でないでっ！////こんな所、誰かに見られたら……。見られたら……ぁ！？。……見ました？。～～～ッッッッ/////。忘れてください！！馬鹿！！/////。だいたい、健夜さんはどうしてこんな時間まで残って仕事してるんですか！。ラジオをですか…それはまあ、ありがた……。へっ、ラジオ……。やああああああああああ！？/////和ちゃん！？どうしてまだそれ持ってるの！？。いやいや、納得できないからね！？
健夜,お便り全部消しちゃったのはアレだけど、あの音声を聴けたのは収穫大だったかな
