※友奈,勇者部は皆仲良くだよ！
友奈,東郷さん妊娠本当におめでとう！やきう君との赤ちゃん楽しみだね♪
東郷,ありがとう友奈ちゃん
友奈,幸せで浮かれるのも良いけどぼた餅以外にもっと美味しいもの作って欲しいな
東郷,な、何か食べたいものでもあるの？ごめんね飽きさせちゃって…
友奈,うん！東郷さんのぼた餅以外なら何でも食べたいな！
東郷,舌が肥えやがって…普段ろくなもん食ってない癖に贅沢言うな脳みそ藁人間
友奈,そうだよね！東郷さんは脳みそがもう二つおっぱいに入ってるもんね～！だからそんなに頭おかしいんだよ！
東郷,なんつった単細胞
友奈,ヤモリと美森で東郷やもりｗｗｗなんちゃってｗｗｗきゃはははは！
東郷,殺すぞ
彡()(),…
友奈,言ったなこの妖怪さつまいもババア！
東郷,痛った！打ったなこの豚猿ぅ！
友奈,ゴキブリ美森！
東郷,んだとごらぁ！
彡()(),ええんかこれ止めなくて…
樹,いつものことです。喧嘩するほど仲が良いんですよ
風,グビグビぷはぁ！ストロング缶うめぇ！おいやきうお前も飲め
彡()(),飲酒はあかんて
風,あ？法律なんざ数百年前に代わって学生も飲酒ＯＫになったじゃないのよそれとも何か？東郷の母乳は飲めても私の酒は飲めないってか？おぉ！？
彡(ﾟ)(ﾟ),な、何を言ってるんや風先輩！
東郷,やきう君たらいやん、赤ちゃんのぶんも残しておかないとダメよ♪？
友奈,まっずそ
東郷,母乳どころか水一滴もないような胸してる友奈ちゃんには分らないでしょうね
友奈,やきうちゃん！こいつ産休とらせて休ませろ！
東郷,私は悪くないわよねやきう君
友奈,ぐすっひぐ…
彡(ﾟ)(ﾟ),！？
友奈,私…悪くないもぉん！
彡(ﾟ)(ﾟ),ほら…なかんでーや…あかんちょっと可愛いかも
友奈,ぐす…うん…
東郷,…。なんで友奈をかばった
彡(ﾟ)(ﾟ),いや流石に泣かせたらあかんって
東郷,なんで友奈をかばった
彡(ﾟ)(ﾟ),美森ちゃん急にガソリンなんかかぶんな！
東郷,なんで友奈を庇った
彡(ﾟ)(ﾟ),焼身自殺なんてやめーや美森！！！！
東郷,い、いま呼び捨てで呼んでくれた…うるうる
彡(ﾟ)(ﾟ),ほら美森ちゃんもなでなで
東郷,ぐす…やぎうぐぅん！
友奈,あっかんべぇ！
東郷,こいつガソリンで燃やす！
彡()(),美森ちゃんガソリン臭いンゴ…
友奈,もとはといえばやきうちゃんがいけないんだよ？
彡()(),ワイなんもしてないやんけ！
友奈,だって昨日リアル痴漢体験ごっこしてる最中で途中で逃げ出したんだから！
東郷,おいなんだその遊びは私もまぜろ
友奈,いいよ！東郷さんも今日一緒にやきうちゃんとやろうね！
東郷,さすがは親友！
友奈,おいわかったか、次逃げたら私も妊娠するぞ
彡()(),にげよ…
夏凜,やきうにげよっ？
彡(ﾟ)(ﾟ),おっ天使やんけ！
夏凜,ふふ
風,おいやきう。にぼしと一緒につまみと高級恵方巻き20本買って来い
樹,私はサラダ巻きにしろよ
園子,やっき～君私はイナゴとザザ虫の佃煮巻きがいいんよ～！
友奈,やきうだけいって来い、にぼしはどうせやきうをたぶらかしてセッ〇スだけが目的の猿だからな
美森,やきう君…5時までには帰ってくるのよ。さもないと一生外出禁止だからな
夏凜,くっそぉ！
彡()(),すまん夏凜ちゃん…逃げるわ
彡(ﾟ)(ﾟ),はぁ…美森ちゃん想像妊娠のはずやったけど…まさか本当に赤ちゃんとは…。検査で100％ワイの子やったし…資金やら生活は大赦が前面バックアップしてくれるそうやしええけど
彡()(),この歳でさすがにパパっちゅーんもなぁ…まだまだ遊びたいンゴねぇ…
彡(^)(^),でもまあ普段は美森ちゃんもゲーム付き合ってくれるし結城さんやって発情さえなければ最近ええ子やし…前向きにがんばろ！
？？,よっ、誰かと思ったら須美の旦那じゃんか
彡(ﾟ)(ﾟ),おっ、美森ちゃんをその名で呼ぶ子っていったら…
銀,よっ、青春してるな～っ！
彡(^)(^),銀ちゃんやんけ！
銀,勇者部にいじられてまた逃げてきたな～？
彡(ﾟ)(ﾟ),せやで…頭おかしなるで…銀ちゃんも良かったら勇者部に
銀,絶対入らないってば頭おかしなるで
彡()(),ワイの話きいてりゃそりゃそうやね
銀,それより買い物か？私あたし
彡(^)(^),ええで！夏凜ちゃんに続いてワイの癒しの一人や
銀,あはは、私貧乏だからさ～10円駄菓子買い込むんだよなぁ！
彡(ﾟ)(ﾟ),ワイが奢るで！好きなもん頼みーや！
銀,悪いって…！家計簿で何買ったか須美に見られるだろ～？
彡(ﾟ)(ﾟ),平気や
銀,うれしいけどさ～この前も須美から電話がきて1時間尋問されたんだよなぁ
彡()(),すみっカスん時からあーなんかあの子…
銀,そうだよ。ちなお前小学生の時からずっと須美に目をつけられてたんよ？
彡(ﾟ)(ﾟ),えぇ…
銀,まあいいや。んじゃ奢ってもらおっかな
彡(^)(^),おかのした！
銀,ホイップシュークリームうまぁい！ほら、やきうも食べろって！
彡()(),こんなさりげない日常が楽しくて愛おしい…ワイ疲れてるンゴねぇ
銀,辛気臭い顔しなさんなっての！普段大変なんだからこう言う時くらいリラックスだってば！
彡(ﾟ)(ﾟ),甘くて美味しいンゴ！銀ちゃんほら、海老マヨおにぎりやで！
銀,おぉ！？月末なのに贅沢だな～！いっただきまぁす！。なあやきう、今度園子と須美と私とでイネスいかね？
彡(ﾟ)(ﾟ),そう言えば新しくオープンしたンゴねぇ。買い物か？
銀,そうそう、勇者部の環境のせい？もあってか須美や園子っておかしくなってるんじゃないかって思うんさ私
彡()(),いや、あれは奴らの本性やろ
銀,あはは、やきうも病んでるなこりゃ…それなら須美の他にも私と結婚するか～？
彡()(),夏凜ちゃん以上の天使や…本気で可愛いンゴ
銀,褒めても何もでないっての！そうだ、明日私ん家でゲームでもしようぜ！
夏凜,…
彡(ﾟ)(ﾟ),ぎ、銀ちゃん後ろ
銀,お？あれ夏凜じゃん！何してんだ？
夏凜,よっ不登校！
銀,余計なお世話だ！
夏凜,まあまあ、駄菓子だけだとカロリー偏るし煮干しでも食べなさい
銀,私小魚にがて
彡(ﾟ)(ﾟ),ほーん給食で小魚アーモンドとか出てもアーモンドだけ食べるタイプやろ？
銀,ばれたか～！
夏凜,美味しいわよ！食べなさいっての！
銀,はいはいっっとひょいパク
夏凜,にやり
彡(ﾟ)(ﾟ),！？。銀ちゃん！？
夏凜,大丈夫よ気絶してるだけ…それよりやきう…
彡(ﾟ)(ﾟ),なんや！？
夏凜,私とお風呂入って
彡()(),やばいまた夏凜ちゃん暴走モードや
夏凜,何よ園子とまで寝て…私だけとはダメなわけ？
銀,風呂！？私も入る！
夏凜,なんてタフなのよ！？
彡(ﾟ)(ﾟ),ぎ、銀ちゃん！？銀ちゃんは道を外れたりせーへんよな？
銀,あいつらの親友なのにまともだと思ったの？
彡()(),その通りやわ信じてたのに
銀,おい言葉と心が逆になってるぞ。優しくしてやるから混浴いくぞ。夏凜いくぞ！
夏凜,信頼してるわ先輩！
彡()(),ヒェ…
銀,須美なんておっぱいでかいだけで他はただの根暗キチガイ糞ババアだし私らぴっちぴちとやってたほうがやきうだってさ！
夏凜,銀後ろ
銀,あん？良いんだよこう言う時くらい好き放題言っても♪何だかんだで友奈だって東郷と目糞鼻くそだしやきうが可哀相だよ！。私らで癒してやろうぜ夏凜！
夏凜,いや、今日は私遠慮しとくわ
銀,んだよドタキャンかよ…ん？
友奈,おい銀！東郷がガキ生んで子育てでしばらく休むからコンビニで弁当買って来い！
銀,は、はい…
風,おいやきう、早く土の匂い嗅いでトリュフほってこい
樹,チョコレートのトリュフ買ってきたとか抜かしたらしばくぞ
夏凜,やきうは東郷と赤ちゃんに付きっ切りで居ないわよ
樹,あ…
風,あ…
友奈,皆…。お祝いしよ…
風,それもそうよね…
樹,は…はい…こんな事めったにないもんね
風,おい三ノ輪、ビールとステーキとつまみとオードブルかってこい
樹,チーズケーキかってこい
園子,おいミノムシ。カブトムシの幼虫育成キットかってこい
夏凜,銀やきうのパンツ盗んで来い
