レスキネン,マホ、こんなに遅くまで随分と熱心だね
真帆,…
レス,マホ？
真帆,……
レス,マーホー
真帆,………
レス,マーホーさーん
真帆,…………………
レス,新手の嫌ガラセなのかな？
真帆,ひあっ！？……って教授。いきなりモニターの前に顔を突っ込まないでください！ビックリするじゃないですか！
レス,Oh、驚かせてしまったかな。これは申し訳ないことをしたようだ
真帆,ふぅ。本当にもう、心臓に悪いです。そういうことするから、レイエス教授にも子供っぽいって言われるんですよ？
レス,耳が痛いね。だけどね、マホ。これでも、何度も呼びかけていたのだよ？まったく気づいていなかった様だが
真帆,あ……そうだったんですか、それは……すいません。ぜんっぜん気づかなかった
レス,てっきり音楽でも聴いているのかと思ったけど、そうでもなさそうだったからね。これがジャパニーズ“シ・カ・ト”なのかと、私は少し悲しくなったものだよ
真帆,シカトって……。そんなワケないじゃないですか。何ていうか、ちょっと考えがまとまらなくて、ついつい深入りというかのめり込みというか……
レス,それは昨日の件について、ということかい？
真帆,ええ、はいそうです
レス,Hum。研究者として熱心なのは良いことだろう。だけど根を詰めすぎるのも考え物ではないかな？身体にもインスピレーションにもね
真帆,そ、そうですね。これからは気をつけます
レス,分かってくれれば、それでいいんだよ
真帆,それで教授こそ、こんな遅くにどうしたんですか？
レス,私かい？なに、研究室の明かりが中庭から見えたのでね。寂しがりやなマホが一人で泣いているのではと気になって、それで様子を見に来たというわけさ
真帆,何ですかそれ。どうして私が泣いているなんて──
レス,またまーた。分かっているんだよ？仲良しの紅莉栖がいないだもの、仕方がないね
真帆,は？
レス,隠さなくても大丈夫だよ。マホはここ最近ずっと寂しそうにしていたじゃないか。原因は紅莉栖がまた日本へ遊びに行ってしまったからからなのだろう？
真帆,は……はぁ！？何ですかそれっ！？
レス,Hahaha！立派な目くじらが立っているね。ズバリ、図星だったかな？
真帆,そんなワケありません！。っていうかシカトとかズバリとか、どこでそんな日本語覚えてくるのよ、まったく
レス,別に恥ずかしがるような事ではないだろう？君たちはまるで姉妹のように仲がいいからね。この研究室で“くんずほぐれづ”している様を観ていると、私たちの心も癒されるというものさ
真帆,くんでないし、ほぐれてもいません！っていうか、言葉の使い方が間違ってますから！
レス,おや、そうだったかい？Hum。まあ、意図は伝わっているようだから、構わないだろう
真帆,いや、構ってくださいよそこは
レス,さて、それでだマホ。結局のところ、昨日の件について今のところ、どこまで分かっているんだい？
真帆,……いきなり話題を変えてくるわね。ええと、それは……
レス,てこずっているようだけど、それでもマホの事だ。何かしらの仮説くらいは既に考えているのだろう？
真帆,……いえそれが、残念ながら
レス,おや、そうなのかい？
真帆,はい。ただ……
レス,ただ？
真帆,ログを見ている限りだと、特に技術的・機械的なトラブルがあったようにも思えなくて
レス,Hou……
真帆,どうして昨日抽出しなおしたデータだけが、予想した値を遥かに越えてきたのか。前回、前々回の抽出ログとも比較検証してはみたんですけど、これといった原因にも思い至らなくて
レス,……そうか。まあ、昨日の今日なのだし、それも仕方がないだろう
真帆,…………。ちなみにですけど、記憶データの肥大に関する一件、教授ならどう考えます？
レス,Hum。私に訊いてしまって良いのかい？
真帆,う……
レス,それは、マホ。その記憶データは他ならぬ君自身から取り出したものだ。そこに見られた不可解な現象に対する解を、私に委ねてしまっても良いのかい？
真帆,そ、それは……。………。……。…いやです
レス,Hahaha。マホは素直だね
マホ,むう……
レス,おやおや、そんな顔をしないでおくれ、マホ。別に君を嗜めようとしたわけではないのだからね
