・主人公は,有里湊
幾月,…と、いうわけだ。すまないけど、よろしく頼むよ
美鶴,気は進みませんが、決定事項なのですよね？
幾月,うん、まあそうなんだよね、決定事項だから、蹴ってもらっちゃ困るんだよね！
美鶴,…わかりました。それでは皆には私から説明を。失礼します
幾月,あれ？気づかなかったかな？決定、蹴ってー…
桐条,…ということだ。すまないが、よろしく頼ｍ
ゆかり,ハァ～！？無理無理ムリムリ！ダンスの特訓しろって、なんですか藪から棒に！
風花,まあまあ、ゆかりちゃんも、それから真田先輩も落ち着いてください。桐条先輩だって、思いつきでってわけじゃないんですよね？
美鶴,ああ、その通りだ
湊,上からの指示、ですよね
ゆかり,え、上っていうと、まさか…
明彦,幾月さんか？
湊,アトラス上層部からの直々のおっ達しってところじゃないですか？
順平,ちょ、ちょっと待てよ。アトラスが？俺たちはロープレ班なわけ。な？それがダンスだぜ？おかしいだろ
湊,P3FESでは、終業式以降の話もやってたね
順平,お前、あれは大変だったもんな
ゆかり,さらに、携帯型ゲームに移植したときはハム子まで登場して、とうとう湊くんの出ないルートまで出来ちゃったよね
風花,P4U2、私だけシャドウキャラがいなかったような…
アイギス,私は、ラビリスに会えてよかったです
桐条,更にはPQだ。まさかナンバリングタイトル間でクロスオーバーとはな
順平,時間軸がもうオレっちお手上げ侍だったぜ
風花,ごーこんきっさは、ちょっと恥ずかしかったですね
ゆかり,まあギリ、PQまでは我慢するけどダンスって一体何なのって話じゃない？
明彦,そのとおりだ。なんで探索でもバトルでもなく、ダンスなんだ？美鶴、説明してくれ
乾,そうですよ、戦うとか探検する、とかなら僕たちもまあ頑張りますよ？でもなんでダンスなんです？
美鶴,実は、さっき説明した以上のことは、私もよくわかってはいなくてな、すまない。それは…
湊,ああ
美鶴,何か知っているのか？
湊,元凶は、P4ですよ
乾,P4って、鳴上さんたちですか？
順平,いやいや、アイツら確かにリア充っぷりが凄かったけど、ダンス部なんていなかったよな？
ゆかり,まあ、りせちーがアイドルだから一応ダンスできるんだろうけど、それが何だっていうの？
湊,P4でダンスゲームが出たんだよ。通称、P4Dと呼ばれてる
明彦,おい、ちょっと待て。アイツらだって俺たちと同じ、シャドウと戦うっていう役割のキャラだろう？
美鶴,そうだった筈だ。彼らがダンスといっても、なんの脈絡も感じないのだが
湊,僕も最初は驚きましたよ。しかし、実際ゲームは発売され、そこそこの評判だったようなんです
風花,P4Dって、もしかしてDはダンスのD？
湊,ああ、そうだよ。"ペルソナ4ダンシング・オールナイト"が正式名称だ。そのゲームは、本筋の話のしばらく後という世界らしいんだけど、バトルの代わりに"上手に踊る"ことで倒せるシャドウがいるらしい
乾,え、踊ったらシャドウが死ぬんですか？
湊,死ぬ、のかどうかはよくわからないんだけど、とにかくダンスで攻略しているらしいんだ
順平,マジか…なんだその世界観
風花,ムド的な、呪術的な踊りとかじゃないんだよね？
