学園都市を舞台にして平成二期ライダー,本編の都合上鎧武を除く
超電磁砲,佐天さん
フォーゼ：本編終了後,晴人と5年後の約束済み
映司,学園都市ってあのめちゃくちゃ科学が進んでるっていう《あの》学園都市ですか？
フィリップ,ああ、《その》学園都市だよ
映司,それなら、この通り聞いたことはありますね
フィリップ,……そうだな、ひとまず君には見てもらった方が早そうだ
映司,これはコアメダル！？
フィリップ,そう、タカ…トラ…バッタのコアメダル。君に一番馴染み深いものだね
映司,でもこれは……
フィリップ,そう、レプリカさ。さすがだね
映司,でも何でこんなものが……？
フィリップ,キーワードは《錬金術》《凄まじい科学力》そして……
映司,学園都市？
フィリップ,ああ、そしてレプリカが製造されているのはコアメダルだけじゃない。T2ガイアメモリ、そしてゾディアーツスイッチも存在が確認されているんだ
映司,そんな…！？学園都市には大勢の子ども達が！
フィリップ,ああ、そうさ。だから、だからこそなんだ火野映司……レプリカとはいえそれだけの戦力と相対するにはあまりにも手が足りない。助けが必要だ
映司,そういうことならもちろん手伝わせて……って、あ～！でも今俺ベルトもメダルも鴻上さんに預けて……
フィリップ,いいんだ、そもそも鴻上という男は信用できない
映司,え？確かに怪しい人ではあると思いますけど
フィリップ,彼は悪人ではないが善人でもない、良くも悪くも欲望に忠実だ。コアメダル複製技術に興味を示したとすれば、いくらでも協力しそうなものだけどね
映司,あー……
フィリップ,それに、あるじゃないかメダルも……ドライバーも
映司,さっすが探偵さん！手が早い！
翔太郎,ちょっと待てーッ！それじゃあ探偵が盗っ人みたいじゃねーか！
映司,ああ！ごめんなさい！……というか
翔太郎,あん？
映司,いたんですね
翔太郎,ハハハ……この野郎！
映司,ごめんなさい！ごめんなさい！
フィリップ,危険だが、これだけのモノを製造する技術、あの街の超能力者たち……あ～ゾクゾクするねえ
小萌,というわけで、特別学校交流でこの学校にやって来た如月弦太朗ちゃんなのです
弦太朗,俺は如月弦太朗！学園都市の生徒全員と友達になる男だ！よろしくな！
土御門,なんだアレ……ヤンキーかにゃー？
青ピ,いやいや人のこと言われへんでしょ
上条,不幸……じゃない？
小萌,ではでは如月ちゃんは上条ちゃんの後ろの席なのです
弦太朗,オッス！。短い間だけどよろしくな！え～っと……
上条,ああ、上条当麻だ
弦太朗,当麻か！よろしく
上条,おう、よろしく。え？
弦太朗,おわ！リーゼントが崩れた！？
上条,ファッ！？
青ピ,あらヤダイケメン
土御門,髪型って大事なんだにゃー……
［第七学区-某警備員,アンチスキル
照井,風都警察署超常犯罪捜査課より本時付で派遣された照井竜だ
後藤,同じく、武蔵野警察署超常犯罪捜査課より本時付で派遣された後藤慎太郎だ
黄泉川,あーはいはい話は聞いてるじゃん。あたしは黄泉川愛穂、まあよろしくじゃん
照井,こちらの状況は理解している。俺たちはアンチスキルとして活動しつつ学園都市での怪人事件の調査を行なうことになっている。そして、この期間中に見た学園都市のことは口外してはならない
黄泉川,説明が省けて幸いじゃん。ただ一応アンチスキルは教師しかなれないことになっているから、その辺りにも配慮はお願いしたいじゃん
後藤,任せてくれ
黄泉川,まあ、やってることは超能力者がいる以外はだいたい警察と同じじゃん。基本的に相手は学生と……
警備員A,はーい不審者一丁入りまーす！オラ！
？？？,痛ぇ～！何だよ蹴ることないだろ！それに俺は不審者じゃねえ！考古学の特別講師としてだな～。だ～か～ら～！俺はちゃんとパス持ってんの！医者としてここの偉～いお医者さんに呼ばれて来てるんだって！
警備員A,お前らのような学者や医者がいてたまるか！
黄泉川,ああいう感じにたまー紛れ込む不審者じゃん
照井,…………
後藤,…………
？？？,あっ、後藤ちゃん！ちょーどいいところにいるじゃない！ほらほら説明してよ俺が変質者じゃないってことを……ってなんでここに！？
後藤,それはこっちのセリフですよ伊達さん……
黄泉川,知り合いじゃん？
後藤,はい、これでも本当に医者です。ここにいる理由は知りませんが
？？？,おいおいおい！おっさんズリーぞそんなコネ使うなんて！一緒におでん食った仲じゃねえか
黄泉川,こっちは？
照井,そいつは仁藤攻介……先日風都の河川敷にテントを広げていたので職務質問、テントの中に中学生ほどの少年がいたため誘拐の容疑などで署まで同行願った……と記憶している
黄泉川,……もうめんどくさいから両方逮捕じゃん！
