上原ひまり,ん～みんなまだかな～
ひまり,リーダーを待たせるとは……。まったく、リーダーに対する敬意が足りないよ！。久しぶりだね！つぐ！
羽沢つぐみ,久しぶり！あれ？みんなまだ着いてなかったんだ
ひまり,モカが遅刻して蘭と一緒に来るって、あと巴は電車寝過ごしたみたい……
つぐみ,あはは……。巴ちゃんらしいや
ひまり,つぐは彼氏とかできたの～？
つぐみ,えっえええええ！？いやいや、か、彼氏なんてまだ早いよ……。そ、そういうひまりちゃんこそモテるでしょ！
ひまり,私、女子大、出会い、ない、アンダスタン？
つぐみ,あ、あんだすたん……
うん、ナンパとかされることはあるんだけど,いや？巴のほうが男らしくない？
つぐみ,たしかに、巴ちゃんそこらの男の人よりも男らしいかも……
宇田川巴,いや～、悪い悪い。起きたら五駅先に行っててさぁ
つぐみ,あはは、お疲れ様です
ひまり,あとは蘭とモカ待ちだね！。巴、髪切ったね！中学のときくらい短いじゃん！
巴,ああ、イメチェンってやつだ
つぐみ,似合ってるよ！
巴,サンキュ！つぐもだいぶ髪伸びたじゃないか
つぐみ,ふふっ、イメチェンってやつかな
巴,二人とも大学はどうだ？
ひまり,けっこう忙しいかな。楽しいけどね！
つぐみ,ひまりちゃんはたしか服飾関係の専門だよね？
ひまり,つぐは調理師専門学校だよね？
つぐみ,いずれは実家を継ぎたくて……。そのためには基礎の技術が必要かなって！
巴,へぇ～。頑張ってるな！
ひまり,巴は？
巴,アタシは体育教師になりたくてな。大変だけどやりがいはあるぞ
つぐみ,巴ちゃんなら絶対いい先生になれるよ！
ひまり,巴は面倒見いいからね。生徒からすごい人気集めそうだよ！
巴,二人とも気が早いなぁ。……でも、ありがとな。おかげでやる気もっとでた！
モカ,だから先に行っててもいいよって言ったのに～
蘭,結局待つことになるんだから同じじゃん
モカ,そうかぁ、モカちゃんと一緒に行きたかったんだね～
蘭,違うから
ひまり,―――とりあえず座って座って！
巴,とりあえずドリンク頼むか！すいませーん！！
つぐみ,と、巴ちゃん呼び出しボタンあるよ……
巴,はは、こっちのほうが早いだろ？
モカ,さすがトモちんだね～
蘭,まったく……。変わってないね……
全員,とりあえず生で！
モカ,いや～やっぱこれだね～
つぐみ,最初は苦くて全然飲めなかったけど……
巴,いつの間にか、うまく感じるときがくるんだよな！
蘭,まるでおっさんだね。まあわかるけど
ひまり,まあまあ、たまにはいいじゃん！
つぐみ,ありがとうございます。はい！みんな回して！
巴,……おし、いきわたったな
モカ,じゃあ乾杯の音頭を～
ひまり,我らがボーカル様！
蘭,いや、我らがリーダー様……でしょ？
つぐみ,うんっ！そうだね！
巴,頼むぜリーダー
モカ,この役目を果たせるのはひーちゃんしかいない……！
ひまり,では僭越ながら……。え～私たちの再会を祝して……。えい、えい、お～！
ひまり以外,……
巴,乾杯！！！
モカ蘭つぐみ,かんぱーい！
ひまり,なんで～！？
モカ,いや～、ねぇ？
蘭,様式美ってやつでしょ
巴,逆にこれがないと始まらないんだよなぁ
ひまり,ひどっ！？ね、ねぇつぐ……？
つぐみ,ひまりちゃん！この塩もつ煮おいしいよ！
ひまり,つぐですら！！！もぐっ……おいしいけれども！。ごくっ……ぷは～！もういっぱい追加で！
巴,おいおい、大丈夫かよそんな飛ばして……
ひまり,だいじょうぶだいっ！
モカ,これはだめだね～
蘭,はあ、弱いのに調子乗るから……
つぐみ,あはは……、お水頼んどくね
ひまり,ねえねえ、聞いてよ～ともえ～
巴,はいはいなんだ？
ひまり,――好きって言ってたじゃん！！！なのに……！店員さん、焼酎ロックで！！
巴,そうだな、つらいな
つぐみ,モカちゃんはお酒強いよね
モカ,ん～？そうかな～
蘭,モカ、それ何合目？
モカ,さあ～？蘭も飲んでみる～？
蘭,いい
つぐみ,大人の味ってかんじだよね！
モカ,お二人さんまだまだお子様ですな～
蘭,……べつに飲めないんじゃなくて飲まないだけだし。全然余裕
モカ,あらら、なくなちゃった。すみませ～ん。追加で～
つぐみ,そういえば、蘭ちゃんはみんな知ってるけど、モカちゃんは今なに勉強してるの？
モカ,あたしはマーケティングだよ～。パンの商品開発とかやりたいからね～
つぐみ,そうなんだ！モカちゃんパン好きだったもんね！
蘭,もか～おさけなくなったよ～
モカ,え、まさかさっき頼んだ日本酒もう飲んだ？
蘭,ふふっ、あはは！たりない！たりない！
モカ,あちゃ～。出来上がっちゃたねぇ……
蘭,もか！きいてんの！？
つぐみ,ら、蘭ちゃんお水飲もっか？
蘭,ん～？つぐグラスあいてるじゃん。のもう！のもう！
つぐみ,くっ、くふふふっ、あははは！！楽しい～！！
蘭,あはは！つぐみいいねぇ！
つぐみ,モカちゃん楽しめてるっ！？はい！どうぞ！
モカ,あ～はい……。いただきます……
つぐみ,生追加で！
巴,あっちゃ～。つぐりモードはいっちゃったか
モカ,トモちん解放されたの？……あっ、ひーちゃん寝てるね～
巴,蘭もやばそうだな
蘭,れんれんやばくないしっ！よゆうらからっ！
巴,呂律回ってないぞ
