氷川紗夜,はぁ……
湊友希那,あら、紗夜？
紗夜,湊さん……こんにちは
友希那,ええ、こんにちは。どうしたの？まだスタジオ練習まで１時間くらいあるわよ？
紗夜,そういう湊さんこそ、随分と早くないでしょうか
友希那,私は少しやることがあったのよ
紗夜,……そうですか
友希那,何か悩みごとかしら？
紗夜,そう見えますか？
友希那,ええ。こんな天気のいい日にため息を吐いていたら誰だってそう思うわ
紗夜,…………
友希那,対面の席、座るわね
紗夜,やることがあるのではないんですか？
友希那,別に、いつでも片付けられる用事よ。それよりも今は紗夜のことが気になるもの。話を聞くくらいなら、私だっていつでも出来るわよ
紗夜,そう、ですね……1人で悩んでいても仕方のないことですし、少し話に付き合ってください
友希那,ええ
紗夜,……湊さん、今の私のギターはどう聞こえますか？
友希那,紗夜のギター？
紗夜,はい
友希那,そうね……いつも通り正確で頼もしい音、ね
紗夜,……やはりそうですか
友希那,……それが紗夜の悩み？
紗夜,はい。自分の音に誇りを持つと誓ってから、色々と考えてギターを弾いてはいるのですが……最近はどう弾いても何も変わり映えがしない、という印象が拭えないんです。もちろんあの秋の頃のように悩みすぎて自分を見失うということはありませんが、今よりも上を目指すためには何かが足りないような気がしてしまって……。引っ込み思案な白金さんも、自分自身を変えようと色々な部活に体験入部していました。そして、それをきっかけに自分からピアノのコンクールに出場すると決意をしています。……それに比べて私は新しいことにも挑戦せず、ただ足踏みをしているだけなのではないか、と。だからいつまでも何も変わらないのではないか……そんな風に考えてしまうんです
友希那,なるほどね……
紗夜,悩みだしたらキリがないことは分かってはいるんです。ただ私はこういう性分ですから、一度考えてしまうとそれが気になってしまって……。今日も早くここへ来たのは、そういった考えを整理しようと思ってのことなんですが……考えれば考えるほど深みに嵌まってしまっている状況、といったところなんです
友希那,……分かったわ。それじゃあ、こうしてみるのはどうかしら
紗夜,え？
友希那,一度、ロゼリア以外の人とバンドを組んで演奏をしてみましょう
紗夜,他のバンドと、ですか？
友希那,ええ。あなたは実感がないのかもしれないけど、私は紗夜のギターは少しずつ良い方へ変わってきていると思うわ。それでも紗夜自身が何も変わり映えしないように感じるのなら、いっそ周りの環境を変えてみればいいのよ。ロゼリアにはロゼリアの音楽がある。当然、他のバンドにも他のバンドの音楽がある。その中に少し身を置いて演奏をしてみれば、きっとその紗夜の悩みも良い方向に改善できると思うわ
紗夜,……そうでしょうか
友希那,私はそう思うわ。幸い直近で大きなライブも控えていない。今はロゼリアだけに集中をしていなくても大丈夫なんだし、これも良い機会じゃないかしら。あなたの学校にもガルパに参加したバンドのメンバーが沢山いるでしょう？彼女たちはみんないい子だし、快く協力をしてくれると思うわよ
紗夜,…………。そうですね。いつまでも考えてばかりいるだけでは何も変わりませんし……それがいいかもしれませんね
友希那,ええ。いつもとは違う環境でギターを弾くのはきっといい刺激にもなるわ
紗夜,ありがとうございます、湊さん。早速明日から知った顔に声をかけてみます
友希那,これくらい仲間のためなら当然の行動よ。紗夜のギターにどんな変化が起こるのか楽しみにしてるわね
紗夜,はい、期待を裏切らないように精進します。湊さんからアドバイスは貰ったものの……誰に声をかけようかしら。風紀委員の仕事として、校門で登校してくる生徒たちの服装チェックを行いながら、脳裏に知り合いの顔を思い浮かべてみる。暦は４月。春休みも終わり、私は３年生になっていた。入ってきたばかりの新入生には顔見知りはいない。１つ年下の２年生にはポッピンパーティーの５人。それとハローハッピーワールドの弦巻さん、奥沢さん、北沢さん、パステルパレットの若宮さん。私と同い年では、松原さん、丸山さん、白鷺さん……白金さんは今回の趣旨からは外れるわね。この中のギター以外の人間に話を持ちかけるのだけれど……普段、あまり接点のない人ばかりだ。どうしたものかしら……
北沢はぐみ,おはよーございまーす！
松原花音,おはようございます
紗夜,はい。おはようございます、北沢さん、松原さん。……北沢さん、元気な挨拶は結構ですが、制服はどうしたんですか？
はぐみ,バッグの中に入ってるよ～！
