池袋晶葉,……ふぅ
安部菜々,お疲れさまです晶葉ちゃん！
晶葉,おお、菜々か、お疲れ様
菜々,い、いよいよ、完成……なんですよね？
晶葉,ああ、ちょうどインストールの準備が整ったところだ
菜々,そこの……おっきい繭みたいな形の入れ物が？
晶葉,そうだ。蓋は見てのとおりガラスだから、中の本体を見ることは出来るぞ？開けるのはやめてほしいが
菜々,だ、大丈夫ですよね？いきなり襲ってきたりとか
晶葉,ははは、大丈夫だ。まだその段階ではただのリアルな人形にすぎないからな
菜々,そ、そうなんですか？こ、こんにちは～
晶葉,だから、そんなに警戒して覗き込まなくても
菜々,こ、これはカワイイですね……！！！
晶葉,……設計段階のイメージは見てるだろう？
菜々,そ、そうですけど、やっぱりこう……立体だと違うなあと……
晶葉,まあ、アイドルになるんだから、驚くほどカワイイくらいがちょうどいいか
菜々,けっこう小柄なんですね？
晶葉,その辺の数値も定義書に書いてあったろう……？1.4メートルになっている
菜々,へぇ～、ナナよりちっちゃい……
晶葉,そういえば、プロデューサーはいないのか？
菜々,いえ、晶葉の集中を乱すのもよくないから、ここで待っていますって。部屋にいます
晶葉,まったく、その程度ではこの天才の腕は揺るがないんだがな
菜々,まあ、アイドル部門の命運が懸かってますし……。プロデューサーさんもちょっと心配になってるだけですよ
晶葉,そのわりに菜々が来るのは止めなかったんだな
菜々,も、もしかしてナナ、お邪魔だったり……？
晶葉,まさか。言ったばかりだろう？その程度は問題にならないさ
菜々,よかったです……。そうだ、名前は決めてるんですか？
晶葉,ああ、もちろん。このアンドロイドは、その圧倒的な歌、ダンス、ヴィジュアルで、今までの全てのアイドルを否定する！
菜々,ふむふむ
晶葉,よって、コードネーム：否イナ
菜々,……
晶葉,……ん？
菜々,……晶葉ちゃん
晶葉,ど、どうした？
菜々,かわいくないです！
晶葉,……ええっ！？
菜々,そんな名前の女の子がいますか！？"イナちゃん"って響きはまだギリギリいいとしても、漢字が後ろ向きすぎます！
晶葉,だ、だが……
菜々,かわいそうですよ！そんな名前じゃ！
晶葉,むぅ……そうか……
菜々,はい！
晶葉,じ、じゃあ、菜々ならどうする？
菜々,へ？
晶葉,"へ？"じゃないだろう。私は……その……認めたくないが、ネーミングセンスというものに欠けるようだし……
菜々,え、えーっと……
晶葉,ほら、何か案はないか？
菜々,ち、ちょっと待ってください！ウサミン星からネーミングセンスをダウンロードしてますので！
晶葉,そういうのはいい
菜々,そ、そういうの……。じ、じゃあ、こうしましょう！
晶葉,？
菜々,"否"って漢字の、上をちょっと出すんです！こうすれば……
晶葉,えーと、"杏"か……！あんず、あんず……
菜々,ど、どうでしょう……？
晶葉,ああ、いいと思うぞ。それでいこう！
菜々,よかったです……！あ、プロデューサーさんにも聞いてきましょうか？
晶葉,いや、別に大丈夫だろう。"2人で決めたなら"ってなるのがオチさ
菜々,た、確かにそうですね……
晶葉,では、ネーミングのコンフィグを書き換えて……
菜々,おお、そんなにすぐ変えられるんですね？
晶葉,もちろんだ。名前や出身地、趣味や好物などはコンフィグファイルから読み取る設定になっている。いちいちモジュール内をいじるのは面倒だからな。直前の仕様変更にも対応できるよう、変わりそうな値は変数にしておいて、実際の値は外部ファイルから読み取るのが一般的……
菜々,Zzz……
晶葉,……私が悪かったよ
菜々,……はっ！。ちなみに出身地はどこにしたんですか？
晶葉,北海道だ
菜々,どうして北海道なんですか？
晶葉,ダーツが刺さったから
菜々,雑ぅ……
晶葉,そんなところに時間を使うのも、勿体無いだろう？
菜々,そうですかね……？あ、苗字は？
