冷泉麻子,そんなことの相談に、わざわざ来たのか
五十鈴華,サンダース大学附属高校って確か、長崎の佐世保が母港でしたわよね
秋山優花里,しかも……C-5ギャラクシーで来るとは
アリサ,あ、あれしか空いてなかったのよ
武部沙織,でもでも、それって私を頼ってきてくれたわけでしょ？
アリサ,え？
沙織,この女子力５３００００を誇る愛され系通信士の私に、相談しにきたんでしょ？
アリサ,まあ……なんというか、あなたというか、誰というか、とにかく誰かに相談したくて……
沙織,うんうん。とにかくそういう時に私たちの事が思い浮かんで来てくれたってことは、やっぱり私の女子力がそうさせちゃってるのかなー。やだもー
華,まあ、そういう考え方もありますわね
麻子,頼りにされて悪い気はしない
優花里,とにかく！同じ戦車道を嗜む者同士、大歓迎であります！
アリサ,あ、ありがとう……
麻子,それにしても、歓迎はするがまず同じ学校の仲間に相談しても良かったんじゃないのか
華,それもそうですわね。ケイさんとか、ナオミさんとか
アリサ,……したわよ
優花里,それで！どうだったんでありますか？
アリサ,それが……。隊長、ちょっとよろしいです……あ、電話中でしたか
ケイ,あ、じゃあ今夜６時ね。わかった、じゃあ……ゴメンね。それで？
アリサ,今の電話……
ケイ,ああ、クラスの男子からディナーに誘われてね
アリサ,まさか、彼氏！？
ケイ,えー？まさかー、違うわよ。まあステディの候補の１人に入れてあげてもいいかも知れないけどー……ま、それは今夜のディナー次第ね
アリサ,その候補って、何人ぐらいいるの？
ケイ,え？えっとねー……ちょっとわかんないかな
アリサ,え？
ケイ,１０人から先は、数えるのやめちゃったから。それで？
アリサ,あ……その……告白ってどういう風にしたら……
ケイ,告白？男の子に？さあねー。私、誘われることはあっても誘ったことってないから
アリサ,……みたいですね。相談以前に、何かに負けた気がして
みほ,ケイさん、美人ですもんね
沙織,スタイルもいいしねー
優花里,性格も、とっても大らかで優しいんですよ。偵察に行った自分を、咎めなかったり
麻子,確かに勝てない
アリサ,わ、わかってるわよ、そんなこと！
華,ではナオミさんは？
アリサ,当然、聞いたわよ……。ナオミ、ちょっと聞きたいんだけど
ナオミ,なに？
アリサ,その……す、好きな相手に気持ちを伝えるって、どうすればいいと思う？
ナオミ,……
アリサ,あ、あの
ナオミ,まず相手をよく見るんだ
アリサ,え、う、うん
ナオミ,よく狙え
アリサ,う、うんうん。それで？
ナオミ,引き金をひく
アリサ,え？
ナオミ,相手は陥落する
アリサ,あのねえ！砲撃の話じゃなくて……
ナオミ,告白も同じだ
アリサ,へ？
ナオミ,グッドラック
アリサ,どーして普段からモテる娘って、説明まで上級者向けなのよおおお！！！
優花里,沙織さん、どうです？今のアドバイスから、何かわかります？
沙織,え？あははははー。わ、私は通信士だからー……
華,わたくしは砲撃手ですが、わかったようなわからないような
優花里,私もまったく意味不明。まるでエニグマかパープルであります！
麻子,参考にならない
アリサ,そ、それであなた達的にはどうなのよ。告白って、どういう風にすれば……
みほ,あの、アリサさん
アリサ,？なに？
みほ,その、せっかく来てもらって、しかも頼られて、すごく言いにくいんですけど
アリサ,なんなのよ？
みほ,私たちの学校の名前……ご存じですよね？
アリサ,？もちろん知ってるわよ。大洗女子学……あ
華,あら
麻子,そうだった
優花里,いやー、これは盲点でしたね
沙織,どうしたの？
アリサ,まさか……まさか、まさか！
みほ,ここ、女子校なんです
沙織,あ
アリサ,ガッデエエエェェェム！！！
麻子,他校のアリサはともかく、沙織も気づいてなかったのにはあきれた
沙織,な、なによ。ちょっとウッカリしてただけよ
華,ともかく、普段あまりこちらから男の方に接する機会のない私たちからできるアドバイスなど無いと思うのですが
沙織,言い寄ってくる男の人とかは、あると思うんだけど
みほ,ごめんなさい。アリサさん
優花里,せっかく来ていただいたのに
アリサ,いいのよ。じゃあ、帰るわね
？,待ったーーー！！！
西住まほ,みほと仲間の危機と聞いて、やって来た
みほ,お姉ちゃん！
華,まほさんの学校って、どこでしたっけ
沙織,みぽりんの実家だから……熊本？
麻子,わざわざ来たのか。しかも戦車で
優花里,うるわしい姉妹愛ですね！私、一人っ子だからうらやましいです！
まほ,詳しい事情は不明だが、なんでも力になるぞ
麻子,おー
優花里,頼もしいであります
華,さすが西住流次期師範
沙織,私も相談しちゃおうかな
アリサ,実は、私の悩みの相談を聞いてもらってて
まほ,ほう。悩みというと、キューポラを狙う上での角度か？ラムアタック時の衝撃排除か？それとも避弾経始……
アリサ,好きな男の子に告白って、どうすればいいのか
まほ,……なに？
麻子,好きな相手への告白だ
まほ,……
華,？
まほ,……
優花里,？
まほ,……
沙織,？
まほ,……////
アリサ,え？なに？ちょっと、どういうこと？
みほ,その、せっかくお姉ちゃんにまで来てもらって、すごく言いにくいんですけど
アリサ,なんなのよ？
みほ,お姉ちゃんの学校の名前……ご存じですよね？
アリサ,？もちろん知ってるわよ。黒森峰女学……あ
華,あら
麻子,そうだった
優花里,いやー、これは盲点でしたね
沙織,今度は私もわかった！
アリサ,まさか……まさか、まさか！
みほ,お姉ちゃんも、女子校なんです
ありさ,サノバビイイイィィィッッッチ！！！
まほ,ま、待て。私だって、小次郎からは慕われている。私が学園から帰れば、常に私の側にいてくれている
沙織,みぽりん。こじろうって誰？お姉さんのかれぴっぴ？
みほ,いえ。あの……ウチで飼ってる犬の名前で……
麻子,犬か
優花里,ちょっと参考にはできなさそうですね
