初代ゴジラ,集ったな我が盟友達よ
二代目ゴジラ,初代の願いとあっては仕方ないもんなあ
四代目ゴジラ,こうして集まるのも久々だな
GMKゴジラ,先輩方に会えて嬉しいですよホント
FWゴジラ,それで、一体どういうご用件ですか？
初ゴジ,まあ各世代からこうして集まってもらったわけだが...
GMK,2000世代はちょっと個体が多すぎますんで、僕とFWが代表して出席しました
二ゴジ,まあ出来るなら全員集合した方が賑やかだけどなあ
四ゴジ,会議の円滑化のためなら致し方ないでしょう。...レジェゴジ達が見当たらないですが
FW,あ、アメリカから直接来るそうなので少し遅刻するようです
初ゴジ,うむ、ならば一足早いが本題に入ろう。実は知っての通り、我らゴジラファミリーに新たなゴジラを招き入れることになった
四ゴジ,シン・ゴジラとかいう作品に登場しているらしいゴジラのことですね...
二ゴジ,そのシン・ゴジラとかいう作品、なかなか好評と聞くなあ。どんな奴なんだろう
FW,現代で好評だった兄弟ですか...確かにどんな奴か、気になりますね
GMK,何せ原点回帰であったとか。初代さんのような方なのでしょうか
初ゴジ,まあ何にしても、我らは先代としてそのシンゴジくんとやらを盛大に歓迎してやるのが良いだろう
FW,歓迎パーティーということですね
GMK,なるほど、怪獣王として盛大になものにしなくてはなりませんね！
FW,いやしかしどんな方なんでしょうね、シンゴジさんは！
四ゴジ,さあな。しかし評価が高いということはある程度万人受けするということだろう。ある程度万人受けするということは...そうだな、少なくともイケメンということだな
GMK,イケメンですか...
四ゴジ,ああ。世の中皆イケメンが好きなんだ。きっと今回のゴジラは格好良いゴジラなんだろう
FW,...あれ？容姿の万人受けと作品の万人受けは別じゃないのか？
二ゴジ,ケーキのベースどうします？
初ゴジ,うむ、今までのことを考えるととりあえずマグロに放射能ぶっかけるか鯨に放射能ぶっかけるかで大丈夫だろう
二ゴジ,最悪マグロと鯨が駄目でも放射能でなんとかなりますよね
初ゴジ,まあ、レジェゴジくんもそれで何とかなったしな
二ゴジ,じゃあそれで...ちゃちゃっと調理してしまいましょう
初ゴジ,うむ。よし、こんなところだろう
四ゴジ,なかなかの出来なんじゃないでしょうか。会場もケーキも
二ゴジ,これならばきっと新人君も喜んでくれるだろう
GMK,クラッカーブラスト・ボム
FW,予定ではそろそろこちらに着くはずですが...
初ゴジ,来た！！。せええええええのおおおおお！！！
ゴジラ一同,ようこそ！！ゴジラファミリーへ！！！！！
シンゴジ,第二形態
ゴジラ一同,...
シンゴジ,第二形態
ゴジラ一同,誰？
シンゴジ,第二形態
初ゴジ,...
二ゴジ,...
四ゴジ,...
GMKゴジ,...
FW,えええええ！！このろくでなしの先輩方俺に押し付ける気かよ！！。...。...あのー
シンゴジ,第二形態
FW,...。何考えてるのか分からねええええええええ
二ゴジ,どう思います？
初ゴジ,うむ。最小はどなたかと思ったが...よく見たらあの背びれ...あれはまさしくゴジラの背びれ、我らファミリーのそれだ。ちょっと...いや僅かに...いや多少...いや半分の二個分くらい違うが彼がシンゴジくんの可能性は高い
二ゴジ,確かに...まさか今作のゴジラがここまで姿が違うとは...
初ゴジ,まさしく、新時代のゴジラということか
GMK,先輩
四ゴジ,なんだ
GMK,どう思いますか？
四ゴジ,どうって...
GMK,今来た彼のことですよ
四ゴジ,...愛嬌のある顔をしている
GMK,本当は？
四ゴジ,何処見てるか分からん、少し気持ち悪い
GMK,ちょっと恐いですよね
四ゴジ,...
FW,あの...
シンゴジ,第二形態。第二形態。第二形態。第二形態
FW,え？何！？何なのこの人！？
シンゴジ,第三形態
FW,...立った
初ゴジ,間違い無い。これで確信した。彼がシンゴジくんだ
四ゴジ,やはりそうでしたか...
二ゴジ,確かに、立って顔つきも少し変わって俺達に似て来た感じがしますね
GNK,ただそれでもなんて言うか...
GMK,ゴジラっぽくないっすね...
シンゴジ,第三形態。第三形態。第二形態
FW,あ、戻った
シンゴジ,第二形態
FW,あ、ちょっと！！
初ゴジ,ああ、言ってしまった...
四ゴジ,お前の一言が余計だったんじゃないか？
GMK,え、マジっすか
二ゴジ,いやもしこのまま戻ってこなかったら歓迎パーティーが台無しなんだけど...。あれ、帰って来た？
シンゴジ,第四形態
四ゴジ,キモいのがそれっぽくなって帰って来た...
初ゴジ,これは驚いた、成長なのか？
二ゴジ,いやこれは...進化？
初ゴジ,なるほど、つまり今回のゴジラは今までのゴジラに無かった進化の能力が含まれていると
シンゴジ,...！！
二ゴジ,まさしく新ゴジラだなあ
四ゴジ,そう考えると今作のゴジラは思い切ったことをしてるな
GMK,そうですねえ、ある意味では挑戦でもあったんでしょうか
FW,進化ということはここからより俺らのようになる可能性もあるし、そうじゃない可能性もあるってことですね
初ゴジ,ふむ、それは実に面白そうだな。死にさえしなければ学習し己を変化させることが出来る。どんな形であれ学び続けることが出来る。これは生物として最高の能力だな
シンゴジ,...！
二ゴジ,己の骨格さえも変えることが出来るのは心強いな
四ゴジ,つまりは羽を生やしたりして飛べるってことですかね。良いなあ、俺飛びたかったんですよ。俺の敵やたらと飛ぶ奴が多くて...
二ゴジ,...一緒に飛ぼうか
四ゴジ,先輩の飛び方はいいです
シンゴジ,...！！
四ゴジ,何？今は飛べないが対空能力には自身がある？
FW,おっ？俺のライバルですかあ？
GMK,歴代の中でも屈指の対空能力だからなお前は
FW,先輩として負けはしませんよ負けは！！
初ゴジ,...どちらにせよ、俺達の時に比べとんでもないスペックだよなあ
二ゴジ,時代が違いますからね
初ゴジ,あっ！そういえばケーキがあるんだった
二ゴジ,そうそう、これこれ。どうぞ召し上がってくれ
シンゴジ,...
四ゴジ,なに、いらない？
FW,水と空気でなんとかなってる？
GMK,これまたとんでもない能力を...
四ゴジ,こりゃあ生物なんて代物じゃないな
初ゴジ,なるほど。シン・ゴジラのシンとは新・真・神なんて意味があると聞いていたがまさしくその通りだな
二ゴジ,生物を超えた生命体...生物から見たらまさしく神に見えるでしょうね
四ゴジ,作る側としても色々な挑戦と緊張があっただろうな
GMK,新たな何かを作るって勇気のいることですもんね
FW,レジェゴジの後だしプレッシャーはあったでしょうね
初ゴジ,よくもまあ、これだけ思い切ったゴジラを作り上げたもんだ。どんな形であれ、日本がこうしてゴジラネタで騒いでるのが嬉しいよ俺は
二ゴジ,ここまで騒がれたのはいつぶりでしょうね
GMK,もともとゴジラファンじゃない人でもゴジラに興味を持ってくれるならこれより嬉しいことは無いですね
初ゴジ,どうやらお隣さんのガメラも新作が近いようだしな。ゴジラだけでなく怪獣ブームなのかもしれんぞ
FW,怪獣ブーム！俺でシリーズが終わってしまった時はもう来ないかと思っていましたよ
シンゴジ,...
四ゴジ,しかし見れば見るほど万人受けする容姿じゃないよなあ...。この顔で今後コラボ企画とか出来るんだろうか？
初ゴジ,大丈夫じゃないか？
FW,ああでもなんかエヴァコラボでは機龍さんとか見ましたけど、シンゴジさんは見ませんでしたね
シンゴジ,...
GMK,出る！これから出るから！多分出るから！ハム太郎コラボで出るから！！
二ゴジ,それはあかん
初ゴジ,まあ何にしても！こうしてシンゴジくんがゴジラファミリーとして今後名乗っていくこととなるんだ。歴代ゴジラ図鑑なんてものがあったら、そこに載るわけだからな
シンゴジ,...
初ゴジ,怪獣王ゴジラの名を継ぐ者として、今後胸を張って活躍してくれよ
二ゴジ,その通り。仮令いかなるコラボでも、いかなるイベントだとしても、俺達は怪獣王としてのプライドと威厳を持ってやって来た
四ゴジ,お前も今後ゴジラとしてしっかり活躍してくれよ
シンゴジ,...！！
レジェゴジ,うわあ、結構遅刻しちゃったなあ...
エメゴジ,この雰囲気じゃ入り辛いデス...
レジェゴジ,あれがシンゴジくんか...身長高いなあ
エメゴジ,胴長な印象を受けマスネ
レジェゴジ,海外産まれの俺達が仲良く出来ますかね、先輩？
エメゴジ,モチのロンデス！なんたって私達はゴジラファミリーなのデスカラ！！。ワタシなんて、ありとあらゆる所でもガンガン叩かれマシタ。ただアニメでの業績や、映画の内容がある程度認められて今こうしてファミリーに身を置いていマス。たとえ誰もが認めなくても、ワタシはゴジラの名を背負っていくことに変わりありまセン。ワタシ自身は、それを重く受け止めるしか無いのデス。そしてそれは彼も同じデス！
レジェゴジ,名前を背負っていかねばならないってことですね
エメゴジ,アナタも知っているように、万人に受けるゴジラ像になることは難しいデス。必ず何かしら叩かれることがあるでショウ。ワタシほどじゃないにしても、彼にもきっとあるでショウ。そんな彼を支えられるのは、歴代の叩かれつつもゴジラを背負って来たワタシ達だけなのデス！
レジェゴジ,先輩...
エメゴジ,もし彼が容姿がゴジラじゃないと叩かれた時、一部の人は言うでショウ、エメゴジよりはマシ...
レジェゴジ,自虐じゃないですか...
エメゴジ,どんなに個人の好みはあっても、彼はもうゴジラなのデス！ゴジラを名乗ってしまったのデス！
レジェゴジ,そうですね...俺もゴジラとして次回作に向けて気合いいれなきゃって思いましたよ
エメゴジ,ゴジラを名乗ってしまったのデス...
レジェゴジ,？
エメゴジ,もうゴジラなのデス...
レジェゴジ,？
エメゴジ,ワタシのように！！！！！
レジェゴジ,...
エメゴジ,まあただアレですネ...
レジェゴジ,あれ？
エメゴジ,シンゴジとやら、何やら最初の見た目が何か風変わりだったリ、熱線を吐く時にパックリ顎が割れたリ...。尻尾から熱線打ったリ、尻尾からワラワラ出て来たリ...。なんと言うか、見た感じやってることがゴジラっぽくは無いデスよネーHAHAHAHA！！
レジェゴジ,...
初ゴジ,...ん？何をこそこそやってる二人とも！さっさと来い！シンゴジくんの歓迎会続けるぞ！！！
