賢者♀,な、なんですって？もう一度言ってください勇者様
勇者♂,僕は、今後レベルアップで得た全てのポイントをＳＴＲ(力
魔法使い♀,初めてのレベルアップで、いきなり何を言い出すの？
戦士♂,確かに、ＳＴＲ重視は重量のある防具も装備できるし攻撃力もあがる。タンク役として理想と言えよう
戦士,しかし勇者よ、ＡＧＩ敏捷性
賢者,戦士さんの言う通りです。どうか考え直してもらえませんか？
勇者,ごめんよ、みんな。でも、これだけは僕の自由にさせてほしいんだ
賢者,理由を聞かせてもらえますか？
勇者,・・・他の人には、黙っていてくれると嬉しいんだけど
戦士,口外しないと約束しよう
魔法使い,絶対に人には言わないわ
賢者,私も約束します
勇者,僕は、魔物が怖いんだ・・・厚い筋肉にでも覆われていないと、とても立ち向かうことなんてできないんだ！
戦士,わかった、いいだろう
魔法使い,勝手に決めないでよ！私は反対！大反対よ！
賢者,魔法使いさん、ひとまず勇者様の希望通りにしてみましょう
魔法使い,まともなのは私だけなの！？うまくいくわけないじゃない！
勇者,うぅ・・・ごめんよ魔法使い
賢者,まあまあ落ち着いてください。実は、ステータス再振り分けのアイテムを一つだけですが持っています。もしＳＴＲ極振りで立ち行かなくなったら、その時は考え直して頂けますか？
勇者,あ、ありがとう賢者さん！
戦士,うむ、俺も勇者のステータスをフォローできるよう努めよう
勇者,戦士くん！
魔法使い,もう、みんなだけずるい！私も、それでいいわよ！
勇者,魔法使いちゃんも！ありがとう！
魔法使い,ま、まあ、幼馴染のよしみよ！
勇者,よし！それじゃあ、魔王討伐の旅を再開しよう！
みんな,おーっ！
魔王,ほお、不思議な像だな。優に6尺6寸は超す巨体ながら、どこか儚げで繊細な表情が兜越しながらみてとれるようだ。それに、その巨躯すら超える太く厚い剣。いや、鉄板と呼んだ方が妙だな。それで？その手土産をもって、命乞いにでも来たのか人間ども
魔法使い,はい？そんなわけないでしょ！私たちは貴方を倒しに来たのよ！
魔王,む、そうであったか。では、その像は何なのだ？
戦士,それは、像ではない魔王。奴こそ人類の希望、女神に選ばれた子、勇者その人だ
魔王,なんだと！？
賢者,我らが救世主は、ＳＴＲ極振り。人の域を超えた一撃を見舞わせて差し上げます！
魔王,・・・馬鹿な男だ、膂力だけで私を倒すつもりか
魔法使い,さて、その軽口もいつまでもつかしら？
勇者,・・・
魔王,ふん、その巨大な剣をよくも軽々と扱えるものだ。しかし、当たらなければどうということはない
戦士,魔王軍四天王最速、神速の風ヴェアヴォルフも同じセリフを言っていたな
魔王,なんだと？
ヴェアヴォルフ,ははは！当たらなければどうということはないわ！
勇者,・・・
ヴェアヴォルフ,しつこい男だのう！無駄だと言っておるだろうが！。いい加減あきらめろ！当たらないと言っておろうが！。な、なんなんだ貴様は！言葉が通じないのか！馬鹿なのか！？。い、一体いつまで続けるつもりだ！。な、なんだこの威力！？かすっただけで指が！俺様の指が！。ひ、ひい！もうやめてくれ！やめてくれええええええ！
魔王,・・・なるほど、当たらなくければどうということはない。逆を言えば、当たれば一撃必殺ということか。ヴェアヴォルフめ、死の恐怖に冷静さを欠いたのであろうな。だがしかし、私が冷静さをかくことなどない。それに、膂力が人の域を超えているのは勇者だけではない。私とて伊達に魔王と呼ばれてはおらぬ。我が一撃、人間如きが耐えられるかな
魔法使い,あら、そんなことを土の四天王ゴレムも言っていたわね
ゴレム,我が一撃、耐えてみろ勇者よ！
勇者,・・・
ゴレム,なっ！？なんて硬さだ！まさか、その鎧！オリハルコンか！？
魔法使い,鋼の鎧よ
ゴレム,馬鹿な！鋼如きが我が一撃を耐えうるじゃと！？
魔法使い,残念ながら、本当に鋼よ。そう、ただの厚さ1尺の鋼の鎧
ゴレム,1尺だと！？そんなもの重すぎて動けるはずが・・・！
魔法使い,動けるのよ、勇者ならね
ゴレム,我が一撃、耐えてみろ勇者よ！
勇者,・・・
ゴレム,なっ！？なんて硬さだ！まさか、その鎧！オリハルコンか！？
魔法使い,鋼の鎧よ
ゴレム,馬鹿な！鋼如きが我が一撃を耐えうるじゃと！？
魔法使い,残念ながら、本当に鋼よ。そう、ただの厚さ1尺の鋼の鎧
ゴレム,厚さ1尺の鎧だと！？そんなもの重すぎて動けるはずが・・・！
魔法使い,動けるのよ、勇者ならね
魔王,ＳＴＲ極振り故に装備可能というわけか・・・なるほど、考えたものだな。だが、我が一撃はゴレムよりも重いぞ！！。・・・あれ？
戦士,重ね着だ
魔王,！？
戦士,今日の勇者は、先日手に入れたオリハルコン製の鎧を下着代わりに着ている
魔王,む、蒸れて気持ち悪いだろうに！
戦士,世界平和のためだ！勇者は、魔物を恐れても蒸れることは恐れない！
魔王,な、ならば魔法だ！それも呪文を聞いた者を発狂させる類の精神干渉魔法なら鎧など意味を持たないだろう！
賢者,残念ですが魔王、水の四天王セイレーンさんも同じことを言っていました
セイレーン,な、ならば魔法よ！あたしの歌声で狂い死になさい！。なんでよ！なんで、あたしの歌声が届かないの！？
戦士,魔法使いの結界に守られているせいで、何を言っているかは聞こえないが言いたいことはわかるぞ水の四天王！
セイレーン,察しが良いわね！？
戦士,鎧と同様に兜も分厚くつくってあるせいで、勇者には誰の声も届いていないのさ！。逆に、勇者が何か言っても俺たちには聞こえないのが難点だがな！
魔王,呆れて物も言えんわ！じゃあなにか、私の声も勇者には一切届いていないのか！？
賢者,そのとおりです
魔王,ああもう！うっとうしい！。わかった！そういうことなら、からめ手で行くとしよう！先ほどから好き放題に私を馬鹿にしている貴様らから相手にしてやる！。仲間が痛めつけられている姿を見れば、勇者も考えを改めるかもしれんな！ははは！。なんだと！？
魔法使い,そういえば、火の四天王もその考えに至っていたわね。実は、わたしＭＡＧ極振りなの
魔王,だが！例えＭＡＧ(魔力
魔法使い,くっ！魔族最強は伊達じゃないわね！このままじゃ3日が限界だわ！
魔王,極振りやめろや！少しは戦闘を楽しめるステ振りやれよ！何考えてるんだ近頃の勇者一行は！。なんだ！？勇者の動きが早くなってる・・・？いや、私の動きを予想して動いているのか！？。ＳＴＲ極振りに出来る芸当ではない！ま、まさか誰からか指示を受けているのか！
戦士,気づいたか魔王よ！そう、この俺はＩＮＴ知能
魔王,何で戦士なんだよ！？そういうのは賢者に任せろよ！。だが一体どうやって、声の届かない勇者に指示を出しているんだ！
戦士,ブロックサインさ
魔王,さっきから変な踊りを踊ってるわけだ！ＭＰが減らないからおかしいと思ってたよ！。くそっ！そういう流れなら、言われる前に先に聞いてやる！賢者よ、貴様は何に極振った！？
賢者,あ、私はバランスよく振り分けました
魔王,お前だけ極振ってないんかーい！？。あっ・・・しまっ・・・
新世代勇者,へえ、これが1000年前に魔王を倒した勇者の装備か
冒険家,まさか旅の出発点である王城の中に保管してあるとはな
魔導士,なんでも伝説の勇者以外の者には動かすことすらできなかったとか
カラクリ技師,まあ何にせよ、序盤から最強装備でいけるんだ。復活した魔王退治も楽勝だな
冒険家,さっそく着てみろよ勇者
新勇者,言われなくても・・・あれ・・・動けない・・・
冒険家,なんだと！？まさか、新勇者は選ばれし者ではない・・・？
新勇者,んだとお！なめんなよ！ぐぎぎぎぎぎぎぎっぎぎぎ！
魔導士,！？。まさか！しあわせのくつと同様の効果が！？
カラクリ技師,いや、単に筋力的な経験値が入ったんじゃないか？。で、どうするよ新勇者。とりあえずステータスは何に振る？
新勇者,ＳＴＲ極振りで
