高森藍子,え、えええっと……。か、加蓮ちゃん？
藍子,え～っと……。……。……。……ど、どうしよう？
北条加蓮,うーん……
・北条加蓮,藍子と
・高森藍子,加蓮ちゃんと。加蓮ちゃんと
・北条加蓮,藍子と。藍子と
・高森藍子,加蓮ちゃんと。加蓮ちゃんと
・北条加蓮,藍子と
加蓮,さて……どういう状況か、説明するね。私は藍子の膝の上に頭を乗っけてる。藍子は私の頭を膝の上に乗せている。膝枕ってヤツだね。特に理由はないけど、たまにやりたくなって、たまにやってもらいたくなるんだよね。これ。で、藍子は快諾してくれて……余計なことを言った口には、サラダのきゅうりを突っ込んでおいたけどね。藍子の、相変わらずちょっと抜けた顔を見上げながら、いつもみたいにとりとめのない話をしてた。途中、話がちょっと途切れて……。ふわぁ、とあくびをした時、ちょっと思いついたの。寝たフリしたらどんな反応見せるかなー、って。……って言っても、正直だいたい読めてる。たぶん藍子は、頭を撫でてくれる。おやすみなさい、って言ってくれる。カフェで、一緒に来た相手が寝てしまう、つまり話し相手がいなくなってしまうのに、ぜんぜん嫌がる素振りもみせないで。そーいうところ、好……嫌いじゃないんだけどね。……ゴホン。"分かっていること"を何回も試すのって、意外と嫌いじゃない。……この辺、自分で自分がちょっと不思議。どんなことをするか、どんなことがあるか、分からないから試してみる……じゃなくて、知り尽くした出来事を、またなぞるなんて。ま、とにかくちょっと眠かったのはホントのことなんだし。ってことで、目を閉じて、わざとらしく寝息をついてみて――。あーこれこのまま行くと５分もかからないでホントに寝そう。５分保たないって言ったらパッションアイドルの特権だよね。わーい今日から私も藍子と同じだー。なんてアホなことを考えてたら。もっとアホなことをやっている子がいた。何でこの子慌ててんの？何しようとしてんの？。寝てるなら大丈夫って何がよ。あとホントに寝てる時のって私の寝息には検定みたいなものでもあるの？。なんか髪のあたりでくるくるしてるその右手は何？左手を広げて私のこめかみから頬あたりまでを触ってるのは何なの？私が寝たら何をするつもりなの？。寝てたら返事できないんだけど？。と、こんな感じで藍子が挙動不審になりました。
藍子,……
加蓮,……
藍子,……そ、そうだっ。コラム。コラム書かなきゃ！
加蓮,……？最近どこか新しいカフェに行ったっけ？
藍子,ええと、現像してみた写真がこっちで、お茶の資料がこっちで……
加蓮,確か、あのカフェで歌った時以来ここ以外には来てない筈だけど
藍子,この前は……。店員さんのお話を書く前まで、済ませたんでした。店員さんのお話……
加蓮,……む。藍子、私に隠れて勝手に行ったの？ほーう。私を誘うことなく？
藍子,う～んっと……。メモ、メモ
加蓮,なんてっ。ま、いいんだけどね。それならそれで、藍子から話を聞くっていう楽しみができるし
藍子,あれっ？どれがどれだっけ……！？
加蓮,……すー。いけない。寝たフリするの忘れてた。寝返りとかも打ってみなきゃね
藍子,あっ。加蓮ちゃん……ふふ、落ちてしまいますよ？。……。…………。…………加蓮ちゃん
加蓮,ん？
藍子,……
