ありす(22),なんですかその言い方はっ！
ありす,私がっ！あの時どんな思いで待てますか？
晴(22),橘って酔うと必ずその話するよなぁ。いい加減暗記しちまうぞ？
ありす,酔ってなんかいませんよぉ！
晴,めちゃくちゃ酔っぱらってんじゃねぇか。テーブル叩くな、零れるだろ
ありす,うぅぅぅぅ～…！
晴,あーあー、ビショビショじゃねえかよ。ほらグラス持ち上げろ
ありす,ヒック…、晴さんはいいお嫁さんになりそうですねぇ…
晴,はぁ？いやこれぐらい普通にやるだろ誰だって
ありす,私もお嫁さんになりたかったですよぉ！！
晴,あ～…また始まった…
ありす,どうして待ってくれなかったんですかぁ～！
晴,オレに八つ当たりすんなよぉ！
ありす,あ、イチゴサワー追加で。あと唐翌揚げください
晴,オレはコーラで
ありす,相変わらず飲まないんですねぇ…
晴,好きになれねえんだよ、酒って
ありす,たまには晴さんも飲みましょうよぉ～…この業界、お酒の付き合いも大事ですよ～…？
晴,橘はすっかり飲むようになっちまったよなぁ…あんまり良い飲み方じゃねぇけど
ありす,飲まなきゃ、やってられない夜もあるんです！
晴,ま、たまにこうして外で飲むぐらいだからいいけどよ。友紀や楓さんみたいに仕事に支障出るような飲み方はすんなよ？
ありす,だいじょうぶですよぉ。あのお２人みたいにはなりませんって
晴,その２人とよく飲みに行ってるから心配してんだよ
ありす,もぅ～…晴さんはいちいちうるさいですねぇ。なんなんですか、晴さんは私のお母さんですか、旦那様ですか……っ
晴,事務所が同じな友達だよ
ありす,…旦那様……っく。っく…、えぐっ…うぐ、ぐすっ…。う゛あ゛あ゛あ゛あ゛あ゛ぁぁぁぁ～！！
晴,お、おい周りに迷惑だろ！個室だからって大声出したら他のお客に迷惑だっての…！
ありす,もふぁあ！もふ、もふぅぅっ！もふぅ！ふもぅふもっ！
晴,愚痴なら聞いてやるから泣くな叫ぶな。…もう２０歳過ぎだろ？
ありす,もふぅ…
晴,…落ち着いたか？手ぇ離すぞ、騒ぐなよ…？
ありす,…くすん
晴,ったく…、子供の頃の方がシッカリしてたよな橘って
ありす,心外ですね…年齢を重ねた今のほうが絶対しっかりしているでしょう
晴,シッカリした大人の女は箸で枝豆分解しねぇよ。いい加減諦めろって…。フラれたのもう何年前だよ、いつまで引きずってんだよ
ありす,うぐっ、ぐす…
晴,…ま、フラれたっつっても中学に上がった時と高校生になった時と、あと大学入学でもか。３回告白して３回ともフラれたもんな
ありす,ぐすっ…、違います…
晴,あれ、そうだったっけ？
ありす,ええ、正確には１学年上がるごとにしてましたから通算１４回です…
晴,重ぇよ！どれだけ重いんだよ橘！。あと１学年ごとに１回で１４回じゃ数合わねぇぞ！？
ありす,ぐす…、プロデューサーの結婚式の時と、その二次会と…アニバーサリーパーティーと…
晴,晴れ舞台に傷心し続けてるんじゃねぇか！どれだけハート強いんだよ！？
ありす,…あと、１４回目はさっきの収録中スタジオで偶然お会いしたときに…
晴,数時間前かよ！フラれたてホヤホヤじゃねぇか！
ありす,フラれたフラれたとか連呼しないでください！
晴,重い上に面倒臭ぇなぁ！相手の幸せを素直に祝ってやれよ！
ありす,私がっ、幸せにっ、したかったんです！！。店員さーん！お酒追加お願いしまーす！
晴,早っ！いつの間に…ってペース考えろよ、どうせまた潰れてオレが抱えて送る羽目になるんだからよ
ありす,イチゴサワーおかわりーあとイチゴハイボールとイチゴビールと苺正宗を
晴,やめろソレ絶対ェ帰り道リバースする飲み方じゃねぇかよ！！
ありす,いいんですよ…どうせ明日はオフなんです。ベロンベロンになるまで飲んでやるんです…
晴,オレは仕事なんだよ…それにお前もうベロベロになっちまってるじゃねぇかよ。橘はホント、Ｐが絡むとポンコツだよなぁ…あ、まゆもそうか
ありす,まゆさんも一時は大変でしたからねぇ……１週間プロデューサーのデスクの下から出てこなかったりしましたし
晴,乃々も隠れる場所無くして大混乱してたもんなぁ
ありす,まあ、乃々さんがパニックになってたのはそれだけが理由じゃないと思いますけどね…
晴,あ～…、今思えば乃々もＰにベッタリだったもんなぁ。まゆなんて、Ｐが結婚するってなった時は何をやらかすかってみんなビビってたけどな
ありす,ええ…ヤンデレアイドル筆頭一号生佐久間まゆさんですもんねぇ。まさかひたすらベソかくだけで済むとは思いませんでしたね
晴,まゆって思ってたよりへっぽこだったんだなぁ、てあの時知ったよなぁ。あとＰの結婚で反応ヤバかったのって誰だっけ
ありす,色々いますよ。むしろ居すぎです。飛鳥さんはショックのあまりエクステ引き千切るし泰葉さんなんて未だに目にハイライト戻りませんからね
晴,プロデューサーっておちおち結婚も出来ないのな…怖ぇ。あと特にヤバかったの…あ、あの人がいたな
ありす,あの人？…誰です？候補が思い浮かびすぎて絞り込めませんよ
晴,ほらあの人だよ。花屋の娘で３代目シンデレラガールで渋谷凛でニュージェネで…
ありす,ああ、確かにあの人が一番凄かったですもんね…
凛,うわぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁん！！
Ｐ,ちょっ、凛？何っ、何で号泣！？
凛,うぐ、ぐすっ……ん、ゴメン…。ちょっと悪夢のような幻聴が聞こえちゃってさ…。ゴメンね、話の腰折っちゃって……で、何の話だったっけ
Ｐ,ああ、だから俺今度結婚す
凛,わぁあああああああああああああああああああんっ！！
Ｐ,ちょっ！凛さん？渋谷の凛さんっ！？
凛,ヒック…ぐす、ぴすっ……度々ゴメン…、おかしいな、さっきから悪魔の声が聞こえるんだよ
Ｐ,千川は何も喋ってないぞ
ちひろ,おい
凛,えっと、何の話？ゴメンね何度も聞いて
Ｐ,ああ、だから俺今度けっこ
凛,やああああああああああああああああああああ！！
Ｐ,涙のオンオフ凄ぇな！
凛,それで何の話だっけぇえええええええええええええ！？
Ｐ,泣きながら聞くんかい！。だから俺今度
凛,うわぁぁぁぁぁぁぁぁぁあああああんっ！！
Ｐ,俺、こん
凛,やああああああああああああああああああああっ！！
Ｐ,お
凛,いやぁぁぁぁぁぁぁあああああああああ！！
Ｐ,喋りたい！！
ありす,色々酷かったですよね…本当、色々な意味で
晴,半年ぐらいだっけ、あの調子が続いたの。２ヶ月目ぐらいでＰも若干ノイローゼになってたしな
ありす,全く、凛さんもよくもあれだけの醜態を晒せるものです。あれで私より大人だというのですから信じられませんね
晴,よく言うぜ、橘だって同じような事やってたクセに
ありす,私は１ヶ月で治まりましたよ！
晴,悪ぃ、世間一般ではそれ同類、って言うんだ
ありす,その上未だにプロデューサーを諦めていませんから、本当にどうしようもない人です
晴,同属嫌悪か？
ありす,何ですかなんですか、さっきから自分だけ他人事みたいな顔して…
晴,そりゃあ他人事だしなぁ
ありす,ふーん…
晴,飲みすぎだっての。いつもよりペース早いぞ？…ああ、さっきフラれたばっかりなんだっけ
ありす,…晴さん
晴,何だよ、追加注文か？
ありす,…
晴,ちょい待て、オレも何か注文するわ。コーラももう無いし
ありす,晴さんて、プロデューサーさんの事好きだったでしょ
晴,っ！？
ありす,うわ、きちゃないです！
晴,ゲホッ！ゴホッ…！ゲフォッ！
ありす,ああもう…はい、おしぼり。ビチャビチャになっちゃったじゃないですか…
晴,ゲホッ…、た、橘が…イキナリ変な事言うからだろ…ケホッ
ありす,違うんですか？
晴,オレまでお前らの同類にすんなよ…違ぇって
ありす,…ふぅ～～ん…？
晴,…なんだよその目は、ホントの事だろ
ありす,そうですか、そうですか…
晴,…追加注文すっぞ？橘も酒以外に何か…
ありす,中学に入ってから、プロデューサーとのオフの日だけスカートを履くようになった
晴,っ！
ありす,プロデューサーに指摘されて褒められてから毎日ヘアピンを変え始めた
晴,ちょ
ありす,クラスメイトにラブレターを貰った事を相談した時、晴もこんなに美人になったもんなぁ
晴,おま、それ何で知って…！？
ありす,高校生になって胸が大きくなったのを良いことにワザと当てておいてセクハラ発言してじゃれあうのが主な手口になった
晴,て、手口って！
ありす,受験勉強に遅くまで付き合ってくれたプロデューサーさんの寝顔をこっそり撮って今でも待ちうけにしてる
晴,お前見たのかよ！
ありす,ついでに言えばプロデューサーからのメールは全部保護設定かけてる
晴,だから何で知ってんだよぉ！！
ありす,……さて、何か反論は？
晴,……ねぇよぉ…
ありす,ふふんっ
晴,あ、アレだよ、ホラ…。思春期にありがちなヤツだ。そう、年上の男に変な憧れを持ったり父親に対する信頼感を重ねたりするアレだよ、うん
ありす,顔真っ赤にしてモジモジしながら言われても説得力皆無ですよ。２２歳にもなって乙女ですか
晴,う、うるせぇよ！
ありす,ようこそ、こちらの世界へ
晴,うわぁその言われ方は凄っげぇ嫌だぁ！
ありす,大体ですねぇプロデューサーが悪いんですよ、そもそも！。私みたいな面倒くさい娘相手でも親身になってくれて、優しくて頼りがいがあって…。年頃の娘がコロッといっちゃうのは当然じゃあないですか！
晴,気持ちは分かるけどグラスでテーブル叩くなよ、割れたらどうすんだ
ありす,うわぁぁぁぁん！４年ぐらい待っててくれても良いじゃないですかぁ！。よりによって３年後に入籍しなくても良いじゃないですかぁ！あと１年…次の誕生日が来たら…にゅふふ
晴,ただのアホだな
ありす,他人事みたいな顔しないで下さい！晴さんだって同類でしょう！
晴,橘と一緒にすんなよ！
ありす,プロデューサーが結婚するって話が広まった翌日あからさまに髪切りましたよねぇ、バッサリと
晴,そ、それは関係ねぇだろ？
ありす,あれですか？露骨な失恋アピールだったんですか？
晴,ち、違ぇよ！たまたまだよ！
ありす,でも結局気づかれずあれ、随分短くしたんだな。やっぱショート似合うよな
晴,お前オレの事嫌いか？なぁ嫌いなのか！？
ありす,まさか、大事な友達ですよ？。ただ油断ならない伏兵だとは昔から思ってますけど
晴,油断していいよ！何もしねぇよ！
ありす,晴さんはアレですよねぇ。口では興味ないってフリしてる癖に内心ではプロデューサーにベッタリでしたもんねぇ
晴,んな事ねぇって！むしろガキの頃は嫌ってたぐらいだぞ！？
ありす,ハンッ！
晴,時子みたいな顔して鼻で一笑された！？
