サラリーマン,いやー、ハズキルーペは最高だな！
女子高生,ハズキルーペいいよね～
小学生,ハズキルーペ超カッコイイ！
男,……ったく、どいつもこいつもハズキルーペハズキルーペって
女,なんかムカつくよね～
男,やたら頑丈らしいけど、こうなったらハズキルーペをぶっ壊そうぜ！
女,ハズキルーペ、だーい嫌いっ
男,椅子の上にハズキルーペを置いて……。座れ
女,うん
男,あっけない……もう壊れやがった！ハハハ、とんだ欠陥品じゃねーか！
女,じゃあ立つね
男,……！。こ、壊れてないだと……！？。もう一回だ！今度はジャンプしながら座れ！
女,分かった！。いい音したよ！
男,よっしゃ、今度こそ……！。！。ダメだ……まったく壊れてない……！。やっぱりこういうのは男がやらないとな！貸せ！。地面に叩きつけて！。踏みつけまくってやる！。どうだ！？
女,傷一つついてないよ～
男,なにぃ～！？
格闘家,シッ！。シッ！シシッ！シッ！
男,おお……すごい！この人なら……！。練習中すみません！お願いがあります！
格闘家,なんだ？
男,あなたのパンチでハズキルーペをぶっ壊して下さい！
格闘家,任せな……KOしてやるぜ！。シッ！。シッ！シシシッ！シッ！
男,まったく壊れてない……
女,そんな……
格闘家,こんなタフな相手は初めてだぜ……
男,力士さん、お願いします！
女,どうかハズキルーペを壊して下さい！
力士,いいでごわす！。おいどんの意地にかけて、体重をかけて、ハズキルーペを粉々にしてやるでごわす！
男,いくらハズキルーペでも、力士の重さにゃ敵うめえ！
力士,ハズキルーペ、ちゃんこにして食ってやるでごわす！。どすこーい！
男,うわっ、ペシャンコ！
女,確実に粉々よ！
力士,……む！？
男,力士さんでもダメなのか！
女,平然としているわ！
力士,おいどんの負けでごわす……
男,だったら車で！。どうだ！？
女,ダメだわ！曲がってすらいない！
男,おもしれえ……ならトラックで踏み潰してやる！
女,ビクともしてないわ！
男,ちくしょう……どんだけ頑丈なんだよハズキルーペ！。だったら……これしかねえ！
女,拳銃じゃない！どうしたの、そんなもの！
男,裏ルートで入手してきたのさ……。さすがに銃弾には耐えられまい！。は、弾かれた！？
女,ハズキルーペをかけていれば、目を撃たれても安心ね！
男,これがメイドインジャパンなのかよ……！。ならマシンガンだ！。うおおおおおおおおおおおおお！！！。これでもダメか！
女,数より質よ！もっと強い兵器を用意しなきゃ！
男,ロケットランチャーだ！
女,私に撃たせて！
男,嘘だろ！？あの爆発でピンピンしてやがる！
女,どうやったら壊れるのよこれ！？
男,お願いします！
女,どうか核ミサイルを撃たせて下さい！
司令官,よかろう。ハズキルーペとやら、壊したくなってきた。このボタンを押すがよい
男,やったぁ！
女,じゃあ一緒に押そうよ！
男,共同作業だな！
男女,えいっ！
女,すごいキノコ雲……！
男,や、やったか！？
司令官,メイドインジャパン……敗れたり！
男,い、いや！
女,やってない……！かすり傷さえついてないわ……！
男,ハズキルーペは核ミサイルにも耐えられる設計なのか……！
司令官,オーマイゴッド！！！
男,……というわけなのです。もはや我々は地球外生命体であるあなたに力と知恵をお借りするしかない！
女,どうかハズキルーペを破壊して下さい！
宇宙人,いいでしょウ……。我々の≪惑星破壊砲≫で、ハズキルーペを破壊どころか、消滅させてあげましょウ！
男,ありがとウ！
宇宙人,真似しないデ！。まずは、消滅しても問題のない無人の惑星にハズキルーペを置きましょウ。続いて十分離れたところから……砲で惑星を狙ウ。ちなみにあの惑星の大きさは、あなたたちの地球の十倍でス
男,……
女,……
宇宙人,惑星破壊砲……発射ァ！！！
男,うおお、あんなでかい惑星が一瞬で消滅した！破片すら残ってない！
女,これならハズキルーペだって……！
宇宙人,念のため、あのあたりの座標を確認しましょうカ。……ム！。そ、そんナ……！
男,どうしました！？
宇宙人,ハズキルーペは……ハズキルーペは……！
女,ま、まさか……
宇宙人,全くの、無傷、ダ……
男,まさか、星の爆発にも耐えるとは……
女,いったいどうやったら壊れるの、これ！？
男,無理なんだよ……たとえビッグバンが起こっても壊せないに違いない……
女,宇宙が滅びてもハズキルーペは永久に不滅なのね……
おばあちゃん,おやおや？
男,あ、ご近所のおばあちゃん
おばあちゃん,これが今噂のハズキルーペかい？CMでよくやってる
女,ええ、そうよ
おばあちゃん,かけてみてもいいかい？
男,どうぞどうぞ
おばあちゃん,どれどれ……。ふむ……。たしかによく見えるけど、思ったほどじゃないねえ
男,あ、壊れた
