鷹富士茄子,ありがとうございます♪それで、今回はどんなお仕事ですか？
モバＰ(以下Ｐ),今回はスーツのカタログモデルをやることになった。そして依頼主はあの大手メーカーＡ○ＫＩさんだ！
茄子,よくテレビでＣＭもやってますねー
Ｐ,今回の企画ではいくつかターゲットがあるんだが、茄子は”新社会人担当”だ
茄子,新社会人、ですか
Ｐ,フレッシャーズなんて言い方をしたりするな
茄子,ということは、私の他にも担当が居るんですか？
Ｐ,ああ。うちからは同じく新社会人向けとして美波、それと少し大人志向で美優さんとあいさんが出演することになった
茄子,美波ちゃんに美優さん、あいさんですか。確かに皆さんスーツ似合いそうですね
Ｐ,もちろん茄子も似合うだろうよ
茄子,ふふっ、ありがとうございます
Ｐ,まあ一応、それぞれのターゲット層の年齢に近くて髪色が落ち着いてる、ってのが選考基準にはなってるんだが
茄子,あっ、なるほどそうですね。スーツのモデルだから……
Ｐ,そうそう、商品が商品だから、こっちもカッチリいきたいの
茄子,わかりましたっ！。ありがとうございましたー♪
美波,はーい。よろしくお願いします
東郷あい,お疲れ様
三船美優,お疲れ様です
茄子,はい、お疲れ様です
あい,茄子くんバッチリきまっているじゃないか。流石だね
茄子,あいさんこそ、これぞキャリアウーマン！って感じですよ♪
あい,ふふっ、ありがとう。だけど……
茄子,そうですね。一番は……
美優,……えっ、私、ですか？
茄子,あいさんみたいな人はなかなかいないでしょうし、いたとしてもデキ過ぎて高嶺の花感がありますけど
あい,優しく柔らかい雰囲気と、どこにでもいそうな、しかし世界でただ一人だけの美しさ。美優さん、あなたは本当に
美優,そんな、わたしなんて別に……
あい,美優さんの以前の職場の男性諸君はどんな気持ちだったんだろうな
茄子,どういう仕事だったんですか？
美優,えっと、普通の事務職でしたので、周りは女性ばかりで
あい,なるほど、遠巻きに見つめるしかなかったわけだ
茄子,それで、男性社員の間で不可侵条約なんかできちゃって……罪な女ですねぇ♪
美優,とっ当時はいまよりずっと暗かったのでそんなことは……！
あい,いやいや、オトコの目を侮ってはいけないよ。それこそ、そんな時に君はスカウトされたんだから
美優,それは、そうですけど……
新田美波,ありがとうございましたっ
美優,あっ、美波ちゃん終わったみたいです！次私なのでいってきますね！
あい,お疲れ様
茄子,お疲れ様です
美波,お疲れ様ですっ。あの、なにか盛り上がってたみたいですけど
あい,ああ、いやなに。彼女を少しからかっていただけさ
茄子,嘘は言ってないですけどね♪
あい,とてもいい反応をしてくれたよ
美波,なるほどそうでしたか。たしかに、遠目で見てても楽しそうでしたし
あい,私より年上だというのにあれだけの可愛らしさをもっているのは……彼女は本当にアイドルに向いているな
美波,わ、私は！美優さんみたいな人もですけど、あいさんみたいなかっこいい人もすごく憧れてます！そんなアイドルになりたいです！
あい,ああ、いいんだよ美波君。自分の強み、他人からどう見られているかくらいはわかっているさ。ただ少しだけ、羨ましいのさ
茄子,確かに、あの年齢であれは反則ですよねー♪
あい,おや、茄子君。君がそれを言うのかい？
茄子,ほえ？
美波,そうですよ！美人で愛嬌があって胸も大きくて、茄子さんこそ反則です！
あい,君ほど人懐っこい性格なのもそうそうないぞ？立派な武器だ
茄子,そ、そうですかねーあはは
あい,む、そこまで信じていないようだな。ちょうどいい、今だからこそできることがあるんだが
茄子,えっ？なんでしょうか
あい,美波君も聞いてくれ。いいか、これを利用して……
Ｐ,お疲れ、茄子
茄子,はい、ありがとうございます先輩！
Ｐ,え？
茄子,せーんぱい！今日の私、どうでしたか？ちゃんとやれてましたか？
Ｐ,あ、ああ。カメラマンさんの指示もしっかり聞けてたし、バッチリだったぞ
茄子,やったぁ！それじゃ先輩、ご褒美にナデナデしてください♪
Ｐ,え！？いや、しかし
茄子,早くぅ、お願いします！
Ｐ,わ、分かった分かった！
茄子,ふふっ、きもちいいです♪
Ｐ,……もういいか？
茄子,はい、ありがとうございました
Ｐ,それで？なんでいきなりこんなこと始めたんだ？
茄子,あいさんに教えてもらったんです♪せっかくスーツを着てるんだから、社会人になりきってみようって思いまして
Ｐ,それで先輩、か
茄子,私が新入社員だったらＰさんは先輩ですよね？だからですっ
Ｐ,いやーいきなりでビックリしたよ
茄子,今頃あいさんも美波ちゃんも美優さんも……ふふっ
Ｐ,え、ほかの３人も……？
茄子,はい！皆で話し合って、どんなふうにするか考えてました
Ｐ,ま、まあ、楽しく撮影できたならよかったよ
茄子,ふふっ。それでＰさん？後輩ちゃんの鷹富士茄子、どうでしたか？
Ｐ,そりゃまあ、茄子の性格とピッタリ合ってて、可愛かったよ
茄子,もしかして、イロイロ手取り足取り指導、したくなってきてませんか？
Ｐ,うるせー！さっさと着替えてこい！！
茄子,きゃー♪。今回はどんなお仕事ですか？
Ｐ,おう！今回はだな、スポーツ用品でおなじみのスポーツＤＥＰ○さんからの依頼だ。モデルの撮影と、それから一日店長をやる
茄子,一日店長ですかー
Ｐ,最近健康ブームでな、特に若い人の間でジョギングや筋トレが流行ってるらしい。ほかにもボルダリングなんか今注目されてるな
茄子,確かにお休みの日に公園走ってる人よく見ますね
Ｐ,だろ？それで今回はセールをやるってんで、それに合わせてうちに依頼したって訳だ
茄子,Ｐさん、私一日店長って初めてなんですけど、具体的に何をするんでしょうか？
Ｐ,今回くじを用意することになってな、レジ横にブース設置してもらうから主な仕事はそれの運営と呼びかけ。あとは時間指定の館内放送もあるな
茄子,売り場には行かなくていいんですか？
Ｐ,気持ちは分かるが人の流れがどうなるか読めないからな。すまんが諦めてくれ
茄子,むぅ……
Ｐ,当日は出入り口を一方通行にして、入って買って出るまでを一直線にする計画まで決まってるからな。余計な混乱のもとはつぶしておきたいんだ
茄子,なんかつまんないですそれー
Ｐ,茄子目当ての客としても、どこにいるかわかんないよりは絶対に会えるってポイントが決まってる方が嬉しいだろうよ
茄子,……それもそうですね。お客さんもわざわざ歩き回らなくてよくなる訳ですか。そうしましょうか
Ｐ,納得してくれて助かる。それじゃ、先方にもそう伝えておくよ
客１,すいませーん
茄子,あっはい！抽選ですね！記念すべき一人目のお客様ですね♪
客１,あっ本当ですか？なんかラッキーですね
茄子,そうですねー。一等も早い者勝ちですから、早くしないとなくなっちゃいますもんね
客１,ラッキーついでに、代わりに茄子ちゃんが引いてくれませんか？いいの引いてくれそうなんで
茄子,ごめんなさいねー。偉い人にやっちゃダメって言われたんですよ。まあ、自分の運試しだと思って、さあどうぞ♪
客１,あっははやっぱダメですか！
客２,キャー！ほんとに茄子ちゃんいるー！！
客３,うわマジやばい超かわいいんですけど！！
茄子,はーいカコですよー♪お二人もかわいいじゃないですか
客３,顔ちっちゃ！腕ほっそ！
客２,すいません一緒に写真撮ってもらえませんか！？
茄子,もう、一枚だけですからね？
客３,ね、ね、後であたしにも送ってね
客２,みんなにも自慢しなきゃ！
茄子,あのー、抽選は……
客２,あっ……
客３,うへへ、テンション上がっちゃって……すいません
客４,おおおお願いします
茄子,どうしました？緊張してるんですか？
客４,あ、憧れの茄子さんが目の前に……ずっと応援してました！これからもアイドル頑張って下さい！
茄子,なるほど、私のファンの人でしたか。いつもありがとうございます♪
客４,そ、そんなお礼なんて、僕はそんな……
茄子,いえいえ、ファンの皆さんの応援あってこそのアイドルですから。いつもとても元気付けられるんですよ。こうやって直接言っていただけると、なおのことうれしいですよ
客４,あ、ありがとうございます！それで、抽選なんですけど
茄子,なにかありましたか？
客４,三等以上が当たったら、あ、握手してください！
茄子,なんだ、握手ですか。いいですよ、今しましょう♪
客４,えっ、いやいやそれは
茄子,今は時間ありますし、多少のファンサービスはＯＫもらってますから♪
客４,ああありがとうございます！ふわっ、柔らかい……
茄子,ついでに私の幸運も、おすそ分けですね
客４,ｸﾞｽｯ……一生の思い出です……
茄子,そんな、大袈裟ですよー
Ｐ,お疲れさん
茄子,もーくたくたですよー
Ｐ,いやーそれだけ大盛況だったってことだ。嬉しい悲鳴ってやつだ
茄子,ぶー
Ｐ,……なんだよそんな顔して、つっつきたくなるじゃないか
茄子,私今日こんなに頑張ったのに、ねぎらいの言葉もないんですか？
Ｐ,一日お疲れさまでしたお嬢様、素晴らしいご活躍でしたよ
茄子,なんかイヤですそれ
Ｐ,すまん
茄子,罰として、明日一日付き合ってもらいますからね
Ｐ,まあ、もともとオフだったけど……
茄子,それじゃ、明日はジャージで集合ですから
Ｐ,は？。ﾊｧ、ﾊｧ、ﾊｧ
茄子,はーいもう少しですよー♪
Ｐ,ぬぅらああ！
茄子,お疲れ様でーす♪
Ｐ,ｶﾌｯ……ちょっと、マジで……ムリ……
茄子,１０分休憩でーす
Ｐ,なんで、俺、休日呼び出されて、ﾋｭｰ、こんな
茄子,Ｐさんは普段から運動してなさすぎです！ただでさえ不規則な生活してるんですから、運動くらいはしてください！
Ｐ,だからって、ﾊｧ、急過ぎ……
茄子,どうせやれって言ってもやらないんですから、私が付き添ってあげるんですっ
Ｐ,それは嬉しいんだが……
茄子,１０年２０年経って、Ｐさんがおじいちゃんみたいになってもらったら困るんです！
Ｐ,へーへー、気を付けますよ
茄子,ふふっ、さあ！休憩おしまいです！最後にひとっ走りいってください♪
Ｐ,はーきついきつい。ﾌｩ、アイドルのレッスンに比べりゃよっぽど軽いってのに……さすがに衰えてんな
茄子,Ｐさーん！最後は２周でおしまいですからー！
Ｐ,これじゃ面目が立たねえな……
茄子,次の１周自己ベストだせたら、ご褒美にポニーテールにしてあげますよー♪
Ｐ,うっ……うおおおおおおおおお！！！
茄子,頑張ってくださーい♪
