以前書いたかな子,超無謀パフェかぁ・・・・・・
シャロ,フフフ・・・・・。今日はタイムセールで大量の食材を買えたわ！。これで後１０日は暮らせる・・・・なんてね。さて・・・・とっとと家へ・・・・。！？。な・・・何今の・・・・？。私の声で助けて。まさか・・・・もう１人の自分・・・内なる自分って奴・・・。って、何言ってんの私・・・疲れてるのかな・・・・。とっとと帰・・・・。ひいっ！。幻聴じゃない・・・・ハッキリ聞こえた・・・。まさか本当に・・・・。って、そんなわけないじゃない、単に声が似てる人がいるだけでしょ。あっちから聞こえたわよね・・・。あのベンチに座ってる人かな・・・・？
？？,助けて・・・・
シャロ,本当に似てるなぁ・・・・ていうか・・・・
？？,うう・・・ここどこ・・・
シャロ,何か凄い恰好してるなぁ・・・・私も仕事上人の事言えないけど
？？,グス・・・ヒック・・・
シャロ,何か困ってるみたいだし・・・・ここは・・・・。あの、どうしました？
？？,ひゃっ！
シャロ,あ、すみません驚かせてしまって・・・・。見たところ私と同じ位の子かしら・・・・。私はこの町に住んでいる者ですが、何か困ってる様でしたので
？？,は、はい・・・
シャロ,もしかして・・・迷子ですか？
？？,・・・・・・
シャロ,この町は初めてですか？
？？,・・・・・
シャロ,やっぱり・・・・お連れの方はいますか？
？？,・・・・・
シャロ,その方と連絡は・・・・
？？,携帯・・・・・落としちゃって・・・・
シャロ,それは・・・・マズイですね。何か凄い厄介事に巻き込まれた気がする・・・・・。まぁでも話しかけちゃったし、これも何かの縁よね。わかりました、私も探してあげましょう！
？？,本当？
シャロ,ええ、構わないわよ。今日はタイムセールも成功したし、何とかなるでしょ。そういえば自己紹介がまだだったわね、私は桐間紗路、シャロでいいわ
？？,わ・・・・私は・・・・。・・・・・
シャロ,どうしたの？
？？,ククク・・・・
シャロ,？
？？,我が名は神崎蘭子・・・そなたも瞳の持ち主のようだな・・・・
シャロ,へ？
蘭子,さぁ、今こそ旅立ちの時だ！
シャロ,あれ、これ何てデジャビュ？
千夜,クシュン！
シャロ,それで蘭子・・・さん
蘭子,真名で呼んで構わぬぞ
シャロ,呼び捨てでいいのかな・・・・
蘭子,あ、はい、実は・・・・
シャロ,普通に喋れるんかい！
蘭子,それでは・・・・この優美なる地へ・・・・我は降り立つ！。ふぅ・・・・・
？？,神崎さん、お疲れ様です、これを・・・・
蘭子,プロ・・・我が友よ、大義であるぞ。それで・・・・先ほどの我は・・・・
P,最高の魂の輝きでした
蘭子,えへへ・・・・・。それで、今後の運命は？
P,街を歩いて、神崎さんが良さそうだと思った店に入って撮影に入ろうかと・・・・
蘭子,中々大胆な趣向であるな・・・・
P,そういう趣旨の番組ですから。ですが、スタッフの準備が整うまで時間がありますね・・・・
蘭子,そ、それでは・・・・
P,？
蘭子,て、敵情視察も兼ね・・・・少しお供せよ・・・
P,成程・・・・それはいい考えですね・・・わかりました、傍にお仕えさせて頂きます
蘭子,！。プロデューサーとデートプロデューサーとデートプロデューサーとデート・・・・・
P,どうしました？
蘭子,な、何でもない！行くぞ！
P,？、はい・・・・
蘭子,うむ、中々良き街だな・・・・
P,私も驚きです、この国にこのような場所があるとは・・・・・
蘭子,はぁ・・・・ドキドキするなぁ・・・・。手とか・・・・繋いじゃったり・・・・。プ・・・プロ・・・
？？,おや、プロデューサーさんじゃないですか。たまたま出会っておったまげた・・・・フフ
蘭子,ひゃっ！
P,安陪さん、高垣さん、どうしてここへ？
菜々,実は私達オフでして・・・さっき偶然会ったんですよ
楓,ここには隠れた名店があると聞いたものでして・・・・きーちゃいました
菜々,ここはウサギが沢山いますからね、ナナにとっては聖地です！後知り合いがここに住んでるので
P,そうでしたか・・・私は神崎さんの撮影の付き添いです
菜々,なるほど・・・・大変ですね～
楓,こんにちは蘭子ちゃん
蘭子,は、はい・・・・
楓,プロデューサーさんも仕事終わりにどうですか？
P,いえ、自分は仕事中ですので・・・・
楓,つれないですね・・・・私ははつれえ・・・フフ
菜々,あの人元気かな～
蘭子,む～。もう・・・・あんなに楽しそうに・・・。プロデューサーは今日１日私だけのモノなんだから、もう少し自覚を・・・・。そうしないと、私どっかに行っちゃいますよー。はぁ・・・・・。ん？
うさぎ,・・・・・
蘭子,あ・・・・うさぎだ・・・・。そういえば菜々さんが沢山いるって・・・・。可愛いなぁ・・・。あ、待って！。ハァハァ・・・結局見失っちゃった・・・・。ってアレ？ここどこ・・・・。プロデューサー・・・・・。そうだ！携帯で・・・・。ない！落としちゃった・・・・。どうしよう・・・・。ふええ・・・・・。というわけです・・・・・
シャロ,あなたって結構抜けてるわね・・・・・
蘭子,スミマセン・・・・
シャロ,っていうか・・・・・アイドル！？
蘭子,は、はい・・・・
シャロ,やっぱり物凄い厄介事に巻き込まれた気がする・・・・・。と、とにかくお連れの方も探しているでしょうし・・・・急いで探しましょう
蘭子,・・・・・どうせまだあの２人と喋ってますよ
シャロ,え？
蘭子,何でもない！さぁ！共に行くぞ！我と同じ歌声を持つ者よ！
シャロ,この子・・・・もしかして。さて・・・まずはどこから・・・・。へ？
蘭子,うう・・・・そういえば太陽が登りし時より贄を頂いておらぬ・・・・
シャロ,そう・・・・・じゃあとりあえず私の近所の店で何か食べましょうか
蘭子,う、うむ・・・・
シャロ,あまり気は進まないけど・・・・あそこでいいわよね
千夜,いやっしゃま・・・あら、シャロちゃんね
シャロ,お邪魔するわね
千夜,あら・・・・そっちの子は・・・・
蘭子,・・・・・・
シャロ,迷子みたいなのよ、お腹すいてたみたいだからとりあえずここに連れてきたわ
蘭子,どうも・・・神崎蘭子・・・です
千夜,！
シャロ,どうしたの？
千夜,蘭子って・・・アイドルの神崎蘭子ちゃん！？
蘭子,は、はい・・・
シャロ,知ってるの？
千夜,あなたとは私と同じオーラが漂ってそうだから、注目してたのよ！
蘭子,は、はぁ・・・・
シャロ,あっそ、私は荷物置いてくるから、ゆっくりしててね
千夜,そうと決まれば・・・・。さぁ蘭子ちゃん！今日は私のおごりよ！好きなだけ食べてってちょうだい！
蘭子,う、うむ・・・
千夜,はいメニュー
蘭子,どれどれ・・・・。
千夜,遠慮しなくていいのよ～
蘭子,ええと・・・・じゃあ海に映る月と星々を所望する・・・・
千夜,は～い。はいどうぞ
蘭子,白玉栗ぜんざいだったのか・・・・
千夜,どう？
蘭子,美味しい・・・
千夜,フフ、ありがと
蘭子,あ、あの！
千夜,なぁに？
蘭子,こ・・・このお品書きの真名はそなたの作品か・・・・・
千夜,そうよ～
蘭子,か・・・・カッコイイ・・・後和服も可愛い・・・・
千夜,あ、挨拶がまだだったわね、私は宇治松千夜よ、千夜って読んでね
