ミリP,以下、P
P,疲れた……音無さんと青羽さんがいないと、こんなに辛いのか。今度、二人に何か奢ろうかな……ふわぁあ。……徹夜が、響いたかなぁ。あんま寝てなかったもんなぁ……時間は？。荷物受け取らないといけないんだっけか……それまでなら寝れるな。……よし！。ただいま、お布団君！。はぁ……仮眠室っていいなぁ……。社長には、感謝してもしきれな……。…………
？？,…………！
P,むにゃ……あれ、今時間どのくらいだ？。よし……まだ寝れるな……。んん……
？？,ひゃん……♪
P,なんだ、これ温かくて柔らかいな……
？？,ン……
P,あれ？ちょっと待て、これなんだ？
島原エレナ,以下、エレナ
P,…………っ！？。ちょ、ちょっと待て！エレナ、エレナ！？
エレナ,もう、なぁに……？
P,いや、なんで此処に居るんだよ！？
エレナ,？ワタシが潜り込んだからだヨ？
P,…………
エレナ,だってプロデューサー……色んな子とハグ、してるんデショ？
P,……もしかして、音無さんから聞いたのか？
エレナ,違うヨ？コトハから聞いたノ！
P,そういえばバレてたんだったな……
エレナ,ネー、ワタシにもハグしてヨー！
P,そうは言うけどな……
エレナ,ハグなんて、パパンもママンも恥ずかしがらないヨ？
Ｐ,それは家族だからだろ？一緒に暮らしてきた大切な人たちじゃないか
エレナ,でも、ワタシプロデューサーの事スキだよ？
Ｐ,……そ、それはそれとしてだな
エレナ,アレ、顔赤いヨ、プロデューサー？
Ｐ,え、エレナやめよう……シャレにならないから、な？
エレナ,ムー……ミライ達にはやったのにズルイ……。こうなったら、リオから聞いたとおりに……
Ｐ,！？
エレナ,男の人って、こうやってくっつかれたら喜ぶんだよネ！
Ｐ,しゃ、洒落にならない！ボリュームが！
エレナ,プロデューサー、ドキドキしてないノ……？
Ｐ,ぐぅ……っ！
エレナ,プロデューサー！
Ｐ,……琴葉達には内緒だぞ
エレナ,エッヘヘ……分かってるヨー♪
P,……本当に分かってるよな？
エレナ,ねぇ、プロデューサー？
Ｐ,ん、どうかしたのか？
エレナ,こうしてると……なんだか、コイビトみたいだネ？
Ｐ,そうかな……？
エレナ,そうだヨ！
Ｐ,ハハ……俺には勿体ないな
エレナ,そんな事ないのに……そうだ！
Ｐ,？
エレナ,エヘヘ……ダーリン♪
Ｐ,！？
エレナ,ミキだってハニーって呼んでるんデショ？
Ｐ,そ、それはそうだが
エレナ,…………
Ｐ,……は、ハニー？
エレナ,！
Ｐ,……これ、予想以上に恥ずかしいな
エレナ,エヘ、嬉しいナー……
Ｐ,…………
エレナ,…………。……ンー？
Ｐ,！？そ、それはダメだって！
エレナ,エー……ダーリンのケチィ
Ｐ,エレナ、入り込みすぎだって！？
エレナ,モー、照れなくても良いのに。それじゃ、ワタシからしちゃうもんネー……
