白菊ほたる,……はぁ
ほたる,所属していたプロダクションに縁起が悪いと追い出されてしまいました……。いくつかのプロダクションを渡り歩いて、そのどれもが倒産してしまったことを知った社長さんからのクビ宣告は、この雨よりも冷たく無情なものでした。元から経営が厳しくなってきていたらしく、同時に所属アイドル何人かも他のプロダクションへ飛ばされたみたいですが、私にはそういった話がまったくありません。正真正銘の解雇……でした。これからどうしよう……。あまざらしの公園で傘も持たず、行く当てなんてどこにもなくて、でもアイドルになる夢は捨てられない。不幸体質な私でも誰かを幸せにしたい、ただそれだけのことがものすごく難しい。……やっぱり不幸な私にアイドルなんて出来ないんだ、だからもう諦めて鳥取に帰れって……ことなのかな。夢を追って東京に出てきて、夢に破れて田舎へ帰る。ただそれだけのことなのに、自分のすべてを否定された気持ちになってしまいます。悲しくて泣いてしまいそうです……。目頭がだんだんと熱くなってきた私の耳に、不意にギターの音が聞こえてきました。不思議に思って広い公園を見回すと、ベンチに座り、三つ脚のパラソルスタンドに大きな青色の傘を立てて、アコースティックギターを弾いてる男の人がいました。その人は、私以外人気のない公園で、誰に聞かせるでもなく弾き語りをしています。雨降ってるのに……。あまりにも酔狂なその姿に、私は目が離せなくなりました。私の頭上の木々に雨が弾ける音、時折吹き抜ける冷たい風の音、アコースティックギターの音色。それにかき消されそうな小さな歌声は不思議と私の鼓膜を強く打ちます。私はその歌から耳も離せなくなりました。……っ。私は……。そんな事を言ったって……私は……。えっ……。…………。男の人が歌い終わり、最後に大きくかき鳴らしたギターの音が消えると、雨音だけがやけに大きく聞こえました。それがなんだかやけに寂しく聞こえてきて、私は思わず拍手をしていました。男の人はそれを聞いて辺りをキョロキョロと見回し、やがて私の存在に気付きました。しばらく無言で見つめ合っていると、男の人はベンチに立てかけてあったギターケースにギターをしまい、傘を手に持ってこちらに歩み寄ってきました。あ、その……邪魔をしてごめんなさい……。男の人は首を小さく横に振ると、私に傘を差しだしてきました。私に……？。でも、それだとあなたが……。無言のまま差し出される傘。それをおずおずと受け取ると、男の人は今度は上着の胸ポケットから一枚の小さな四角い紙を取り出して私に差し出しました。名刺……ですか？。え？。名刺も受け取った私を見て、小さな声でそう言いました。それから男の人は私に背を向けます。そしてベンチに立てかけたギターケースを手に、雨の中を歩いていきました。公園には青色の傘と名刺を手に、取り残される私が一人。寂しい雨音を聞きながら名刺に目をやると、そこにはＣＧプロダクションの社名と住所、それに恐らくあの男の人の名前と所属部署。裏面を見ると、アイドルに興味はありませんか？という手書きの文字がありました。ここがＣＧプロダクション……思ってたよりもずっと大きい……。名刺の住所を頼りにやってきましたけど……本当に私なんかがこんな場所に来ていいんでしょうか……。また私の不幸体質のせいで、こんなに立派な場所が陰ってしまうとしたら……怖いです。私の手には昨日貸してもらった青い大きな傘。憎らしい快晴の青空とは不釣り合いな持ち物です。…………。ふと昨日のあの人の言葉が脳裏に蘇ります。それが迷う私の背を少し押してくれた気がしました。……が、頑張ります。私は誰に向けるでもなく呟いて、ＣＧプロへと足を踏み入れました。入口に入ってすぐの受付で昨日頂いた名刺を見せると、大きな傘を持った私を訝しげな目で見ていた社員さんも合点がいったみたいで、すぐに案内をしてくれました。大きなエレベーターに乗って五階にたどり着くと、右手の方を指して、あの一番奥がその部署だよ。私は案内してくれた社員さんにお礼を言い、その部屋に向かいます。部屋の扉には擦りガラスが付いていて、そこには第８アイドル事業部の文字がありました。私は一度深呼吸をしてからその扉をノックしました。ノックをしてすぐに女性の声がして、擦りガラス越しにこちらへ近づいてくるのが確認できます。扉を開けた女性の方は、私の姿を見て大きく首を傾げました。あっ、あの、昨日、こちらのプロデューサーさんに……スカウト？されたものですっ……！。それに対して、私はそう告げました
千川ちひろ,いやー、まさかウチのプロデューサーさんがアイドルのスカウトに成功する日が来るなんて思いませんでしたよ！
Ｐ,…………
ほたる,対応してくれた方――事務員の千川ちひろさんは最初に私の言葉を聞いてそんなまさかというような表情をしたあと、プロデューサーさんに取り次いでくれました。そして私が本当にスカウトされたんだと分かると、笑顔で私を室内へ招き入れて、応接室に通してくれました。今は応接室の対面になってるソファーの片側に私、もう片側にプロデューサーさんと千川さんが座る形で向き合っています。プロデューサーさんは一度私に会釈をした後からずっと無言です
ちひろ,えーっと、それで白菊ほたるちゃん……でしたっけ？
ほたる,は、はい。あ、履歴書がこちらに……
ちひろ,はい、ありがとうございます。ご実家は……鳥取！もしかして鳥取からこっちに一人で？
ほたる,……はい。私、どうしてもアイドルになりたくて……
ちひろ,なるほどなるほど。すごい熱意ですね！
Ｐ,…………
