【地方,ローカル
奈々子,みなさん、はじめまして！。流川市の宣伝本部長、宇佐美なにゃ……奈々子です！
ゆかり,流川を応援し隊隊長の小日向縁です。私たち流川市の公式アイドル、流川ガールズです！
奈々子,私たちは流川市をアピールするためのマスコット的存在で現役女子校生です
ゆかり,流川市のために一生懸命頑張ってます！
奈々子,流川市は人口も大きさもそれなりですが、目立った特徴などはあまりありません…。そこで私たちや、流川市ご当地ゆるキャラの魚心くんが、地域をアピールすることで流川市を知ってもらい
ゆかり,地域の活性化や産業発展の一助となればと思います！
奈々子,ちなみに市からいただく時給は千円と高額ですが、時給以外はいっさいいただきません！。市民の血税をいただいてる身分ですし当然ですね。だから…テレビのギャラもなし！時給以外は完全なボランティア扱いです！！準備や片付けなどはアイドルの活動の対象外なんです！！
ゆかり,ちょっと…落ち着こうかななちゃん
奈々子,見た目ほど派手じゃないし、レッスンとか自主錬だし、設営や雑務もするけどそこはボランティア。土日が完全に潰れて稼ぎは６千円くらい。それでも一生懸命頑張ってます。蜂の巣駆除のレポートとか危険なシゴトもやってますよ
ゆかり,すみません！一旦カメラ止めてくださいっ！！
八幡,流川市？おかしいな、流山市なら知ってるんだが
雪乃,比企谷くん、あなたそれでも千葉県民なのかしら？流川市といえば千葉県でしょう
結衣,あたしでも知ってるよ、流川市
八幡,なんということだ。俺の記憶のなかの流山市が……って地図から丸ごと消えてるだと……？
雪乃,比企谷くん、妄想も大概にしなさい。そもそも、千葉に流山市など存在しないのだけれど？
結衣,あたしも知らないかなーって
八幡,マジかよ……
雪乃,ええ。マジよ
平塚,話してもいいか？あー、今度の月曜は祝日だろう？土日月と三日間を使って、君たち三人には流川市で奉仕部活動をしてもらう
雪乃,わかりました
平塚,出発は土曜の夕方だ
結衣,お泊まり楽しみだね！ゆきのん！
雪乃,そうね。どこかの男は不満そうだけれど
八幡,うっせ。泊まりとか嫌に決まってんだろ。……戸塚が来るなら別だがな
平塚,残念だが比企谷、戸塚も葉山たちも今回は同行しない。当然小町くんもだ
八幡,おい、マイスイートエンジェル戸塚なしとか拷問かよ……
雪乃,……比企谷くん、気持ちの悪い発言は控えてもらえるかしら
結衣,ヒッキーキモっ
平塚,行くのはお前たち三人だけだ。私も同行するのだから文句はないだろ、比企谷
八幡,文句ありまくりですよ。むしろなんでないと思ったんすか？
平塚,あぁん？
八幡,ひぃぃ。な、なんでもないです
平塚,よろしい
雪乃,活動内容については？
平塚,向こうで話す。なぁに悪いようにはしないさ
八幡,二泊か……こりゃ千葉ったな
結衣,ヒッキー意味わかんない
いろは,ここにいましたね、先輩！生徒会のほう手伝ってくださいよぉ
雪乃,……一色さん、ノックを
いろは,ドア開いてましたよ、雪ノ下先輩。全開でした
雪乃,そう
平塚,う……そう睨むな雪ノ下
雪乃,睨む？気のせいではないでしょうか？
八幡,平塚先生、一色も連れていっちゃダメすか？
平塚,……一色を？一色は生徒会で忙しいだろう
いろは,何の話ですか先輩？私今来たばかりなんで、先輩のラブコールには答えられないかな、と
八幡,安心しろ、一色。お前にラブはねぇ
