ずいずい：赤城さんありがとー！,もう一つの変なコメは無視しておこう
ずいずい：,
RJ：そうしたら、何やらお風呂場から声が聞こえるんや,返せ･･･返せ･･･
赤城：あの日お風呂15時間浸かってて、ご飯食べられる時間なかったんですよ。だから,ご飯食べる時間返せ
RJ：,mjky。ただのツンデレやん･･･
ソウ☆リュウ：,提督。どーお？これが大鳳の、そして私の胸甲板の本当の力なんです！！
赤城：,さあ、犯るわっ！！
加賀：,イランイランオイル島のみんなは元気かな･･･
ずいずい：ベッドの上にいる翔鶴姉から,瑞鶴、いい加減にしないと怒るわよ
なん……だと……！,BLEACH風
ずいずい：はーい。行ってきまーす。,デート内容実況、楽しみにしてますw
烈風：うおお！金剛さんが、いつもの,ヘーイ提督ゥ
RJ：,･･･なあ、これ。両方とも赤城やんな？
ソウ☆リュウ：,つっこんじゃダメ。赤城さんは私達を楽しませてくれようとしてるのっ
赤城：,出撃お疲れ様でした
RJ：,こいつ･･･！直接脳内に･･･！
赤城,皆さん、集まってくれてありがとうございます。えー。普段からLINEで繋がっている私達ですが、まあ、LINEは離れてたまにはグループ全員で飲もうじゃないかと
大鳳,･･････
瑞鶴,大鳳！元気出しなってえー
龍驤,赤城長い長い。はよ乾杯しよや
赤城,あはは。そうですね。ではお手持ちのビールを片手に。えー。大鳳ちゃんの心を慰める会。スタート！かんぱーい！
一同,かんぱーい！
飛龍,かー！しみるぅ！
蒼龍,今日一日中キス島だったしねー
翔鶴,ほら大鳳さん。注ぎますよ
大鳳,･･････ﾀﾞﾒﾀﾞ･･････ﾜﾀｼﾓｳ･･････
瑞鶴,こりゃ相当傷ついてるね
加賀,･･････大鳳さん。そんなときはヘネシーを
赤城,か、加賀さんいきなり度数の高いそれはちょっと。あはは
大鳳,･･････ずみばぜん･･････
龍驤,うおお！な、泣くな泣くな大鳳！大丈夫やうちらがついとるから！な！？
大鳳,うああ･･･みんな優しいですぅ･･････
赤城,大鳳さん
大鳳,うう･･･は、はい･･･
赤城,先程お話したとおり、提督はお人柄が良すぎるのです。艦娘全体の指揮を取られる彼ですから、一人一人を差別化することが好ましいことではないとお考えだったのでしょう。あまり気を悪くしてはいけませんよ
大鳳,･･･はい･･･
瑞鶴,でも私は嫌だなあ。提督さんには男らしく金剛さんにデート中だから！
加賀,まだ交際にも発展していないのに、そのような断りを言える訳はないでしょう。周りの目もあるのだから。だからあの方は皆の提督
翔鶴,･･･まだ、大鳳さんだけの提督じゃないから、ってことですか
蒼龍,言われてみりゃそうなんだけどねえ。いやー、でもうまくいってほしいなあ、大鳳ちゃんには
飛龍,もうさー。いっそのこと、夜這いしたら？
大鳳,い、いやいやっ、そ、そんな･･･！
龍驤,まあでもアリかもなあ。ほんで強引に子供作ってまえ
大鳳,む･･･無理ですよぉ･･･
瑞鶴,顔赤っ。あはは、かわいいなあ
赤城,･･･さて。んじゃそろそろ、余興の時間とさせてもらいましょうか
龍驤,ん？余興？
赤城,大鳳さんを笑顔にさせるため、この艦娘さん達が集まってくれました。では舞台の上にご注目ください、どうぞ～
秋月,どうも、秋月型防空駆逐艦、秋月です
利根,吾輩は利根である
秋月,えー、ショートコントクールポコ。利根さーん、なんかぁ、意中の人とデートしてたらぁ、そこに恋のライバルが現れてえ
利根,ほうほう
秋月,恋のライバルを相席させちゃった野郎がいるんですよぉ～
利根,なぁーーーーーーーにィーーーーーーーーッ！？。やっちまったなあ！！？
秋月,艦娘は黙って！！
利根,爆撃！！！
秋月,空母は黙って！！
利根,流星改ニ！！！
瑞鶴,くっそwwwwwwwww
大鳳,ちょっとwwwww
飛龍,流星改ニとかねえしwwww
翔鶴,利根さん顔芸www
秋月,えー、続きまして。ショートコント妙高型カイジ。くそっ･･･！この沼パチソコ･･･！全然当たりがきませんッ！。このままでは･･･このままでは利根さんに借りたお金までッ、吸い込まれてしまいますっ！。豪華な牛缶が食べられなくなってしまいますっ！！！
利根,まずいのじゃ秋月くん！！このままじゃあ吾輩らは･･･吾輩らは･･･！。1050年･･･地下行きっっ･･･！！
秋月,くそっ！なんとかなりませんか･･･！なんとか･･･この窮地を脱出する方法は･･･！。はっ！！待って！このパチソコ･･･玉が吸い込まれすぎて、貯まっている･･･！！。いや･･･違うっ･･･！。妙高さんの･･･！妙高さんの大破顔の吸引力で･･･玉が貯められているんだ！！
利根,妙高っっ！！！。圧倒的･･･妙高っっ！！！
瑞鶴,僥倖だろそこwwwww
飛龍,意味わからんwwwwwwwww
蒼龍,どういうことwwwww
赤城,ゴリ押しwwww
大鳳,こんなの笑いますよwww
秋月,えー。続きまして。中の人繋がり。利根さーん
利根,おお、秋月。どうしたのじゃ血相かかえて
