玉城創一郎,４８
テロップ,玉城創一郎４８
社員たち,社長、おはようございます！
玉城,おはよう
記者,ここまでグループを拡大させることができた秘決というのは、一体何でしょうか？
玉城,そうですね。やはり、新しいことに積極的にチャレンジする精神なのではないかと思います
秘書,社長も晴れて政府の諮問会議の一員になりましたね
玉城,ふん。こんな本、全部ゴーストライターが書いてるに決まってるだろ。何か気分がすっきりしないな……。雲ひとつない晴れだというのに……
喪黒,社長どうです、釣れますか？
玉城,いや、今日はさっぱりでしてな……。ん？あなたどうして私が社長だと分かるんですか？
雑誌の写真の人物とあなたの顔が見事に一致していたのですよ」,あなた玉城創一郎さんでしょう？
玉城,ああ、そうだ。私は玉城創一郎だよ。ところで、あなたは一体何者なんです？
喪黒,私ですか？紹介が遅れました。私はこういうものです
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
玉城,ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
玉城,ふぅん……。心のスキマを埋めるセールスマン、ねぇ……
喪黒,玉城社長はなかなかのやり手のようですな。ここまで大規模な施設を一人で経営しているとは
玉城,気が付いたらそうなってたんですよ。これまで仕事一筋で生きてきましたからねぇ
喪黒,ですが……玉城さん。最近では、あなたにも心にスキマがおありのようですなぁ
玉城,ああ。このところ私もだいぶ疲れが貯まっていてねぇ……
喪黒,とはいえ、あなたは身体面ではすこぶる健康。むしろ精神的に疲れているのではないでしょうか？
玉城,たぶんそうでしょうなぁ。今までがむしゃらに突っ走ってきましたから……
喪黒,それはいけませんなぁ。ゆっくり休んで、心の洗濯でもなさったらどうです？
玉城,だからこうやって、私は今釣り堀にいるんですよ。今日は日曜だから
喪黒,でも、ここの魚たちは釣り堀のコンクリートの中で生きているわけです
玉城,まあ……。それを言っちゃあ、おしまいですよ
喪黒,何なら、私が本物の大自然をお見せしましょうか？大海原の中を泳ぐ魚、雄大な森、満天の星空……
玉城,大自然……か。たまにはいいかもしれませんなぁ
喪黒,この船は、例の目的地に行くための特殊なフェリー便です。大自然の宝庫のあの島へ、ね
玉城,例の目的地……。大自然の宝庫の島……。どうやら、南西諸島辺りまで行きそうだな
喪黒,なかなか察しが早いようですな
フェリーは目的の島に到着する。喪黒,社長、着きましたよ
喪黒,龍神島です。あなたの名字からして、沖縄は玉城社長にとってゆかりの地でもあるでしょう
玉城,ああ。私の祖父はもともと沖縄県の出身なんだ
喪黒,あなたのおじい様は、戦前に沖縄から本土へ移住してきたのでしょう
玉城,そうですよ。祖父は大正末期に横浜へ出稼ぎに行き、そのまま住みつきました
喪黒,そのおかげで、今のあなたがあるのでしょうなぁ
玉城,私もそう思います
喪黒,星が綺麗ですなぁ。玉城さん
玉城,全く、ここまで美しい夜空を目にしたのは生まれて初めてですよ
喪黒,どうです、玉城さん？リフレッシュできたでしょう？
玉城,いやぁ、リフレッシュどころか……人生観さえも変わりそうです！
喪黒,それはよかったですなぁ
玉城,喪黒さん、これからもこの島を訪れていいでしょうか？
喪黒,どうぞどうぞ。いくらでも訪れて結構。ですが玉城さん……。約束があります
玉城,わ、分かりました。喪黒さん
社員たち,社長、おはようございます！
玉城,おはよう！
秘書,そういえば……社長、以前より元気になったように見えますが
玉城,はっはっは。この間、私の人生を変えるものと出会ったからな
秘書,新しい健康食品にでもハマったんですか？
玉城,それは秘密だよ。龍神島は最高だ……。何度でも行ってみたいもんだな……
役員,社長、聞いてますか！！
玉城,あ、いや……。もう一度よく説明してくれ……
スナック。,越天楽
管理職A,最近、うちの社長、仕事中にボーッとすることが多くなったな
管理職B,疲れてるのか？
管理職A,それにしちゃあ、元気がよさそうなんだよな
管理職C,まさか、女か遊びにでも溺れたのかな？
玉城,うーん、四六時中、あの島のことが頭の中から離れん！これでは仕事が手につかん！
某社長,ほう、君はその島の虜になってしまったってことか
玉城,そうなんだよ。ここまで美しい島が日本にあったなんてな
某社長,でもなぁ、これほど豊かな大自然がありながら、多くの人たちに知られていないってのは惜しいな
玉城,龍神島に何かの施設を造る……。そうか、その手があったか！。越天楽グループは、龍神島に新しい複合施設を建設したい
管理職たち,玉城社長、久々に大勝負に打って出たな
関係者たち,珍しい路線のフェリーがあったもんですな
玉城,そろそろ着きますよ。ここです
関係者たち,おお、ここが龍神島か……！
玉城,皆さん、この島がすっかり気に入ったようですね。やぁ喪黒さん、あなたキャンプ中ですか？こんなところで奇遇ですなぁ
喪黒,玉城社長。……あなた約束を破りましたね
玉城,え？
喪黒,私は忠告したはずです。龍神島に訪れてもいいが、決して金儲けに関わるようなことをしてはいけない、と
玉城,ああ、あれですか……。今更、その話は勘弁してください
喪黒,仕事で決まってしまったから、しょうがない……ですか
玉城,一体、何のことです……？
喪黒,約束を破った以上、あなたには罰を受けて貰うしかありません。ドーーーーーーーーーーーン！！！
玉城,ギャアアアアアアアアア！！！
一連の,ドーン
関係者たち,な、何が起きたんだ……？
玉城,ううう……
玉城と関係者たち,雨だ！！
玉城,急げ！船の中に戻るぞ！
船の中。玉城と関係者たち,はあ、はあ
一同,うわあ！！！助けてくれ！！！
喪黒,あらゆる生き物の先祖は海の中で生まれ、大自然の中で進化して今の姿になりました。おや、激しい嵐も過ぎ去ったようですねぇ。オーホッホッホッホッホッホッホ……
