このスレは,とある魔術の禁書目録
縦ロール,女王！頼まれた写真を持ってきました
食蜂,ご苦労様
縦ロール,いえいえ
食蜂,...
縦ロール,...
食蜂,上条さぁーん
縦ロール,あのーつかぬ事をお聞きしますが？女王
食蜂,ん？
縦ロール,何故、その殿方の写真を撮って欲しいと依頼したのですか？
食蜂,そんなの決まってるじゃなぁい。上条さんに恋しちゃったからよぉ
縦ロール,そうですか......え？
食蜂,？
縦ロール,ええええええっ！！
食蜂,ちょっと！騒音力が半端ない高いわよぉ
縦ロール,お考え直し下さい女王
食蜂,どうしてよぉ
縦ロール,その殿方は底辺の高校の学生ですわ。超能力者である女王とはまったくもって釣り合う訳がありませんわ。ですから縦ロールちゃん少し黙れ
食蜂,あのね、縦ロールちゃん。恋愛に能力なんて私には関係ないの。そうゆう見方で決める判断力はないわ。それに上条さんは無能力者なんだけど、どんな能力も打ち消してもらう能力を持っているのよぉ
縦ロール,え!?どんな能力を打ち消す能力...それって確か都市伝説で噂になっていましたわ
食蜂,そう！その正体が上条さんと見ていいわねぇ。超能力者の私や御坂さんの能力が通じなかったし
縦ロール,女王と御坂様の能力すら効かないのですか?
食蜂,まぁ、私はそれで好きになった訳ではないけどねぇ
縦ロール,......それでも私は納得行きまこれ以上言うと洗脳しちゃうゾ☆
食蜂,よく聞いて。上条さんは私にとっては王子様なのよ。私の運命力が導いた結果とも言いわねぇ
縦ロール,(いや、運命力って......)
食蜂,もう他の男子なんかは眼中にない。なのでこれからは上条さんにアタックしまくるわよぉ
縦ロール,......そこまであの殿方の事を...わかりました。それでしたらそれ以上私は何も言いません。女王の恋路を応援しますわ
食蜂,ありがとう縦ロールちゃん。早速だけどぉ行動力を起こさなきゃね☆
上条,はぁ～出会いが欲しい。とは言ってもモテない上条さんにそんなハッピーなイベントがありませんからね。寮にいればインデックスに噛みつかれ、下校ではビリビリには追っかけられる。不幸だ...
食蜂,ため息つくと幸福力が下がりますよぉ上条さん
上条,ん？
食蜂,こんにちは。上条さぁん☆
上条,君は...大覇星祭で御坂と一緒に居た...確か食蜂と言ったけ？
食蜂,はい。ちゃんと覚えてくれたんだねぇ
上条,まぁ、あん時は御坂にビリビリされてまともに話す事が出来なかったけどな
食蜂,でしたらここでゆっくりお話して行かなぁい？
上条,ああ、別にいいけど。へぇー食蜂が常盤台のもうひとりの超能力者なのか
食蜂,まぁ御坂さんより下なんだけどねぇ、第五位だから
上条,それでも超能力者なのは変わりはないんだから凄げーよ
食蜂,それだったら、上条さんの幻想殺しの方が凄いじゃなぁい
上条,知っているのか？
食蜂,ええ、調査力を駆使してもらったわ。それにあの時(大覇星祭)御坂さんの電撃を消してたの見てるからねぇ
上条,ﾊﾊﾊ...アイツはよく上条さんに対してビリビリしてくるからな......余程上条さんが嫌いなんだろうね...
食蜂,(うむ！噂通りの鈍感力だわねぇ。さすがに御坂さんがちょっと可哀想になってきたわ)
上条,はぁ～不幸だ...
食蜂,(でもこれはチャンス！ある教師がこう言ってたわねぇいつやるか？今しかないでしょう！ってね、よし行くわよ！常盤台の女王食蜂操折！)。ねぇ～上条さぁん
上条,なんだ？
食蜂,私とお友達になって下さいませんか？
上条,え？友達でせうか？
食蜂,ダメですか？
上条,ぐはぁ！ダメじゃないですよ。上条さんで良ければ
食蜂,やったぁ～☆じゃあ早速アドレスと番号を交換しましょう
上条,じゃあ赤外線送信と、よしこれで完了だな
食蜂,(上条さぁんの連絡先GET☆)
上条,連絡先も交換した事だし、では上条さんはそろそろ帰えりますんで
食蜂,まったね～上条さぁん
上条,おう！気をつけて帰れよ
食蜂,ただいま～
縦ロール,お帰りさないませ女王。今日はすこし遅かったですけど
食蜂,今日ね、上条さんと会ってきたわぁ
縦ロール,そうですの。それで、その上条様と何かお話になさったんですか？
食蜂,うん！お友達になって貰ったわ
縦ロール,おお！！さすがは我らが女王！お見事ですわ
食蜂,大袈裟ねぇ、これぐらいは普通に出来るわよぉ
縦ロール,まずは一歩前進って所ですわ女王
食蜂,まだまだ道は険しいけどぉね
縦ロール,ファイトですわ！女王
食蜂,ありがとう縦ロールちゃん。さて、お腹空いたから食堂にいきましょう
縦ロール,かしこまりました
