双葉杏,お疲れ～、あーづーい～……
杏,……ってあれ、誰もいない。ちぇっ、誰かが冷房つけておいてくれれば涼めたのに……。……。なんだろ、最近、事務所で1人になると、漠然とした不安が……。……考えすぎかな。うわぁっ！？う、卯月ちゃん！？ど、どうしたの！？。そ、そんなこと言われても！大丈夫！？
島村疼き,私の……この疼く右腕が……暴走する前に……！
杏,うづ……誰！？！？！？
島村疼き,うぅ……右腕が疼きます……
杏,えぇ……
島村疼き,手遅れになる前に……逃げて……！この左腕は人を喰らう腕……！
杏,部位変わってるじゃん
島村疼き,ああっ……、左脚の古傷が疼きます……！
杏,疼く以外に自己表現の方法がないのか
島村疼き,このままだと……
杏,このままだと？
島村疼き,最悪の……災厄が……あの……こう……ぐわーって……
杏,肝心な設定が全く詰まってないな！？。えっと……今日はお仕事？大丈夫？
島村疼き,はい……凛ちゃんと未央ちゃんとお仕事なのに……私ってば魔力が抑えられなくて……
杏,卯月ちゃん、今ウチの事務所で最も普通から遠くなりそうだからね？
島村疼き,右脚も心なしか震えてま……疼いてます
杏,言い直してまで？
島村疼き,うう……2人に迷惑をかけると思うと、左の脇腹あたりが疼きます……
杏,両手両脚で選択肢がなくなったのはわかるけどなんで脇腹！？攣ってるだけじゃないの！？
島村疼き,うっ……右の肩から首筋にかけても疼いてきました……！
杏,医者に症状を相談するおばあちゃんかよ。と、とにかく、早く2人に来てもらうしかないね
島村疼き,はい……、犠牲者が出る前に……！
杏,杏はもう犠牲者にカウントしてくれていいと思うんだけど
島村疼き,スマホが疼く……
杏,それ着信してるんだよ
島村疼き,昨日買った音楽プレーヤーが疼く……
杏,それ故障してるんだよ返品してきなよ。……ってかさっきからこの音は何！？
渋谷鈴,あ、もう来てたんだ卯月。杏も、お疲れ
杏,うるさいな！！！
渋谷鈴,……杏、機嫌悪い？
杏,凛ちゃんは耳が悪いの？
島村疼き,杏ちゃんは、私の魔力によって心が不安定になってしまっているのかも……
杏,卯月ちゃんは頭が悪いの？
渋谷鈴,杏、そんな言い方はないんじゃないかな
杏,いつも思うけどなんで杏が責められるの！？
島村疼き,そうですよ！ちなみに今はお腹が疼いてます！
杏,それは単なる空腹だろ！！！
本田三尾,ちょっ、ちょっと！！！だ、誰かいる！？なんか尻尾生えちゃったんだけど！！！
島村疼き,うぅ……全身が疼きます……
杏,それはもう寒がりなだけじゃない！？
渋谷鈴,鈴の音って、なんだか涼しく感じるよね
杏,凛ちゃんはしゃべらないでもらえる！？
本田三尾,うわあなんだこれ。ね、ねえ杏ちゃん！
杏,あ！未央ちゃん！この2人を早く引き取ってよ！
本田三尾,いやいや！見てよこの尻尾！しかも3本！
杏,うるさいな！全身の疼きとか動くたびに騒音とか起きないならどうでもいいよ！
本田三尾,ひどくない！？私にとっては尻尾も一大事だよ！？
島村疼き,かわいい尻尾ですね！ゾクゾクします！
本田三尾,しまむーが変な性癖持ちの人みたいになってるんだけど！
渋谷鈴,さ、触ってもいい？
本田三尾,さっきよりうるさいんだけど何なの！？興奮してるの！？
杏,いってらっしゃ～い
本田三尾,送り出す姿勢に入んないでよ！
島村疼き,じゃあ、行きましょう！2人とも！
本田三尾,しまむー大丈夫！？疼くってか痙攣のレベルだよ！？
渋谷鈴,仕事はこなさなきゃね
本田三尾,今ブシモって聴こえたんだけどそれス○フェスの音だったの！？
杏,……ちなみに今日ってどんなお仕事なの？
本田三尾,食レポだよ！！！
杏,確かに絶望的な状況だけど杏に逆ギレはやめてくれないかな！？。大丈夫かな……。いや、大丈夫じゃないよねどう見ても。……。……。あっ未央ちゃん引き止めとけばよかった！楽できたのに！。まあいいや……、もう杏は覚悟を決めたよ……。誰っ！
森久保NONO,お仕事なんてむーりぃ……
杏,変わってねぇ！！！！！
森久保NONO,ど、どうしたんですか大きな声出して……、いぢめですか……
杏,あっ、ご、ごめん……
森久保NONO,もりくぼは……さんくちゅありに逃げますので……
杏,まあ乃々は静かにしててくれるだろうし、気にしなくていいかな……
森久保NONO,よいしょ、よいし……ひうっ！！！し、ししし輝子ちゃん！？
杏,え！？輝子いたの！？
干し輝子,フ……フヒ……暑い……
杏,誤植というか単なる体調不良なんじゃない！？
干し輝子,き、キノコは……干すと……栄養価がすごく上がるんだ……
杏,豆知識を披露してる場合か！
森久保NONO,疲労はしてますけど
杏,うるさいな！はい水！
干し輝子,あ、ありがとう……
森久保NONO,もりくぼも芸能界から干されたいです……
杏,そういう話じゃないから！。2人とも、そんな状態でお仕事できるの？
森久保NONO,み、美玲ちゃんが頑張ってくれるはずです……
干し輝子,リーダー……だからな……
杏,かわいそうだな……
早坂美鈴,うーっす、ってノノ、ショーコ、元気ないぞ？
杏,お前もか！！！！！。耳に残ってるんだけど。誰……？
松永漁,お！ちょうどよかった！杏、漁にでも行かないか？
杏,喫茶店に誘う感覚で海に駆り出さないでくれるかな！？
松永漁,小耳に挟んだんだけど、今、世の中でイカが流行ってるらしいんだ
杏,それたぶん違うイカだよ。2のやつ
松永漁,で、イカ漁ってどうやってやるんだ？
