・作中に原作には無い設定が出てきますが、御容赦ください,例、携帯電話など
後藤,はあ……私が海軍に出向……ですか
福島,不服かね？
後藤,課長、エイプリルフールはとうに過ぎておりますが……
福島,これは冗談ではない、この通り、正式な指令書もある
後藤,はあ……しかし、畑違いの私が軍に行ったところで、物の役に立たないでしょう？
福島,ともかく、君は日本海軍鹿屋基地の艦娘の提督として配属される事となった
後藤,……はぁ
福島,復唱したまえ
後藤,ハッ！後藤喜一警部補、命令により、日本海軍鹿屋基地に出向いたします！
福島,……うむ。これは私の独り言だが……
後藤,……
福島,今回の出向の件、私は大いに疑問を持っているよ
後藤,はぁ……
福島,出来るだけ上の意向を調べてみよう
後藤,はい
福島,君の後任人事については任せる
後藤,ハッ！では、後藤、退出します
南雲,それで、ほいほい引き受けちゃったって訳？。それにしても、艦娘ねぇ……
後藤,……。その事だけどね、しのぶさん
南雲,なぁに？。わかったわ、連絡は取ってみるけど、あまり期待しないでよ？
野明,あっ！来た！
太田,隊長！海軍に出向とは本当でありますか！？
後藤,なんだなんだ、これしきの事で騒いで……それにしても耳が早いね～
篠原,すみません、実家のツテで偶然聞いてしまいまして……。それで、後任の隊長は誰になるんスか？
後藤,それなんだがな、熊耳に頼もうと思ってる
熊耳,私ですか？
後藤,復帰したばかりのトコ、悪いが、第二小隊を守ってやってくれ
熊耳,ハッ！熊耳武緒、第二小隊隊長職を拝領します！
後藤,うんうん、気楽にな
野明,でも、それだと二号機のバックアップが空きますよね？誰がやるんですか？
後藤,あ～……それな～……悪いけど、進士、頼むわ
進士,えっ！？ボ、ボクですかぁ！？
太田,何だ！進士！俺のバックアップが不服か！？
進士,い、いえ、そういう訳では……
後藤,熊耳もいるし、そう気を落とすな
進士,は、はい……
篠原,それで、隊長は何処にさせ……あ、いや、配属になったんですか？
後藤,気を遣わなくていいよ、ホントに左遷みたいなモンだから
篠原,は、はあ……スンマセン、それで、何処の基地へ？
後藤,鹿屋基地だ
野明,鹿屋？
山崎,鹿児島県の、大隅半島にある基地でしたね
野明,そっか、ひろみちゃん、沖縄出身だから近いね
熊耳,遠いわね……
篠原,それにしても、隊長、今度はあの深海棲艦？ってヤツをあいてにするんですか？
野明,一回、東京湾にはぐれて来たやつとやりあったよね、あの深海魚みたいなヤツ……
篠原,通常兵器が効かないってホントだったんだよなぁ……
野明,結局、あの時は水中用レイバーまで動員して何とか湾の外に追い出したんでしたっけ
一同,ハッ！
太田,ﾌﾞﾂﾌﾞﾂ
後藤,とか思ってんだろうなぁ……俺がいなくてだいじょぶかね？この隊は……
南雲,遅いわね、環生……
後藤,ま、こちらが無理言って来てもらうんだから、忙しいんでしょ、陸自も
南雲,あ、来たみたいね
不破,遅れてゴメンね、しのぶ、それでこちらが……？
