モバP,ちひろさんて弱点あるんですか？
千川ちひろ,え、なんですかいきなり
P,いや、色々巷で噂を聞きますので
ちひろ,あ、あの事かな…隠すつもりは無いんで言っとこうかしら。う～ん、弱点というか苦手なものはありますね
P,へぇ～なんです？
ちひろ,他の人は言わないでくださいよ…。……忍者です
P,え忍者？
ちひろ,そうです
P,あの手裏剣とかの？
ちひろ,ちょっと違います。諜報とかの方のです
P,マキノとかかな
ちひろ,マキノちゃんは全然苦手じゃないですよ
P,じゃああやめ
ちひろ,もっと苦手じゃないです
P,平気じゃないですか
ちひろ,そう言われましても現在進行形で困ってます…
P,どう困ってるんですか？
ちひろ,一応私、ドリンク工場持ってるんですけど
P,ふむ
ちひろ,すぐ見つかるんですよ…その…諜報員に
P,工場なんて大きいですし、そりゃそうですよ
ちひろ,小さい工場もすぐ見つかりました。四畳半ですよ？
P,いったい何作ってんですか？
ちひろ,エナドリですけど…。ここの事務所だって既に攻略されてるんですよ
P,忍者なんて居たかな…
ちひろ,ほら来た…
P,来たって…Yのおばちゃんじゃないですか…。いつもありがとうございます。2本で140円で
Y,ありがとうございます。また来ますね
ちひろ,私が引っ越ししても引っ越ししてもすぐ営業に来るんです…山奥や海底・月面に引っ越ししても来ましたし…罠にも引っかからない…
P,良いじゃないですか…Y美味しいですし
ちひろ,……。現代の忍者は苦手です…
