アベンジャーズ,というよりキャプテン・アメリカ
花陽,うぅ……どうしよう、皆とはぐれちゃったよぉ……。ライブが終わって気が抜けてたのかなぁ……これじゃあ穂乃果ちゃんのこと言えないよぉ……。地図見てもチンプンカンプンだし、誰かに聞こうにも英語なんて話せないし……。ど、どうしよう……
ＮＹ不良１,おい、見てみろよ！あの子、昨日ライブしてた子じゃねえか？英語
ＮＹ不良２,あー、あのイケてるライブした子達だな。スクールアイドルって言ったか……英語
ＮＹ不良１,キョロキョロしてんなぁ。もしかして道に迷ったか？英語
ＮＹ不良２,μ’ｓとかいう仲間もいないようだしな。そうかもしれねぇ英語
花陽,な、何だか怖そうな人達がこっち見てるよぅ……。し、視線を合わせないようにして、離れよう……！
ＮＹ不良１,おい、待ちな！英語
花陽,ﾋﾟｨ！！
ＮＹ不良２,迷子なんだろ？仲間んとこまで案内するぜ英語
花陽,ｱ、ｱｲ、ｷｬﾝﾄｽﾋﾟｰｸｲﾝｸﾞﾘｯｼｭ、ですぅ
ＮＹ不良１,ホワッツ？ボソボソ話してても、なんて言ってるか分からねーぜ英語
ＮＹ不良２,あのライブしてたのってあっちだろ？ほら、こっち来な英語
花陽,そ、袖引っ張られてるよぅ……どこかに連れてかれちゃう……！。ﾀﾞ、ﾀﾞﾚｶﾀｽｹ―――
？？？,―――待て！
花陽,―――ﾃ?
？？？,お前達、その手を離すんだ英語
ＮＹ不良１,だ、誰だ、てめぇは英語
ＮＹ不良２,おれらはこの子を彼女の
？？？,彼女が嫌がっているだろう。あと一度しか言わないぞ。その手を、離せ英語
ＮＹ不良１,いきなりしゃしゃり出てきて、うるせぇんだよ！英語
ＮＹ不良２,やっちまえ！英語
花陽,きゃああ！！。ふ、二人して殴りかかって……。だ、だめ……！
？？？,―――警告はしたぞ
花陽,―――それは、ほんの一瞬の出来事でした。私は必死に不良さんの手を引っ張るけど、少しも止まらなくて。アメリカの不良さんが二人がかりで、男の人に殴りかかって。次の瞬間には、不良さんが後ろの歩道まで吹き飛んでいました。へ……
？？？,大丈夫？怪我はないか？英語
花陽,あ、えっと……
？？？,あー、日本人、かな？これならどうだ英語。僕はスティーブ・ロジャース。怪我はないかい、お嬢さん？
花陽,に、日本語だ……。だ、大丈夫です。ありがとうございます
スティーブ,それは良かった。ここら辺はどうやら治安が悪いみたいだ。あっちの大通りに行こう
花陽,は、はい……！
スティーブ,ハナヨ・コイズミ、か。可愛らしい名前だ
花陽,あ、ありがとうございます……えと、その、スティーブ、さん……
スティーブ,そう、硬くならないでくれ、ハナヨ
花陽,は、はい……！。男の人と一対一で話すなんて、あまり経験ないから緊張するよぅ……
スティーブ,ははは……緊張しっぱなしだな。それにしても案内を買って出たのは良いが……。っと、こっちは行き止まりだな。すまない、まだ今のニューヨークに慣れてなくて
花陽,だ、大丈夫です！むしろ大助かりです！
