鬼瓦慎吾……呉羽ＦＣ,ファンクラブ
夕子,その前に一緒に交番に行こうぜ？
山田,べ、別に交番に用なんかないだろ……
夕子,いーや、あるね。幼馴染があたしを洗脳しようとしてんだぜ？ちょっとお巡りさんと相談くらいしたっていいだろ？
山田,やめろ！俺はお前を洗脳して変なことする気なんて毛頭ない！ただ俺の洗脳マシーンで、人はどこまで言うことを聞くのか試したいという純粋な知的好奇心が！
夕子,うるせえサイコ野郎！あんたは一度冷たい監獄の中で、良識とは何かを考えてこい！あ、ちょうどパトロールしてるのがいた！おーい！
警察,ん？どうかしたのかい？
山田,いえ、別に何も問題はありません
夕子,実はこいつが洗脳マシーンとかいう物騒な代物を作ったそうなんです！
警察,いや、別に何も問題はないよ。それより洗脳と言えば、最近怪しげな宗教団体に洗脳されてどこかに消え去る集団失踪事件が起こっているから気をつけるんだよ
夕子,いや、大問題でしょーが！その犯人こいつかもしれないし！だめだ、別のお巡りさんのとこに行こう
山田,お前は実験に協力したい
夕子,あたしは実験に協力したいんだ。ほら、さっさとあんたの研究所に行くぞ！
山田,なんてすばらしい性能なんだ。実験に協力してくれて感謝する。これが今回発明した洗脳マシーンオビディエンスだ
夕子,なんだ、洗脳マシーンってこの銃みたいなやつか……。てっきりもっと大きな装置かと
山田,試行錯誤の末、持ち運びが可能なまで縮小することに成功したのだ。相手に照準を定めて引き金を引きながら、マイクに向かって指示を出す。そうすると相手は指示した通りに思い込んだり、行動したりするという優れ物だ
夕子,……。もしかしてこれ、さっきあたしに使ったか？
山田,いや、俺は使ってない
夕子,いや、お前は使ってない。疑って悪かった。それより今日はどんな実験をする気なんだ？
山田,今日お前に協力してもらうのは、指示が対象者の能力を超えたものであっても通るのかどうかという実験だ。今回の英語の期末テスト、お前何点だった？
夕子,……言いたくない
山田,お前は英語の期末テストの点数を言う
夕子,あたしは英語の期末テストの点数を言う。１２点だ
山田,ひどいな。本当にひどいな
夕子,う、うるさいな！それと実験になんの関係があんだよ！///
山田,大いにある。今から俺は、英語が苦手なお前を洗脳する。一日でこの大量のテキストを読み込み、TOEICの過去問で高得点が取れれば実験は成功だ
夕子,は？！これを一日で全部読めって言ってんのか？！できるかそんなこと！
山田,できる。お前は英語が得意だ
夕子,できる。あたしは英語が得意だ
山田,お前は明日、TOEICの過去問で高得点を取る
夕子,あたしは明日、TOEICの過去問で高得点を取る
山田,とりあえず、お前は読め
夕子,とりあえず、あたしは嫁
山田,……？このテキストを読むんだ
夕子,あたしは嫁。山田賢太郎の嫁///
山田,？！ち、違うぞ！お前は俺の嫁なんかじゃないぞ？！む……なんかオビディエンスの調子が……
夕子,……大好き///
山田,さ、最悪だ……。最悪のタイミングで故障しやがった……。修理に必要なパーツを取り寄せるのに１週間だと……？１週間もこいつは……
夕子,……今、目が合ったな///
山田,こいつは俺の嫁だと思い込んでるだと……？
夕子,目ぇ逸らしちゃって……。照れ屋かコイツぅ♡
山田,……。なぁ夕子
夕子,なあに、ケンちゃん？
山田,時計見てみろ。もう８時だな
夕子,まだ、８時だな
