ミリＰ(以下Ｐ),シアター組総勢37名大型ライヴ！皆お疲れ様！
全員,お疲れ様でしたーっ！
Ｐ,大成功おめでとう！一時はどうなるかと思ったけど、手を取り合い励まし合っての素晴らしいステージだった！だから今回、ライヴ成功を祝し、大会場を借りてパーティを開かせてもらった！皆、今日は思う存分楽しんでいってくれ！皆飲み物は手に取ったか？それじゃ、乾杯！
全員,かんぱーい！
Ｐ,社長、音無さん、本当にありがとうございました
社長,このライヴの成功は私の力でなく、君達のものだ。ここまで頑張ってくれた事を心から感謝するよ
音無小鳥,お疲れ様でした。これからも彼女達の面倒、宜しくお願いしますね
Ｐ,はい！
社長,あぁ、それとキミ？私の出し物の時間、取ってあるかね？
Ｐ,もちろんです！そろそろ時間ですので、ステージへどうぞ
社長,おぉそうかそうか！私もこの日のために色々練習してきたのだよ～！。いやいやー！アイドル諸君、パーティは楽しんでいるかね？そうかそうか！どれ、私も一つケーキを....。おっと！フォークが花に変わってしまったぞ！。おや？花が.....今度はステッキに変わった！
小鳥,社長、楽しそうですね～
Ｐ,音無さんは何の出し物をするんですか？
小鳥,それは後のお楽しみです♪プロデューサーさんは？
Ｐ,俺は全員分のプレゼントを買いました。財布大分軽くなりましたけど...
小鳥,うふふっ、皆喜んでくれますよ
Ｐ,だといいです
社長,手品はこれでおしまいだ！アイドル諸君、引き続きパーティを楽しんでくれたまえ！
高坂海美,いやぁホントにトラブルもなく成功してよかったよね
ジュリア,あぁ、37人もいるから心配で仕方なかったな。年齢もバラバラだし
中谷育,でも楽しかった！
ジュリア,成功して良かったな
育,えっへへ♪
Ｐ,よし、それじゃあ名前順に渡していくからな～。並べ並べ～
永吉昴,おいジュリア、名前順だぜ？ぷうちゃんの方じゃないのか？
ジュリア,だから！その名前で呼ぶなって！ったく亜美のヤロー....にしてもパーティぐらいもっと女らしい恰好で来いよ
昴,仕方ないだろ～、こういうのしかないんだし...
Ｐ,ほい、まつりにはこれな
徳川まつり,今開けてもいいのです？
Ｐ,いいよ
まつり,わぁ！漫画セットなのです～！これ欲しかったのです～！
昴,オレの番か
Ｐ,昴にはコレな。今開けてもいいんだぞ？
昴,サンキュ！いや、家で開けるよ。今開けるとプレゼントの張り合いみたいになっちゃうしさ
Ｐ,それもそうだな。よし、次は百合子だ！。百合子には～....あのシリーズの最新刊だ！
百合子,あっそれもう読みました
Ｐ,ぎぃぃえぇぇぇぇぇぇ！？！？！？。ロコで最後だな。ロコには......ベリーロコナイズなリボンだ！
ロコ,やったー！ベリーキュートです！ありがとうございますプロデューサー！
Ｐ,よし、プレゼントはこれでお終いだ。引き続きパーティを楽しんでくれ～
全員,はーい！
Ｐ,さて、俺の出し物も終わりましたよ。次は音無さんですね
小鳥,ついに来たわ......この日のために用意してきたんだから...
社長,あぁっと二人とも、ちょっといいかね？
Ｐ,どうしました？
社長,たった今BBSの方から連絡が来てね、ちょっと本社に向かおうと思ってる。だから席を外すよ
Ｐ,俺が行きます
社長,いや、君はここにいてアイドル達の面倒を見たまえ。それじゃ行ってくる
Ｐ,すみません...お願いします
小鳥,残されたのはプロデューサーさんと37人のアイドル達...！
育,なんだろ？
最上静香,大本命...何や良からぬ予感がするけど...一体何かしらね
舞浜歩,なんかしょうもないのが始まる気がする...
全員,王様ゲームゥ！？
Ｐ,へー、盛り上がりそうだな。楽しくやれよー。あっ音無さんすいません、一旦席外していいですか？
小鳥,はいどうぞ
ジュリア,くっだらな、あたしはやらないからな
歩,アタシもパスでいいかな
所恵美,えー？面白そうじゃん！やろーよ！
ジュリア,いやいや、そんなもっと楽しめるのあるだろ。ボードゲームとかトランプとか
大神環,王様ゲームってなに？
百合子,クジを引いて、王様になった人が命令して、それに従うって遊び
環,面白そー！
北沢志保,なんのメリットがあるんですか...
伊吹翼,でも女の子同士じゃ面白くなくない？ドキドキするからこそ王様ゲームで...
恵美,皆やんないのかぁ。フツーに楽しめると思うんだけど
まつり,なのですー....
志保,私はライヴの余韻に浸りたいので
全員,参加します！！！
ジュリア,あ、あたしはどーしよっかなー！？でもこれをやらなきゃー！？ロッカーじゃないしー！？
歩,アタシもそんな気がしてきたー！？
恵美,二人とも素直になりなよ～
Ｐ,戻りましたー
天空橋朋花,プロデューサーさんも参加するんですか？
Ｐ,王様ゲーム？いや、しないけど
環,おやぶんするらしいよ
Ｐ,ちょ、ちょっと音無さん！俺も参加するんですか！？
小鳥,決定事項です
Ｐ,なら仕方ない
全員,やるんかい！
Ｐ,アイドルが遊んでるところを観察して、仕事に繋げられたらなって
北上麗花,面白くなりそう
春日未来,あれ？志保ちゃんも静香ちゃんもやるの？以外だね
志保静香,やっちゃダメなの！？
未来,うえっ....えと.....ごめんなさい.....
小鳥,プロデューサーさん、一瞬耳を塞いでてもらえますか？
Ｐ,はい
小鳥,全アイドル、プロデューサーさんとゲームをしてもらいます
全員,神！！！
小鳥,これは王様ゲームなどという生ぬるいものではありません！全て私の権力下！つまりこれは....。絶対君主ゲームです！
全員,絶対君主....！！
Ｐ,終わりました～？
小鳥,終了のジェスチャー
Ｐ,何を言ったの？
未来,え、えーっと、プ、プレゼント貰えて嬉しかったかー！って！
Ｐ,そうか、皆喜んでくれて何よりだ。37人もいるから王様の倍率が相当に高いな
小鳥,時間短縮のためにやる項目や人はこのモニターのルーレットで決めます！
Ｐ,それじゃ王様関係ないんじゃ....でも助かります。無理難題を押し付けられたら困るし
未来,無理難題って、例えばなんですか？
Ｐ,例えば....仕事を100個取って来いとか
志保,さすがにそんな外道はいません...
小鳥,それでは早速始めていきますよ。皆さん準備はよろしいですか？
全員,はいっ！！
Ｐ,わぁ、本番前より張り切ってない？そんなに楽しみなのか...若い子の気持ちはわからないなぁ
小鳥,ルーレットスタート！
Ｐ,早速俺か！とてつもない引き運だ
未来,き、来た！私！
Ｐ,えーっとこれは？
小鳥,もちろんプロデューサーさんが相手です
Ｐ,マジですか。耳元でささやく......何を？
小鳥,それは甘い台詞です！台詞はこちらがご用意致しました！
未来,あ、あの！お手柔らかにお願いします！
Ｐ,うん？あぁ、お手柔らかに....？
小鳥,それではスタート！
Ｐ,この台詞を未来の耳元で言えばいいんですね.....よし。......俺の女になれよ
未来,ひぅっ！？///
Ｐ,未来の驚いた顔....好きだぜ
未来,うぅ～///
静香,スゴイ....未来、耳まで真っ赤よ
横山奈緒,聞こえへん！この距離全然聞こえへん！
朋花,いくら払えば聞けるのでしょうか？
馬場このみ,朋花ちゃんストップ
Ｐ,やっべぇ、歯が浮くようなセリフだ...自分で言っててキモイ....。未来はこれで喜んでくれているのだろうか...？
未来,あっ.....あぁ....///
Ｐ,メッチャ喜んでる...こうなったらトコトンやってみるか...神よ、俺に自信を与えたまえ。未来....俺、お前のこと愛してる...
未来,うぅ....もっとぉ....もっとくださぁい...///
翼,誰か盗聴器持ってない！？
高山紗代子,き、気になるっ！
Ｐ,そのトロけた顔....ずっと眺めていたい...
未来,ら、らめぇ....///
Ｐ,未来、結婚しよう
未来,溢れちゃうぅぅぅぅぅぅ！///
全員,何が何が何が何がぁぁぁぁぁ！？！？！？！？
未来,は、はへぇ～～～///
Ｐ,おぉ未来大丈夫か！？未来――ッ！
小鳥,至急搬送
看護班,えっほえっほ
育,看護はっやーい
ジュリア,簡単に未来を落とすとは...
百瀬莉緒,プロデューサー君....恐ろしい子！
全員,次は誰だ！！
小鳥,お次は～！
Ｐ,また俺！？
エミリー・スチュワート,来ました！
Ｐ,手相なんてわからないんですが
小鳥,図鑑がありますので
エミリー,助かります！
Ｐ,えーっとまずは俺が見られる方かな？
エミリー,はい。では仕掛人様、お手を
Ｐ,どうぞ
エミリー,...。大きな手....頼りがいがあって逞しくて....
Ｐ,エ、エミリー？手相を見てくれないか？ずっど握られてるの恥ずかしいんだが...
エミリー,What！？も、申し訳ありません...///。...えっと、これが生命線ですね。長生きできそうです
Ｐ,本当に長生きできればいいけどな
エミリー,はい、お体には気を付けてくださいね♪。あとはユーモア線と.....KY線？
Ｐ,げっ！？KY線あるの！？
エミリー,いえ、本を見るとないみたいですが...仕掛人様、KYとは何でしょうか？
Ｐ,KYってのは空気読めないの略語。ごめんな、変な言葉作っちゃって。日本国民として謝るよ
エミリー,いえいえ！空気を読めない....また新しい日本語を学べて感激です！
Ｐ,今度は俺がエミリーの手相を見る番だな
エミリー,はいっ、それではお願い致します
Ｐ,お～、やっぱり綺麗な手だな。それに俺と違って柔らかくて...
エミリー,...///
Ｐ,おっと？どうして手を引っ込める？.....あっ、もしかして嫌だった？
エミリー,い、いえ！その.....恥ずかしかったので....///
Ｐ,俺だってさっき恥ずかしかったんだぞ？こんな可愛い子に手を握られるんだからな
エミリー,.....仕掛人様はいけずですっ.....///
Ｐ,いけずって....さては貴音から習ったな.....おっ！エミリーも生命線が長い！
エミリー,本当ですか！
Ｐ,ほら、俺のも見てみ。偶然に同じ長さだ！二人とも長生きだな！
エミリー,........。きっとこの生命線は、仕掛人様と共に生きて行けという意味だと思います...
Ｐ,エミリー.....
エミリー,お慕いしています...仕掛人様....いえ、Ｐ様...。....なんて
Ｐ,おー、これが金運線か！金持ちになるぞ～
エミリー,言えませんよね.......ﾊｧ
Ｐ,結婚線は一本だな！
エミリー,結婚！？
全員,何ィ！？
