湊友希那,今日の練習はこんなものかしらね
氷川紗夜,……
今井リサ,じゃあさ、この後どっか寄ってかない？
宇田川あこ,いいですね！あこクレープ食べたい！りんりんもいこいこ！
白金燐子,……うん、私も、行きたいです
リサ,じゃあ決定だね！
友希那,ちょっとリサ私は行くとは……
リサ,まあまあメンバーの親交を深めればもっと演奏にも連帯感が生まれると思うよ？
友希那,はぁ、仕方ないわね……
リサ,よっし！紗夜も行くでしょ？
紗夜,……
リサ,さーよー？
紗夜,えっ？ご、ごめんなさい今日は少し用事があるの
あこ,えー！？紗夜さん来れないんですか！？
紗夜,今度埋め合わせはしますから……、今回は私抜きで行ってきてください
燐子,……残念です
リサ,うーん、用事ならしょうがないかぁ
紗夜,それでは私はもう行きますね。お疲れ様でした
友希那,……紗夜、随分と急いでいるようだったわね
リサ,大事な用事だったのかな……
紗夜,ふう、少し遅れてしまったわ……。もう集まっているかしら……
さーないと,紗夜
アリス,大丈夫ですよー私も今きたばっかなんで
もかぱん,じゃさっそくいきますか！
やま殿,フルエール氷山のイベからやりましょ！
さーないと,わかったわ
紗夜,あの一件以来なんとなくほかのネトゲをやったらドハマりしてしまったなんて口が裂けても言えないわね……。フレンドもいい人ばっかりだし、なにより全員バンドをやってるらしい。だから話も弾んでいっそう楽しくなってしまったわけだけど…………
さーないと,アリスさんも練習だったんですか？
アリス,そうなんですよーみんなで練習してスゲー楽しかったです！あいつら今日も…………
紗夜,相変わらずアリスさんはバンドのメンバーが大好きみたいね。現実ではさぞかし素直で明るい人なんでしょう。ジョブは魔法使いで魔法での攻撃はかなりの威力を誇り、デバフでの援護能力も高い
もかぱん,あたしは今日はバイトでした！帰りにまたパン買っちゃいました笑
やま殿,私は今日はオフだったので楽器店巡りを……
紗夜,もかぱんさんはハキハキとしていて、……たぶん今井さんのような人なのでしょう。あとパンが好きみたいですね。ジョブは剣士。攻撃力、防御力ともにバランスよく上手く立ち回ってくれるわ。魔法が効きにくい相手には物理攻撃での無類の強さを発揮する。やま殿さんはおしとやかで女の子らしい印象があるわね……。おそらく優雅に微笑む顔が似合うような……、白鷺さんのような人なんでしょうね。ジョブは僧侶。回復だけでなくバフも使い状況をみてサポートしてくれるわ。盾役の私はとくに彼女のお世話になることが多いわね。さて、集中しなくては……
アリス,よしっ！これでクリアですね！
もかぱん,お疲れ様でした！
さーないと,…………！？このマークは……！！
やま殿,出現率５％のレアクエストですよ！
もかぱん,やるだけやって無理なら撤退するかんじにします？
さーないと,そうですね。幸い乱入クエストは撤退してもペナルティがありませんし……
アリス,よし！やってやりましょう！
やま殿,アリスさん！
アリス,わかってる！
さーないと,任せてください！。受けきれなくもないですが三分の一ほど持っていかれますね……！
☆アリス☆,これは後衛なら一発でアウトだな……。
やま殿,このままだとジリ貧です……
もかぱん,いっくぞー！。バフ＆デバフでこのダメージかぁ……
アリス,魔法ならどうだ！？
さーないと,どうやら魔法が弱点らしいわね
アリス,じゃあガンガンいくぞ！。なんとかここまで削れた！けどっ！
やま殿,もう満身創痍でこちらはギリギリです！
さーないと,有効打であるアリスさんの攻撃でもあと五発……
もかぱん,でも、残りHP的には三発が限界ってとこですよね……
さーないと,くっ……。ここまできて諦めるしかないのでしょうか……。ここで痛恨の一撃……！！スキルでなんとか耐えましたが……
やま殿,……まずいですね。魔法が打てるのもさーないとさんが攻撃を引き受けてくれることありきですから……
もかぱん,これじゃあと一撃すら耐えられない……！！
アリス,万事休すか……
一同,っ！？
アリス,……これなら！
もかぱん,いやー助かりました！
さーないと,ありがとうございました
やま殿,ありがとうございます！
アリス,ありがとうございます！なんとか勝てました！
CANNON,いや、大したことしてないですよ(笑)力になれたのなら何よりです！
やま殿,というかCANNONさんそのジョブ……
さーないと,侍ですよね？
アリス,侍って転職できるようになるまでめっちゃ難易度高いよな！？
もかぱん,はじめて見た……
CANNON,よければフレンドになりませんか？？
さーないと,こちらからお願いしたいくらいです
やま殿,すごい方とフレンドになってしまった……
もかぱん,じゃああともうちょっとだけ
アリス,みんなでクエストいきますか！
さーないと,そろそろ落ちますね。みなさんお疲れ様でした
やま殿,お疲れ様でした！
アリス,お疲れ様です～
もかぱん,乙です！
CANNON,またやりましょう！
紗夜,ふぅ、あっという間にこんな時間になってしまったわ。……日菜からのメールがすごいわね。早く帰りましょう。ただいま
日菜,あー！やっと帰ってきた！おねーちゃん遅い！
紗夜,ごめんなさい。少し用事があったのよ
日菜,んー最近多くない？まあ特番の時間に間に合ったからいいけどさー。早くリビングきてね！
紗夜,はいはい。わかったわ
日菜,おねーちゃんこっちこっち！隣座って！
紗夜,たしか無人島特番の第二弾だったわよね。……本当にパスパレはアイドルなのかしら
日菜,あはは！たしかに最近は芸人アイドルとか言われたりしてるらしーよ
紗夜,丸山さん体張ってますからね……
日菜,でも今回も楽しかったよー！大自然の中じゃないと味わえないからね！るん♪ってきちゃったもん。あっ！はじまった！おねーちゃん見て！あたしたち映ってるよ！
紗夜,それはそうでしょう。まったく……。……でも。こんなひとときも最近は悪くないと思っている自分がいる。少しずつ変わることができているのだろう……
日菜,ここ！彩ちゃんすごかったんだよー！。あー面白かった！
紗夜,まさかバンジージャンプまでするとは……。丸山さんも大変ね……
日菜,じゃああたしお風呂入ってくる！
紗夜,いってらっしゃい。さて、勉強しなくては……。こんなものかしらね。……。少しだけ……。そうよ。新しい装備の確認をするだけだから……
日菜,おねーちゃん！お風呂あいたよー！
紗夜,ひゃう！
日菜,あれ……、なんかまずかった……？
紗夜,いえなんでもないわめっちゃ大丈夫よ。……それよりも入るときはノックをしなさい
日菜,ごめんごめん。次から気を付けるね！
紗夜,まったく……。じゃあお風呂に入ってくるわ
日菜,いってらっしゃいー。……うーん。なんか最近怪しい……。こういうときは……。最近帰りも遅いしてっきり羽沢珈琲店に行ってるのかなーって思ってつぐちゃんに聞いてみたけどたまに来るくらいって言ってたんだよー。おねーちゃん一体なにしてるんだろう……。リサちーわかる？。それはないね。中学生のときなんか告白してきた男子はみんな交際の必要性について質問攻めにされて泣かされてたからねー。うーん、でも心配なことにかわりはないよ。そこが可愛いとこでもあるけどね！そうだ！。リサちーにお願いがあるんだけど…………
紗夜,ではこれで失礼します
リサ,このパターンは！。日菜にメールをっと……
日菜,リサちー！
リサ,おっ！きたきた
日菜,じゃあ……
リサ,れっつ尾行！
紗夜,……
日菜,ここは……
リサ,ネットカフェ？？
日菜,とりあえず変装して潜入しよう！
リサ,なんとなーく予想がついたかも……
紗夜,今日はどのクエストをうけようかしら……。……その前に飲み物を取ってきましょうかね
日菜,変装。鉢合わせちゃったよ！で、でもまあばれない……よね……？
リサ,変装
紗夜,…………え？
リサ,あ。……で、あのあとやり残したクエストをやっていたらすっかりネトゲにハマってしまったと
紗夜,……はい。心配をおかけして申し訳ありません……
リサ,い、いや！いいっていいって！
日菜,そんな面白そうなことやってたんなら教えてくれればよかったのにー
紗夜,なかなか言い出せなくて……
リサ,まあ紗夜の性格的にあのまま終わらせられないって予想はついてたけどね。あこたちに言ったら喜んで一緒にやりましょう！とかいうだろうなー、でも悪い変化ではない……かな。あの紗夜がいろんなことに興味を持つのは
紗夜,フレンドのみなさんもいい人ばっかりで……。今度オフ会をやるという話になったんです
リサ,い、いやいや！それはダメ！。悪いことだったよ！無駄に好奇心旺盛なところは日菜とそっくりだね！！
紗夜,？？なぜですか？
リサ,だってネットでしか知らないんでしょ？どんな人か分からないじゃん！。日菜もなんか言ってやってよ！
日菜,んー、あたしはそんなダメとは思わないけどなー。だっておねーちゃんが興味をもって会いたいって思ったんでしょ？その気持ちなんとなくだけどあたしもわかる気がする。でもリサちーの言うことももっともだし、当日はあたしが見守ってるからいざとなったバーンっておねーちゃんを助けてあげるね！
紗夜,日菜……
リサ,はぁ、わかったよ……。日菜だけには任せらんないからアタシも行くよ。ただし！危なくなったらすぐに帰るからね！
紗夜,今井さんも……。ありがとうございます。そうですね……。少し危機意識が足りなかったかもしれません。でも一度みなさんと会ってみたいんです。だから……。迷惑をかけてしまうかもしれないけれど当日はお願いします
日菜,迷惑なんかじゃないよ。おねーちゃんがあたしを頼ってくれて嬉しいから
リサ,乗り掛かった舟だしね！任せといて！
紗夜,本当にありがとう……
リサ,……へえ、紗夜ってそんな笑顔もできるんだ♪
日菜,そうだよ！おねーちゃんはすっごい可愛いからね！るんっ♪ってくるでしょ？
紗夜,か、からかわないでください！
リサ,照れてるー
紗夜,照れてません！。ほんとに……。私は恵まれてるわね……。ありがとう。ついにこの日がきてしまった……。それぞれ帽子を被って目印にしたけれど……。そろそろ待ち合わせの時間ね
日菜,おねーちゃん頑張れ！
リサ,ちゃんと見守ってるからね……！
紗夜,！！はいそうです！
市ヶ谷有咲,あっ、私アリスで……す……
紗夜,
有咲,
青葉モカ,あっ、あたしもかぱんでーす…………
紗夜,
有咲,
モカ,あれー？なんで紗夜さんと有咲が一緒に？じゃあここじゃないのかー
有咲,……いや、たぶんあってると思うぞ……
モカ,えっ？
大和麻弥,ジブンやま殿のハンドルネームでやらせてもらって……ま…す
紗夜,
有咲,
モカ,
紗夜,え、えっと……。CANNONさんは遅れてくるとのことなので……。なんというか……
有咲,いや……
モカ,これ……
麻弥,気まずっ！！！
有咲,じゃ、じゃあせっかくだしお店いきます？。いやマジでなんでこんなことなってんだよ……
モカ,そ、ソウデスネー
麻弥,た、たぶんお互いに聞きたいことはあるでしょうがとりあえず後にしますか……
リサ,えっ？どういうこと？えっ？。ひ、日菜これって……
日菜,???????
リサ,あの日菜がショートしてる……
紗夜,…………偶然にも私たちは同じゲームをしていて、そして偶然フレンドになり、オフ会を開いたと。……そういう認識でいいんでしょうか？
有咲,まず間違いなく……
麻弥,信じがたいですが……
モカ,でも有咲だいぶはっちゃっけてたよねー。ポピパ大好きなんだねー
有咲,ち、ちげー！
麻弥,それは正直無理があるっすよ有咲さん……
紗夜,……そういう青葉さんもずいぶんと性格が違うようでしたが
モカ,え゛っ、い、いやー、あははー
有咲,そ、そうだ！ごまかされねーぞ！ほんとは真面目なんだろ！？
モカ,モ、モカちゃんはいつだって真面目でーす
麻弥,もうやめましょう……。ジブンもおしとやかに振舞っていたフシもありましたし……。フ、フヘヘ……
紗夜,大和さん気をしっかり持ってください
モカ,でもこうして会えたのもなにかの縁ですよー
麻弥,そ、そうですね！こうなったらトコトン語りましょうよ！
有咲,もうどうにでもなれ……
紗夜,たしかにそれぞれバンドも違うことですし。いい機会かもしれませんね
モカ,あ、じゃあ紗夜さんにギターのこと聞きたいですー
麻弥,ジブンも有咲さんに聞きたいことあるっす！あの流星堂の機材って……
有咲,ああ、あれなら…………。そうなんですよ！香澄とおたえなんかいつもめちゃくちゃで！
