愛野渚,ハッピークリスマス、プロデューサーッ！
モバＰ,ハッピークリスマス、渚。えらくご機嫌だな
渚,今から大事な一戦があるからね。興奮するに決まってるよ
Ｐ,テレビ中継で、バスケの試合でもするのか
渚,違う、違う。試合をするのは、私とプロデューサーさッ！
Ｐ,……なんで？
渚,まず、プロデューサーにはお世話になってるから、今日のためにプレゼントを用意したんだ
Ｐ,おう、ありがとう
渚,けど、タダ渡すだけじゃ、面白くないでしょ？だから、私と１on１で勝てたら、その場であげる！
Ｐ,まあ、構わんが、俺が負けたら？
渚,そうだなァ……一緒に街をぶらついてから、あげることにしようか
Ｐ,勝てるイメージが浮かばないんだが……
渚,当然、負ける気はないよッ！ほら、早く行こう、プロデューサー！
相葉夕美,おはよう、Ｐさんっ
Ｐ,おはよう、夕美
夕美,ねぇ、Ｐさん、今日の夜は空いてる？
Ｐ,ん？あー、そうだなぁ、クリスマスなのに、すっかり空いてるよ
夕美,やった♪それじゃあ、一緒に見たいものがあるんだけど
Ｐ,見たいもの？
夕美,うん。今の時期しか、見れない植物なの
Ｐ,冬に見れる植物……思いつかないな
夕美,Ｐさんも、見たことがあると思うけどねっ
Ｐ,俺が？俺でも見たことがあるものなら、わざわざ見に行くものじゃ、ないんじゃないか
夕美,一人ならね。でも、それは一緒に見に行くものだから
Ｐ,……分からんなぁ
夕美,えへへっ、正解は――クリスマスツリーでしたっ！
Ｐ,え
夕美,予定、無いんだよね？楽しみにしてるからね♪
Ｐ,鈴帆、なにをしてるんだ？
上田鈴帆,ん、見て分からんね？着ぐるみの仕上げをしとーと
Ｐ,ずいぶん大きいのを作ったな
鈴帆,今宵限りの、特別製やけんね！気合ば入れて、縫うとるばい
Ｐ,今宵……ああ、クリスマスか！
鈴帆,その通りたい！みんなに、上田クリスマスをお見舞いしちゃるけん
Ｐ,あれ、それなら、俺が見るのはまずかったかな
鈴帆,Ｐしゃんなら、問題なかとよ。ウチと一緒に、みんなを笑わせるけんね！
Ｐ,……待て、俺も一緒って、どういうことだ？
鈴帆,くっくっく、そこが今回の着ぐるみのミソたい！
Ｐ,嫌な予感がするんだが
鈴帆,この特大着ぐるみは、二人で着れるように縫っとるとよ
Ｐ,あ、分かった。とりあえず、待て！その針の動きを止めろ！
鈴帆,――さあ、完成ばい！Ｐしゃん、二人で一緒に、爆笑の渦を作りに行くっちゃ！
Ｐ,勘弁してくれぇ！
大槻唯,ほらほら、Ｐちゃん、カンパーイ！
Ｐ,はしゃいでるなぁ
唯,クリスマスだもん、はしゃがなきゃねー☆
Ｐ,まあ、それもそうだが
唯,でしょ？ゆいと一緒に、テンション上げてこー！
Ｐ,ああ、ちょっとくらい、羽目を外すか
唯,そうだ、そうだ。羽目を外して、ゆいとハグしちゃおう！
Ｐ,ま、まあ、それくらいなら
唯,そのままクリスマスデートだー☆
Ｐ,ん、ん……ギリギリセーフ？
唯,夜はお持ち帰りしちゃえ！
Ｐ,羽目を外しすぎだ！
唯,もう、ジョークだってばぁ。あ、でも、デートはオッケーなんだよね？
Ｐ,え、あー、それは
