この質問もいまさらに思い返してみれば、ぼくはどうして,世界に取り残される
飲み込んだ言葉の代わりに,何をするんだ？
しばらくじっと見ていると、アカリが,トオルさんも、いかがですか？
だから、ぼくは,アカリはどう思うんだ？
そう聞いてみると、アカリは屈託のない笑みを浮かべて,わたしは、居心地がよくて好きですよ
ぼくが,さぁ、なんでだろうな
ぼくに気がつくと、なに食わぬ顔で,どこまで話しましたっけ
ぼくは久しぶりに聞く車のエンジン音にちょっとばかりの懐かしさを感じていたわけなんだけど、黙ってばかりってのもやっぱり耐えきれないものだから、アカリに,ここはきみの地元なのか？
アカリは,はい
少しばかり自販機を眺め回していると、アカリが,トオルさんは、何を飲むんですか？
ぼくは,夏だからな
アカリは,うどんやハンバーガーの自販機なんかもあるんですよ。知ってますか？
缶を開けたときの空気の抜ける音を聞きながら、,へぇ、知らないな
なんとなしに,好きなのか？
ぼくはそれに対して頭ごなしに,いいセンスだ
まるでぼくら、RPGゲームの主人公のような価値観になってきたな、なんて思いながら,似合ってるよ
アカリは相も変わらず肩で息をしながら,そうですね
助手席に座っているアカリが、おそるおそるというように,これからどうしますか
だから、なんとなしに,映画でも観ないか？
アカリは,ホラー以外ならいいですよ
そんなもんだから、映画を見終わった後に交わした感想なんてのは,映像の迫力がすごかったな
いろいろと話し合ってみたんだけど、そのうちにアカリが,一度くらい行ってみたいと思ってたんですよね
アカリが,トオルさんは、この世界のこと、どう思いますか？
少し、考えていたんだけどそのうちにアカリは,でも
だから、ぼくはなるべく胡散臭く、偽善者めいたような口調を込めて,どっちも大好きさ
ぼくはアカリに,どうせだし、ディズニーホテルってやつに泊まってみないか？
アカリはけらけらと笑いながら,いかがわしいことをするつもりでしょう？
そんな雑踏の中でもアカリの,ほら、何も私の思う通りになんてなってくれやしない
