四次元ポケット,ひのきのぼうならいくらでもはいる
絶対に折れないひのきのぼう,折れないぞ！
自在に動かせるひのきのぼう,登録した主人の思うままに動くぞ！主婦層に人気だ！
能力スキル一兎両断相手の攻撃を完全に見極めカウンターの一閃を放つ攻守一体の強力な技だ！,兎の幻覚がまだ見えてるぞ！
盗賊,ずっと荒野っすね
賢者,この辺りは治安が悪いから気を抜かないでね？
盗賊,そしたら、リアカーに平然と乗ってるあんたが見張っててくれないかな？
賢者,さてと…
剣士,師匠！！
勇者,ん？
剣士,ここ辺りは賞金首なる人間がいるらしいですよ
勇者,へぇ
剣士,賞金首を倒して路銀を稼ぎましょう！
勇者,なんかめんどくせぇな、ぱっと稼げる方法はないのか
賢者,あんたね、勇者なんだからもうちょい発言を考えなさいよ
勇者,この際、非合法の仕事でも稼げるならいいかなと思ってる
賢者,おい
盗賊,アニキ？なんか近づいて来ますぜ？
馬,ヒヒーン！！
勇者,馬？
カウボーイ,よう！！
剣士,？
カウボーイ,俺はさすらいの賞金稼ぎ、カウボーイさ。ここらではちょっと名が知れていてね
勇者,聞いてねぇよ
賢者,いったいなんなの？
カウボーイ,ほう、長年の感がビンビン感じるぜぇ？。貴様だ貴様！！
勇者,…
カウボーイ,その、汚い手を使いそうな鋭い眼…。野盗のように着崩した旅服…。貴様、賞金首だな？
勇者,節穴じゃねーか
盗賊,長年の感はどうした
賢者,言ってることはあながち間違ってないわね
カウボーイ,ふはは！賞金首は皆そういうのだよ！！
勇者,なんだその理論ッッ、逃げ道がねぇッッ！！
カウボーイ,決闘しろ！！
勇者,はぁ？
カウボーイ,決闘のやり方は知っているな？
勇者,なんだこいつ
賢者,相手してやったら？
勇者,他人事だと思いやがって…。よし、いいだろう
カウボーイ,ふ、そうこなくてはな。では…
勇者,は？
カウボーイ,カウントは5だ、いくぞ
勇者,戦闘中に背を向けるんじゃねーよバカ
カウボーイ,
賢者,だ、大丈夫なのこの人？
勇者,ほっとけ、どうせバカだ
剣士,さすがです師匠！！隙を見逃さない！！
盗賊,いいのか？それでいいのか？
勇者,なんか寂れてんな
剣士,まぁ、不毛の地って感じですもんね
勇者,まぁ、飲もうぜ
盗賊,いいっすね！
賢者,私は疲れたから宿で寝るわね
勇者,おう
～～パブ,酒場
勇者,じゃまするぜ
盗賊,なんかアウェー感がすごいっすね
剣士,よそ者を嫌う…か…
勇者,ちっせぇ奴等だなw。まぁ、飲もうや
マスター,いや、悪いね。雰囲気悪くて
勇者,気にしてねえよ、絡まれたら気がねなく金がとれるしな
マスター,え？
盗賊,気にしなくていいっす
マスター,あ、あぁ…
勇者,俺ら金に困ってるんだけどさ、なんかねぇか？
マスター,うーん、ここら辺は厳しい土地だからモンスターも少ないしね…。取り扱ってるのは悪い人間ばかりさ、賞金首ってやつだね
剣士,人を殺すのは後味が悪いですね
勇者,そうか？
盗賊,アニキ…！？
カウボーイ,こんなところにいたか！！
勇者,げっ…
盗賊,さっきの…
マスター,知り合いかい？
カウボーイ,よくぞ聞いてくれたマスター！！。俺たちは何を隠そう宿敵なのだ！！
勇者,おれの宿敵は魔王だっつの
マスター,あんたも面倒な奴に絡まれたね…こいつぁ…
カウボーイ,うるさいうるさい！！外野は黙ってな！！
盗賊,たしかに名が知れてるみたいっすね
勇者,悪い意味でかよ
カウボーイ,とにかく、あんたらは俺にロックオンされたんだ。
マスター,おいおい…喧嘩なら外で…
勇者,よーし、今日はこいつの奢りだ！！みんな飲むぞー！！
カウボーイ,はっ！。ここは！？
マスター,起きたかい？
カウボーイ,な、なんだこの紙は？
マスター,請求書だよ
カウボーイ,はひひひ…。どういうことだ！！
マスター,払わねぇなら殺すからな？
カウボーイ,つ、つけておいてくれ！
勇者,いやぁ、ただ酒よりうまいもんはないよな
盗賊,そっすね
剣士,しかし、そろそろ路銀も心もとないですよ
勇者,先立つものは金だよなぁ…
剣士,どうします？
勇者,うーむ…。あ？
町娘,なんか、目付き悪いわね
勇者,小娘に対してはな
町娘,は、そう。仕事を提供してあげようって思ったのにね
勇者,仕事？皿洗いならしねぇぞ
町娘,なかなか舐めた奴ね、いいけど。あんたたちに頼みたいのは賞金首の討伐
勇者,…
町娘,ギャンググループ、クロアリの親玉をやってほしいの
勇者,ギャンググループか…俺らの人数でやるのはきついな
町野,金ならたんまり出すわ
盗賊,あ、あにき…こいつが大金を持ってるとは…
勇者,よし、のった…！
盗賊,あにき！？
町野,そう、なら契約完了ね
盗賊,なんでこんな割りに合わない仕事を！？
勇者,お前さ、俺が勇者だって忘れてね？。《盗賊の》アニキじゃねえから
剣士,さすが師匠！！人助けですね！！
盗賊,絶対に裏がある…間違いない…。まぁまぁの規模っすね
剣士,３０…いや５０はいますかね
勇者,こりゃあ骨が折れるな…
盗賊,骨ですみますかね…
剣士,どう攻めます？
勇者,うーん、夜までまつか…でも宿に賢者待たせてるしな
盗賊,賢者つれてくれば上から大岩降らせて終わりだったんじゃ…
勇者,そうだな、ミスった
剣士,いえ！今日は私たちの力を見せつけてやりましょうよ！
勇者,それもそうだな。いけ、盗賊
盗賊,ふぁっ！？。むむむむむむむりっすよ！！
勇者,…
盗賊,！？
勇者,行ってこぉぉぉぉぉい！！！
盗賊,あああああああああああああああッッッッ！！
剣士,なるほど、囮作戦ですね
勇者,いや、暇潰し
盗賊,いてて…
ギャング,ん？
盗賊,あわわ…
クロアリ親分,どうした？。なにい？神さんが落っこちてきたんか？
盗賊,…
クロアリ親分,うーむ…あんた…神か？
盗賊,に、人間たちよ！！私が神だ！
勇者,盛り上がってまいりましたwwwwwwww
クロアリ親分,はーはっはっ！神が来れば百人力よ！！。勿論だ！！なぁ、神さんよ？
盗賊,く、苦しゅうない！
クロアリ親分,安泰だとよ！！はーはっはっ！！
盗賊,あ、アニキぃぃぃぃ！！そろそろ助けてくださいっす！！
クロアリ親分,あたぼうよ！！な！神さん！！
盗賊,苦しゅうない…
勇者,なんだ？あの格好…
剣士,どうやらこの地の先住民族が崇めている神の衣装ようですが…
勇者,神の服装かwwまぁまぁ似合ってるなww
剣士,盗賊らしいと思います！！
勇者,よし、じゃあ日も暮れてきたし、いったん帰るか
剣士,そうですね！盗賊も幸せそうですし
勇者,い！！
カウボーイ,こんな所にいるとは！！探したぞ！！
勇者,またかよ、三流
カウボーイ,な！家族ならまだしも私の侮辱は許さんぞ！！
勇者,普通逆だぞ
カウボーイ,成敗してくれる！！いくぞ！！ブラッディマリアンヌ号！！
馬,ヒヒーン！！
勇者,すげぇ名前だな
剣士,か、かっこいいッッッッ！！
カウボーイ,鉛弾をくらいな！！
剣士,し、師匠！！
勇者,大丈夫じゃね？
カウボーイ,はっ！！
勇者,…
カウボーイ,く！なぜ当たらないのだ！！。貴様！！何らかの力を持ってるな！？
勇者,そんな暴れ馬の上で銃口を安定させれるかっての
カウボーイ,は！！なるほど！！。とまれアークティクサイリウム…！！
勇者,ブラッディマリアンヌじゃねーのかよ
カウボーイ,よいしょ…
勇者,おらぁ！！
カウボーイ,
勇者,手こずらせやがって
剣士,さすが師匠！！背を向けた相手に容赦がない！！
勇者,はっはっは！知略的だといえ！！。げ、今の騒ぎを聞き付けられたな
剣士,ど、どうします！？
勇者,いったん逃げるぞ！！
剣士,はい！！あ、盗賊は！？
勇者,馬引きなら替えがきく！！
剣士,ですね！！
ギャング,なんだこいつ、倒れてるぞ？
カウボーイ,
勇者,なーっはっはっ！！俺の奢りだぁ！！
剣士,し、師匠！！お金は！？
勇者,え？あぁ、あいつの懐からパクってきた
剣士,今日はのみましょう！！
勇者,一発芸いくぜー！！。秘技・鼻からひのきのぼう！！。うぃ～ヒック
剣士,もー飲めませんねぇ…！
勇者,うぇっひっひ！！ひのきのぼう！！
町娘,ちょっと
勇者,？
町娘,なんでここにいるのよ。クロアリ親分は倒したの？
勇者,まだらけど？
町娘,ちょ！！あんた勇者なんでしょ！？
勇者,あーはっはっ！！天下無敵の勇者だぜぇ！！
剣士,な！なぜ勇者だと！？
町娘,最悪ね…お告げであんたに頼めばこの町は救われるって聞いたのに…。どうやら終わりのようね…
剣士,く、くわしく？
町娘,近々クロアリがこの町に大規模な襲撃をするそうなの。くわしくはわからないけどそれが明日ならもう終わりって話よ
剣士,そ、そんな…！！
勇者,だいじょおおおぶ！！おれがやってやる！！
剣士,師匠！！しっかりしてください！！
町娘,さよなら…
剣士,あ、ちょっと！！
勇者,うぃっく！！
剣士,師匠、路上でねないでくださいー！！
ギャング,はぁ…はぁ…はぁ…
カウボーイ,…。ッッッッ
クロアリ親分,どうだ？。…そうか。いい。おい、三流カウボーイ、起きてるか
カウボーイ,…
クロアリ親分,聞こえているだろう？。《シロアリのせがれ》よ
カウボーイ,…
クロアリ親分,シロアリのアジトはどこにある？
カウボーイ,
クロアリ親分,なに、難しいことじゃない。アジトを吐けばお前は助けてやるさ。悪い話じゃないだろう？
カウボーイ,～～…
クロアリ親分,ん？なんだって？
カウボーイ,ッッ
クロアリ親分,…ほう
カウボーイ,俺があんたに吐くのは…唾だけさ…
クロアリ親分,面白い。やれ…
カウボーイ,ぐッッ……
クロアリ親分,ふん、まぁいいさ。シロアリの縄張りだが、あの町を狙ってやるか。きっと自らでてくるさ…くくく…。さぁ、支度をしろ！！
勇者,ゴガァァァァァzzZ
賢者,ずいぶんはっちゃけたようね
剣士,面目ない…
賢者,これじゃ今日中に起きるかどうか…
剣士,しかし、予言の時が迫っているのに！
賢者,予言のとき？
剣士,ある町娘が…といっても信憑性があるわけではないんだけど。近々…今日にもギャンググループのクロアリ団がこの町を襲撃にくるらしいんだ
賢者,ふーん、眉唾ね。私も暇なときに聞き込みしてたけどこの町はシロアリ団っていうギャングが統治してるらしいわよ
剣士,シロアリ団…？
賢者,この西部地域の二大ギャングね。この辺りを昔から統治しているギャングシロアリ団。ここ数年で結成されて急激な成長を見せたクロアリ団。今や二大派閥となり、勢力争いをしているようなの
剣士,！！。ならその縄張り争いの決戦の場がこの西部の町になるって事じゃないか！？
賢者,…そうね、まぁ考えられない話じゃないわ
剣士,師匠！！起きてください！！
勇者,ぐごぉぉzzzZ
賢者,終わりね
剣士,デジャブ！
クロアリ親分,さあ、いくぞ野郎共ぉぉぉぉぉぉ！！
盗賊,…ふう
カウボーイ,…。？
盗賊,大丈夫か？あんた
カウボーイ,あなたは…？。妖精か？
盗賊,こんな格好してるけど！！。ただの盗賊だよ
カウボーイ,初めての相手に…すまない…
盗賊,何度かあってるけど…
カウボーイ,ぐ…
盗賊,おいッッそんな体でどこに行くんだッッッ？
カウボーイ,決まってる…だろう…。町を…守らないと…。なんたって…俺は…。さすらいの賞金稼ぎだから…な…
盗賊,むちゃだ、立つのもやっとじゃないか…
カウボーイ,はぁ…はぁ…
盗賊,本当に死んでしまうぞ…
カウボーイ,ふ、大丈夫さ…相棒がいる…
盗賊,トライデントダーク！！！
馬,ヒヒーン！！
カウボーイ,俺は孤独じゃない！！
盗賊,トライデント…ダーク！！
カウボーイ,いくぞ、漆黒の風…
馬,ヒヒーン！！
盗賊,すごい…黒い風…トライデントダーク！！。めっちゃ白馬だけど…
ギャング,うぉぉぉぉぉぉぉぉぉぉぉぉぉぉ！！
クロアリ親分,とまれぇ！！。ここはシロアリの領土だろ、シロアリの一味がいるなら今すぐだせ！！。シロアリの居場所がわかるならばすぐに吐け！！。そうすれば一切手はださん！！。ここはシロアリの領土だ！！。なに！？
町人,知ってても言うもんか糞やろう！！
クロアリ親分,ほう…
賢者,なんだか外が騒がしいわね
剣士,まさか…
賢者,…
