だから、よく笑うこいつの笑みが、,どこ
そして、,ウチら
海軍の中では上層部しか知ることのない,イベント
遅かれ早かれ機密は知る身。とはいえ、覚悟もなしには少しばかり堪えただろうか……そう思っていると、俯いた漣から,くふ
そして夕張の先ほどの言葉。,後ろから撃ってくるやつもいる
俺は逡巡して、,人材
言い淀んだ夕張は、助けを求めるように鳳翔さんを見た。視線を受けた彼女は、,なりません
そう声をかけられて、鳳翔さんは先ほどのやり取りを思い出したのか、赤面して,もう！
茶髪の美少女――自らを,大井
そして彼女にもまた、機関部である心臓に欠陥があるという。そして先ほどの言葉。,神様が瑕疵を好む
俺は甚だ疑問に思う。自らの命を預けるのは、やはり長きを共にした信頼できる何かにであって、決して正体不明の,科学とオカルトの相の子
泊地,跡
こいつに対して抱いていた印象は,よく笑う
胸を張って,そうだ
傷ついたイ級の体の端、千切れたワイヤーなのかコードなのか、それとも生体由来の組織なのか、よくわからないはみ出た,何か
それは果たして彼女たち自身の意志なのか。漣は言った。,横っ面をひっぱたいたって、腕を引っ掴んだって、生きてるほうがいいに決まってます
耳を劈く爆撃音が響いた。一発、二発、三発目で、かき消されながらも最上の,赤城さん！
龍驤だけではない。鳳翔さんも、夕張もそうであるが、彼女らは自主性を何よりも尊重する。奇しくも漣の言った通りの,好き勝手やっている
神通と、そして赤城すらも慮れる懐を持てと言うのは、中学生相手に酷だろうか。事実赤城は漣に,優しく
考えていることは俺も同じ。しかし僅かにスタンスが違う。漣のプラグマティズムは、少し、やはり、,他者もそうするべきである
霧島や扶桑が自主的に、最上のように、自らの意志で俺たちに与してくれるのがよかった。龍驤たちも,二人なら自主的にこいつらに賛同するだろう
神通はまた,くふ
強くなければ生き残ることなどできやしないと説く彼女の瞳に、俺はどう映っているのだろうか。大井はそれを,戦いに勝って勝負に負けた
数年前の暑い夏の日、俺は数十人、あるいはもっとの犠牲の上に、戦艦棲鬼を打ち倒した。今でこそ艦娘の登用も進み、システム周りや戦術も確立されてはいるが、当時、種別,鬼
最上は神通のことを、,雪風と響に経験値を与えることを目的としている
だからきっと大井は言外にこう言っていたのだ。,赤城と神通に接触を図りなさい
俺はまた,そうか
……デー！メーデー！こちらは扶桑！日本海軍トラック泊地、遊撃特務作戦群、,艦娘
小躍りするほどの歓喜。漣は、あいつはわかっている。理由など二の次三の次で、,今
そして、より高位になればなるほど、深海棲艦の,肉
弱者を守るのが漣たちの役目でしょうが！悪を挫き、弱者を助く、それが艦娘ってもんのはずです！それが,弱者に生きる権利はない
俺に察することができるのは、所詮,何かがあったのだろう
深海棲艦の邀撃……トラック泊地で起こった,イベント
誰もが聞かずに、訊かずに済むならそうしたい何かを、恐怖せずに知ろうとする姿勢。原初、人はそれに,勇気
大井が龍驤に向かう。すると龍驤は,お前が？
……俺はそんな彼女を,らしくない
北上が、深海棲艦の回し者だったとして、それを現段階の,事実
ソフトボックスを差し出すと、霧島は毅然と,結構です
俺の右手にはビール、左手には焼き鳥の串があって、腰の上に漣。こっちへ体重を預けてきて、,うへへ
霧島は訝る表情をしていたが、それでも小首を傾げながら、,いえ
霧島はすぐに,いや、虜囚かな？
何かが違う気がした。ただ、ツッコむ気力も最早ない。代わりに手を二度ほどぎゅ、ぎゅとしてみるが、漣はさらに顔を蕩けさせて,えへへへ
艦娘もその例に倣うはずだった。泊地、鎮首府の雰囲気は指揮する提督によるところも大きいが、それでも最低限度の,集団
笑い声の主は響だった。漣が,笑った！
第六駆逐隊の結成。,雷
言葉遊びと笑うだろうか？,助ける
仲間が一人声をかけてきた。俺は,いーや
随伴護衛艦,ひえい
それは別段,ひえい
ただ、一体どんな人間が,艦娘
比叡も、どうやら今回の護衛が初であるようで、俺たちのような現役の軍人とは接する機会がなかったようだった。質問攻めにした分だけ質問まみれにされそうになるも、厨房の人に,もう閉める時間だから
そこでようやく、目の前にいるのが俺だということに気付いたらしい。照れくさそうに,あはは
依然として俺は四代目,ひえい
比叡もまた、当然のように,ひえい
四代目,ひえい
艦娘,比叡
ＤＤＨ,ひえい
随伴していた艦娘,比叡
まず比叡はＤＤＨ,ひえい
思わず直立の姿勢をとろうとするも、局長が,座ったままで結構だ
ガソリンが高騰して、野菜が高騰して、これまで輸入されてきたありとあらゆるものの流通が制限され、店頭から姿を消し、そこで初めて声をあげる。,こんなことになるなんて聞いていない
二度と彼女のような悲劇を繰り返してはならないと、,ノー・モア・ヒエイ
思わず,それだけ？
論理で攻めることに意味がないのはわかっていたが、こちらにも譲れない一線はある。それさえも雪風の,知るかそんなもん
初見の感想は,思ったよりもでかくないな
防衛省としては、やつらは生物と金属の融合した,金属生命体
あるいは、誰かから,生きていてもいいよ
なら私も,はいどうぞ
というよりも、,月が綺麗ですね
助けろと言っているのではなかった。聡明な漣らしい言葉の選び方である。助ける努力を怠らないでくれと、そう,お願い
立ち上がる時の、解く時の、ほんの一瞬が大きく引き伸ばされた、いわば,巨大な一瞬
強く漣を抱き寄せた。漣は,うー、たばこくさいー
ふっとその体が弛緩する。緊張の糸が切れたのか、目をごしごしと擦って、たった一言,眠い
それにしても、出発前の響には、申し訳ないが笑ってしまった。なんせあいつはいくら感謝の言葉を述べても足りないらしく、しきりに,ありがとう
時折,大丈夫か
俺は北上について、大井の実妹であるという以上のことを知りはしなかった。ただ、どれだけ大井が,北上
その、,新型を生み出す場所
いや、伝えるもなにも、まだ少しも決まってすらいないのだ。ただ俺たちが勝手に考えて、勝手に悲観しているだけ。それこそさっきの,いるかどうかもわからん敵に怯えている
観念した。勿論俺の過去や確執などは全て語らず、要点だけを掻い摘んで伝える。俺がここへやってきたのは権力闘争の結果であって、またすぐに――半年いられるかどうかわからないほどの,すぐ
そしてその両脇、俺が別個体だと誤認した,それ
ヲ級が飛ばしてくる丸い悪鬼にも似た、けれど段違いで巨大な,それ
ブリーフィング時に５８は言っていた。,本当は、もっと最初になんとかしなくちゃいけないことだった
行動、想い、全てが間違いであるかのように彼女は言うが、そんなことはない。,誰も死なせやしない
大井と龍驤、二人の口からブリーフィング中に聞かされた言葉、,新型は北上ではない
そんなことは認められなかった。あいつらは所詮他人事だと思っていて、現場も知らず、思いつきを口にするばかりなのだ。だから簡単に難題を提示する。拒否すれば二言目には,努力が足りないんじゃないか？
津波のような,なにか
ナイーヴな部分を曝け出したくない、という気持ちは俺にだってあった。仮初の英雄,鬼殺し
即答に対して素直な感想だ。逆の立場だったら、きっと俺も,はいはいそうだな
昨晩のことを思い出せば自然と恥ずかしくなってしまう。大井は俺のことを知っていた。それは、俺が,鬼殺し
弱者を見捨てず、手を伸ばせ。敷衍すれば,助けようとし続けろ
龍驤と５８は最早その件について深く考えるのをやめたようだった。空席を一瞥し、嘆息。５８が,必ず来るようにとは言ったんだけどね
そして、驚愕しているのは雪風だけではなかった。神通も、漣も……大井や霧島でさえ怪訝な表情でこちらを窺っている。考えはみな同じ、,こいつは何を言っているのだ？
鳳翔さんと夕張、そこに扶桑が混じって、四人で話をしていたことは聞いた。俺が出る幕ではない。決定的に拗れさせたのは俺で、龍驤は,許可を出したのは自分だ
きっと順序の問題なのだ。平凡だから／特別だから、偉業を成せない／成せるのではない。偉業を成し得た人間に対して帰納的に付与される表彰状が,特別
漣は自分の唇にうっすらと滲んだ血を舌で舐めとった。味に少し顔を顰める。,キスって難しいなぁ
漣が嘗て雪風に向かって切った啖呵。,強くなれなくたっていい。強く在れなくたっていい。弱いままで、それでも幸せに生きていくことができる世の中に
もし,そう
たとえ特別という評価があとからついてくるものであったとしても、その,特別
人が何かを成し得る際に、,特別
普通なら大人になる過程で身に着けるはずの,諦める
この少女は恋い焦がれていたのだ。俺に、ではない。,特別
口癖のように聴かされていた言葉。,あなたは自立しなければだめよ
その時だけ、私は全てから解放され、,自立
術式展開。矢筈に弦をかけると対応した文字が浮かび上がる。艦爆の赤、そして九字。,臨兵闘者皆陣列在前
そう言う意味では、おっさん、あの男は素直に凄い。,鬼殺し
この世に,絶対
今の私の咆哮は、理想からは全く遠い概念だった。指は折れ、弓はひしゃげ、矢の残りは少なく、満足に肉体はおっつかない。叫ばなければ矢一つ放てないなど,赤城
殆ど,終わり
神通はあの夜俺に対して問うた。,こちらへ来ますか？来られますか？その覚悟が、おありですか？
視界はおぼろげだった。体はぼろぼろだった。戦場にあって、完全に無力な生き物が、,赤城
本来、魚雷を撃ちだす音は,ぶしゅん
最後の最後に一際大きな衝撃が響いて、,反撃
家族がみんな事故で死んでしまっても、,偶然
泊地が敵の襲撃によって壊滅状態に陥っても、,偶然
心に,響
決して勝負ではなかったが、それでも俺は、手をぐっと握り締めて、小さくぽつりと,勝った
が、だからこそ、,諦めきれない
私が、,響
頭を心臓を貫いて、血液と神経に乗って、その,なにか
砲撃、爆撃の音に混じって、そんな惑いの声が聞こえてくる。だけど神通はすぐに,でも
おっさん、帰投命令をお嬢ちゃんに出しぃ。それで,しまい
ご主人様は言ってくれましたね。普通だとか特別だとかに意味はないんだと。普通だからできないだとか、特別だからできるとかじゃなくて、結局、結果を振り返って,特別
神通も、ぽつりと零す。５８は受けて,なーるほど
はぁ？,なんだ
